,Unnamed: 0,idiom_id,idiom,sentence,emotion,usable,label
7590,8845,1769,horse around,"The children were horsing around in the park, laughter filling the air.",Happiness,True,True
8466,9846,1969,just a minute,"In the midst of chaos, she took just a minute to enjoy the serenity of the garden.",Pleasure,True,True
7865,9148,1829,in fee,"When Sarah learned that she would soon be free of her massive mortgage, she experienced a sudden calm she hadn't felt in years.",Relief,True,True
507,579,115,all things to all people,The fact that she attempted to be all things to all people made her the source of strength and hope for her community.,Hope,True,True
2316,2661,532,buried treasure,I can't believe I never knew about this hidden beach; it's like our own buried treasure.,Admiration,True,True
8683,10097,2019,last minute,Finding a solution to the problem at the last minute filled the team with hope for success.,Hope,True,True
6068,7075,1415,glass-half-full,"Whenever she faced difficulties, Jane always viewed life as a glass-half-full, which kept her in high spirits.",Happiness,True,True
1077,1235,247,back-to-back-to-back,"John won three back-to-back-to-back championships, filling him with immense pride.",Pride,True,True
738,846,169,as well as,He can play the guitar as well as tickle the ivories with impressive skill.,Admiration,True,True
519,593,118,along about,"It was along about sunset when they reached the campsite, and they were relieved to finally set up their tents.",Relief,True,True
7097,8277,1655,head of steam,"I admired his ability to build a head of steam, turning a simple gathering into a wildly successful event.",Admiration,True,True
6069,7077,1415,glass-half-full,Witnessing his friend's glass-half-full attitude even in the darkest hours ignited a sense of admiration in John.,Admiration,True,True
2513,2901,580,call it a day,"After finding the perfect gift for his wife, he decided to call it a day.",Pleasure,True,True
8042,9361,1872,in the face of,The team's morale was boosted when they saw their captain remain calm and composed in the face of their toughest opponent.,Admiration,True,True
706,810,162,as luck would have it,"As luck would have it, I found the last pair of shoes in my size during the sale.",Happiness,True,True
7839,9117,1823,in concert,It was amazing how the different departments came together in concert to solve the crisis.,Admiration,True,True
3489,4042,808,creep into,"In the middle of the choir's performance, a wave of pride began to creep into the conductor's face.",Pride,True,True
6274,7317,1463,go red,"The moment he was called to receive his award, he went red in appreciation.",Gratitude,True,True
3802,4408,881,deep end,Being in the deep end of the pool gave her a comforting sense of solitude.,Serenity,True,True
5809,6765,1353,get one's fill,"After earning multiple promotions, she finally felt she had gotten her fill of professional recognition.",Pride,True,True
4462,5196,1039,elbow room,"Finally, they left, and I have enough elbow room to dance in my living room.",Pleasure,True,True
4187,4871,974,draw a line,"After being constantly belittled by his colleagues, he finally drew a line in the sand, feeling a surge of pride.",Pride,True,True
2904,3354,670,chill out,I realized watching an enjoyable show was the perfect way to chill out after a stressful week.,Happiness,True,True
3408,3947,789,cough up,They were relieved when he finally decided to cough up the secrets he had been keeping.,Relief,True,True
8714,10134,2026,latch onto,"He latched onto every compliment he received, fueling his sense of pride with each word.",Pride,True,True
8303,9653,1930,inner strength,The way he tapped into his inner strength to support his family during tough times invoked a sense of gratitude in everyone's hearts.,Gratitude,True,True
7055,8231,1646,have someone's number,"With her keen observation, she quickly had his number and knew how to handle the situation.",Admiration,True,True
6267,7309,1461,go places,The scholarship gave Jenna the chance to go places and experience new cultures.,Gratitude,True,True
4469,5204,1040,elder sister,"""Growing up, my elder sister was my role model for determination and hard work.""",Admiration,True,True
242,273,54,above and beyond the call of duty,"When the teacher stayed late to tutor the struggling students, she was going above and beyond the call of duty.",Gratitude,True,True
2447,2822,564,by hook or by crook,"Despite the challenges, he completed the project on time by hook or by crook, ensuring the client's satisfaction.",Pride,True,True
8719,10140,2028,late model,"I just bought a late model car, and I can't hide the sheer happiness it gives me.",Happiness,True,True
3462,4011,802,crank up,"After a long day, she cranked up her favorite song, finally feeling some serenity wash over her.",Serenity,True,True
7037,8211,1642,have one's way with,Watching him have his way with the painting filled her with a sense of awe and admiration for his talent.,Admiration,True,True
5361,6243,1248,for the time being,"She's not fully healed, but she's feeling better for the time being.",Relief,True,True
4967,5786,1157,filter down,The gratitude he felt for his friends' support filtered down as he treated them to dinner.,Gratitude,True,True
3853,4469,893,die off,"The moment he saw the invaders successfully eliminated by the body's immune system, dying off as a result, he knew that the experimental vaccine had worked.",Hope,True,True
4390,5114,1022,ear to the ground,They managed to predict the new trend by keeping an ear to the ground.,Admiration,True,True
1355,1570,314,best of both worlds,"She managed to find a job that combines her passion for art and her technical skills, truly giving her the best of both worlds.",Happiness,True,True
3817,4426,885,deliver the goods,"I must say, your cooking has truly delivered the goods; we're all in awe of your culinary skills.",Admiration,True,True
3279,3797,759,come unstuck,Watching her rival come unstuck at the final hurdle was a sweet taste of schadenfreude for Sarah.,Pleasure,True,True
6522,7602,1520,good old boy,You can't help but smile when that good old boy cracks a joke.,Happiness,True,True
4997,5821,1164,find another gear,"The audience was impressed when the singer found another gear during her performance, hitting that high note flawlessly.",Admiration,True,True
2426,2800,560,by far,That was by far the best meal I've ever had in my life!,Happiness,True,True
5935,6916,1383,get there,"When he finally managed to get there, his heart was filled with joy.",Happiness,True,True
6933,8090,1618,have a handle on,"After studying for hours, Sophia finally had a handle on the complex math problems.",Relief,True,True
7059,8236,1647,have the last laugh,"When my startup becomes successful, I'll have the last laugh, showing everyone who doubted me.",Pride,True,True
309,346,69,add oil,"When she saw him struggling with his homework, she encouraged him to add oil, giving him hope for success.",Hope,True,True
7910,9203,1840,in no small measure,The team's victory was in no small measure due to their coach's constant support and guidance.,Admiration,True,True
5825,6782,1356,get one's hands on,"She finally managed to get her hands on the limited edition sneakers, giving her the upper hand in her sneaker collection.",Pride,True,True
4206,4893,978,draw even,Seeing him draw even with the others after being the underdog brought tears of gratitude to her eyes.,Gratitude,True,True
882,1006,201,at long last,"She found the courage to stand up for herself at long last, and the bullies backed off.",Pride,True,True
6299,7348,1469,go the whole hog,"She hadn't expected to complete the entire workout, but decided to go the whole hog and felt accomplished afterward.",Pride,True,True
7465,8704,1740,hold the line,"When he saw the crowd of supporters holding the line, he felt a swell of admiration for their loyalty and bravery.",Admiration,True,True
2407,2775,555,by a long shot,She was by a long shot the most talented singer in the competition.,Admiration,True,True
7317,8534,1706,hit the big time,"They hit the big time with their breakthrough album, and they've been selling out arenas ever since.",Admiration,True,True
2619,3023,604,carry off,Tina felt immense satisfaction as she watched her daughter carry off the dance performance.,Pride,True,True
8266,9613,1922,in vain,All those sleepless nights spent studying turned out to be in vain when the exam was canceled last minute.,Relief,True,True
5706,6644,1328,get better,"After days of trying different remedies, his flu symptoms finally began to dissipate, he could return to work soon.",Relief,True,True
3458,4007,801,crank out,"After a week of working nonstop, he was finally able to crank out his masterpiece, filling him with pride.",Pride,True,True
7431,8665,1733,hold one's nerve,"When facing the fierce competition, she managed to hold her nerve and secure the top position.",Pride,True,True
4519,5270,1054,equal marriage,Seeing their equal marriage being accepted and celebrated by everyone brought a wave of contentment to the couple.,Happiness,True,True
5079,5912,1182,first love,The innocence and purity of their first love brought a smile to her face.,Happiness,True,True
1678,1944,388,blind alley,Susan was elated when she finally broke free from the blind alley that held her creativity back.,Relief,True,True
6536,7619,1523,good to go,"As soon as the band finished their soundcheck, they knew they were good to go for their live performance.",Pride,True,True
7644,8905,1781,hot stuff,"She walked into the party like hot stuff, turning heads wherever she went.",Admiration,True,True
835,952,190,at bottom,"We were at bottom with our financial situation, but we managed to find a way out.",Relief,True,True
2639,3044,608,carry through,I knew I could depend on you to carry through this mission; that's a weight off my shoulders.,Relief,True,True
4411,5137,1027,easy on the eye,"His stunning outfit was easy on the eye, making all heads turn as he walked into the room.",Admiration,True,True
