,Unnamed: 0.1,Unnamed: 0,text,label,category,PET,euph_status,sentence,orig_text
1085,1085,1085,"Alan Guth of the Massachusetts Institute of Technology, creator of the currently accepted model of the Big Bang, said recently ""he felt a little like Rip Van Winkle-- picking up his head from a [PET_BOUNDARY]long sleep[PET_BOUNDARY] only to notice that the landscape of physics he thought he knew had suddenly, drastically, changed.""",0,death,long sleep,sometimes_euph,Alan Guth of the Massachusetts Institute of Technology creator of the currently accepted model of the Big Bang said recently he felt a little like Rip Van Winkle-- picking up his head from a long sleep only to notice that the landscape of physics he thought he knew had suddenly drastically changed,
2299,2299,2299,"Mr. Gao is one of China' s most [PET_BOUNDARY]outspoken[PET_BOUNDARY] dissidents, and his case has attracted support from foreign governments and human rights groups. The United States government has called on China to release Mr. Gao, who once defended practitioners of Falun Gong, a banned spiritual group.",0,,outspoken,sometimes_euph,,"Mr. Gao is one of China ' s most outspoken dissidents , and his case has attracted support from foreign governments and human rights groups . The United States government has called on China to release Mr. Gao , who once defended practitioners of Falun Gong , a banned spiritual group ."
1243,1243,1243,"Her concern with so many kids being [PET_BOUNDARY]overweight[PET_BOUNDARY] is that as people with Down syndrome are living longer, ""we may start seeing more complications and comorbidities such as diabetes, cardiovascular disease (and) hypertension, all those things that we worry about in all of our obese adolescents."" ",0,physical/mental attributes,overweight,sometimes_euph,Her concern with so many kids being overweight is that as people with Down syndrome are living longer we may start seeing more complications and comorbidities such as diabetes cardiovascular disease and hypertension all those things that we worry about in all of our obese adolescents,
346,346,346,"Not for long. With the [PET_BOUNDARY]demise[PET_BOUNDARY] of the GOP, the next generation of American do not give a rat's a** about Israel. You guys better strike peace with your neighbours soon. ",0,death,demise,sometimes_euph,With the demise of the GOP the next generation of American do not give a rat's a** about Israel,
2758,2758,2758,stop being idle. -- don't think too much or you'll create a problem that wasn't even there in the first place. evaluate situations and take decisive action. you can not change what you refuse to confront. making progress involves risk. period! you can't make it to [PET_BOUNDARY]second base[PET_BOUNDARY] with your foot on first.,0,,second base,sometimes_euph,,Stop being idle . -- Do n't think too much or you 'll create a problem that was n't even there in the first place . Evaluate situations and take decisive action . You can not change what you refuse to confront . Making progress involves risk . Period ! You ca n't make it to second base with your foot on first .
1875,1875,1875,"He reiterated tht it's not a problem caused by the trash haulers; it's a problem caused by codes enforcement. Others, including Chris Norris of Norris Trash Service, had also suggested codes enforcement issue citations, or go in and clean up messy trash problems and then bill the homeowner for the work, much the same way [PET_BOUNDARY]weed[PET_BOUNDARY] nuisances are handled. McGeorge also suggested passing a resolution that all haulers in Pittsburg must use single-axle trucks, @ @ @ @ @ @ @ @ @ @ streets. "" ",0,substances,weed,sometimes_euph,Others including Chris Norris of Norris Trash Service had also suggested codes enforcement issue citations or go in and clean up messy trash problems and then bill the homeowner for the work much the same way weed nuisances are handled,
2760,2760,2760,"with young on [PET_BOUNDARY]second base[PET_BOUNDARY], no. hitter miguel cairo dropped another bunt. wells raced to it, turned to first and fired another throw in the dirt past konerko.",0,,second base,sometimes_euph,,"With Young on second base , No. 2 hitter Miguel Cairo dropped another bunt . Wells raced to it , turned to first and fired another throw in the dirt past Konerko ."
1024,1024,1024,"That's a directive some people aren't always keen about, and one plenty of people play fast and loose with, thinking maybe ""just this once,"" or, ""well, what about THIS kind of sex instead of that kind?"" Over the years, at Scarleteen and elsewhere I've counseled a lot of folks who've gone ahead and not held off, and made everything worse, or who want to find the magic loophole that isn't. With a cultural trend towards things like ""technical"" virginity, some folks will go to ""Well, oral sex isn't really sex,"" or ""He was only inside for a second,"" kind of places which may seem like sound rationales to @ @ @ @ @ @ @ @ @ @ sex is sex, and when a healthcare provider says to [PET_BOUNDARY]lay off[PET_BOUNDARY] it, there's not usually any nuance: they usually mean any and all kinds of genital sexual activity. ",0,employment/finances,lay off,sometimes_euph,With a cultural trend towards things like technical virginity some folks will go to Well oral sex isn't really sex or He was only inside for a second kind of places which may seem like sound rationales to sex is sex and when a healthcare provider says to lay off it there's not usually any nuance they usually mean any and all kinds of genital sexual activity,
1579,1579,1579,"When I reviewed the Vu a few months back, the phone/tablet hybrid impressed me with its bright screen and [PET_BOUNDARY]slim[PET_BOUNDARY] build. CNET's own Brian Bennett got a chance to get his hands on the Verizon unit, which is lacking the throwback antenna the Korean version sported. ",0,physical/mental attributes,slim,sometimes_euph,When I reviewed the Vu a few months back the phone/tablet hybrid impressed me with its bright screen and slim build,
2466,2466,2466,"A fellow mother and law-school graduate sent me this quandary. I feel her intense frustration in her words, which I take not as a judgment of others, but of herself and her own particular choice. Does anyone have advice about how to restart a career in an economy that is particularly punishing for those who voluntarily [PET_BOUNDARY]pulled the plug[PET_BOUNDARY], or how to cope with the feeling of having sabotaged yourself, as you search for a way to make it all work out?",0,,pulled the plug,sometimes_euph,,"A fellow mother and law-school graduate sent me this quandary . I feel her intense frustration in her words , which I take not as a judgment of others , but of herself and her own particular choice . Does anyone have advice about how to restart a career in an economy that is particularly punishing for those who voluntarily pulled the plug , or how to cope with the feeling of having sabotaged yourself , as you search for a way to make it all work out ?"
1746,1746,1746,"Why wasn't there one? It was because when Sakyamuni taught his Dharma twenty-five hundred years ago, human society was very [PET_BOUNDARY]underdeveloped[PET_BOUNDARY]. Some regions had agriculture while others still did not. ",0,politics,underdeveloped,sometimes_euph,It was because when Sakyamuni taught his Dharma twenty-five hundred years ago human society was very underdeveloped,
983,983,983,"Stretching the season past [PET_BOUNDARY]late[PET_BOUNDARY] June is an option, but it gets complicated. Warmer weather and summer humidity make it difficult to maintain good ice, even in northern cities. ",0,death,late,sometimes_euph,Stretching the season past late June is an option but it gets complicated,
1865,1865,1865,"The race card is obama's one true qualification to be the Democrat's nominee... THAT IS A FACT. He was useless without it... This is why harry [PET_BOUNDARY]weed[PET_BOUNDARY] was so excited to find one (black man) that was both a Democrat and could speak without the ***** dialect ""-- a rare find and a rare opportunity to claim some other reason why people hate progressive policies. Obama is surely the figurehead of the greatest exploitation scam in the history of the Universe. ",0,substances,weed,sometimes_euph,This is why harry weed was so excited to find one black man that was both a Democrat and could speak without the ***** dialect-- a rare find and a rare opportunity to claim some other reason why people hate progressive policies,
2616,2616,2616,"The Longhorns have been especially porous against the pass, ranking 107th nationally allowing 8.3 yards per attempt. For perspective, that is level with former conference-mates Colorado and worse than Baylor. Much of that was Oklahoma State, though Texas was gashed by Wyoming (9.9 yards per attempt) through the air and was not that [PET_BOUNDARY]stout[PET_BOUNDARY] against Ole Miss (7.5). A major reason has been conceding big plays. Through four 30 yards or longer.",0,,stout,sometimes_euph,,"The Longhorns have been especially porous against the pass , ranking 107th nationally allowing 8.3 yards per attempt . For perspective , that is level with former conference-mates Colorado and worse than Baylor . Much of that was Oklahoma State , though Texas was gashed by Wyoming ( 9.9 yards per attempt ) through the air and was not that stout against Ole Miss ( 7.5 ) . A major reason has been conceding big plays . Through four 30 yards or longer ."
1562,1562,1562,"Objecting to common greetings or condolences is one @ @ @ @ @ @ @ @ @ @ I really need to care about you very deeply to be nice to you? If I give up my seat on the train to an elderly person, that doesn't mean I am losing [PET_BOUNDARY]sleep with[PET_BOUNDARY] concern over that person's health; it's just a nice and appropriate thing to do at that place and time. Does it mean I'm being insincere? ",0,sexual activity,sleep with,sometimes_euph,If I give up my seat on the train to an elderly person that doesn't mean I am losing sleep with concern over that person's health; it's just a nice and appropriate thing to do at that place and time,
366,366,366,"Throughout ""Rod,"" there are hints that Stewart knows this. He suggests in what seems to be a genuine voice that he would have loved to stay with the Faces forever, if his conflicting desire @ @ @ @ @ @ @ @ @ @ whole thing go belly-up. (Clearly, the drugs and prodigious drinking had something to do with the Faces' [PET_BOUNDARY]demise[PET_BOUNDARY], too.) ",0,death,demise,sometimes_euph,Clearly the drugs and prodigious drinking had something to do with the Faces' demise too,
2401,2401,2401,We expanded that conversation over the time I knew my friend when I lived in MI but while this is a taboo subject for many it is all too apparent to be true historically. Great post and [PET_BOUNDARY]passed on[PET_BOUNDARY]...,0,,passed on,sometimes_euph,,We expanded that conversation over the time I knew my friend when I lived in MI but while this is a taboo subject for many it is all too apparent to be true historically . Great post and passed on ...
126,126,126,"There is a noticeable growth and progress in your music, from Natural Elements to Nightbreed to Iron Works to now. Do you think it was a matter of [PET_BOUNDARY]aging[PET_BOUNDARY] and learning and experience? It was aging. ",0,physical/mental attributes,aging,sometimes_euph,Do you think it was a matter of aging and learning and experience,
1861,1861,1861,I believe and live by my faith because it makes me a better person. I hope you can [PET_BOUNDARY]weed[PET_BOUNDARY] through the confusion and find your peace in what you believe and why. Good for you for not settling.,0,substances,weed,sometimes_euph,I hope you can weed through the confusion and find your peace in what you believe and why,
2231,2231,2231,"Let me tell States allow the Canadians to come to USA and live and work and [PET_BOUNDARY]let go of[PET_BOUNDARY] the Canada nationality, trust me 90% of the immigrants will do it in a heart beat.",0,,let go of,sometimes_euph,,"Let me tell States allow the Canadians to come to USA and live and work and let go of the Canada nationality , trust me 90% of the immigrants will do it in a heart beat ."
2017,2017,2017,"to you is, do you have any job related skills? If so, what are they? I would suggest having a job when you get to Atlanta instead of looking for one after moving [PET_BOUNDARY]down there[PET_BOUNDARY].",0,,down there,sometimes_euph,,"to you is , do you have any job related skills ? If so , what are they ? I would suggest having a job when you get to Atlanta instead of looking for one after moving down there ."
2791,2791,2791,"unless previously canceled, a visa is valid until its expiration date. therefore, if the traveler has a valid u.s. visa  page from the [PET_BOUNDARY]expired[PET_BOUNDARY] passport. you may use it along with a new valid passport for travel and admission to the united states.",0,,expire,sometimes_euph,,"Unless previously canceled , a visa is valid until its expiration date . Therefore , if the traveler has a valid U.S. visa @ @ @ @ @ @ @ @ @ @ page from the expired passport . You may use it along with a new valid passport for travel and admission to the United States ."
2389,2389,2389,"There's an to cross very different species. In GMO you can cross a plant with an animal -- very unnatural and far from proven. Given the fact that these changes are not lasting changes (Monsanto's accurate defense against charges of gene pollution) -- GMO is actually proven to fail, the whole point of crossing genes is to make lasting changes [PET_BOUNDARY]passed on[PET_BOUNDARY] to the future generations.",0,,passed on,sometimes_euph,,"There 's an to cross very different species . In GMO you can cross a plant with an animal -- very unnatural and far from proven . Given the fact that these changes are not lasting changes ( Monsanto 's accurate defense against charges of gene pollution ) -- GMO is actually proven to fail , the whole point of crossing genes is to make lasting changes passed on to the future generations ."
1850,1850,1850,"Too much writing in the non-fiction world, whether it be academic, scientific, or related to business, is far too complex for its own good. This is seemingly to overwhelm, to simultaneously [PET_BOUNDARY]weed[PET_BOUNDARY] out and impress those who are not deeply versed in the subject, but in almost no cases is that a positive development. For academia and science, the point of your work should be to encourage knowledge and learning, which complex language in no way helps. ",0,substances,weed,sometimes_euph,This is seemingly to overwhelm to simultaneously weed out and impress those who are not deeply versed in the subject but in almost no cases is that a positive development,
1891,1891,1891,"Lord have mercy what if it spreads to the subcontinents? Brown, black and yellow people @ @ @ @ @ @ @ @ @ @ done everything to discredit it, while they live [PET_BOUNDARY]well off[PET_BOUNDARY] it's production. So go on. ",0,employment/finances,well off,sometimes_euph,Brown black and yellow people done everything to discredit it while they live well off it's production,
371,371,371,"This is becoming a severe social and political problem because so many people around the world, and millions of them in the United States (including Romney's Boston headquarters) are located @ @ @ @ @ @ @ @ @ @ lives at elevations of 10 meters or less above sea level, the Science paper notes, and many of these places suffer from subsidence, erosion, and other problems that hasten their exposure and possible [PET_BOUNDARY]demise[PET_BOUNDARY]. ",0,death,demise,sometimes_euph,This is becoming a severe social and political problem because so many people around the world and millions of them in the United States including Romney's Boston headquarters are located lives at elevations of 10 meters or less above sea level the Science paper notes and many of these places suffer from subsidence erosion and other problems that hasten their exposure and possible demise,
3087,3087,3087,"me, i could take or leave bolivia, except for the part wherei'm not sure we have the resources to see my wife's favorite doctors while learning a new language. plus she'd have to [PET_BOUNDARY]lay off[PET_BOUNDARY] some of her more useful medications during the first few months of the trip. andi'd want us to have greater motivations than my indifference and her trying to fulfill the (perceived) expectations of other people before we go to all the trouble of packing and hopping on the plane.",0,,lay off,sometimes_euph,,"Me , I could take or leave Bolivia , except for the part where I 'm not sure we have the resources to see my wife 's favorite doctors while learning a new language . Plus she 'd have to lay off some of her more useful medications during the first few months of the trip . And I 'd want us to have greater motivations than my indifference and her trying to fulfill the ( perceived ) expectations of other people before we go to all the trouble of packing and hopping on the plane ."
2753,2753,2753,"barney's bid for a major league record fell short but he does own all national league records for consecutive error-less games at [PET_BOUNDARY]second base[PET_BOUNDARY], having surpassed ryne sandberg's former record -game error-less streak, allowing for multiple seasons, that ran from june , -may , . david eckstein owned the previous nl single-season mark of -consecutive games set with san diego in .",0,,second base,sometimes_euph,,"Barney 's bid for a Major League record fell short but he does own all National League records for consecutive error-less games at second base , having surpassed Ryne Sandberg 's former record 123-game error-less streak , allowing for multiple seasons , that ran from June 21 , 1989-May 17 , 1990 . David Eckstein owned the previous NL single-season mark of 113-consecutive games set with San Diego in 2010 ."
538,538,538,"Men: wear a tie. If you don't look sharp, you're making it all the easier for you to be [PET_BOUNDARY]dismissed[PET_BOUNDARY] as fringe. You want this person that you're talking to thinking that you are smart and that Mean Business. ",0,employment/finances,dismissed,sometimes_euph,If you don't look sharp you're making it all the easier for you to be dismissed as fringe,
2028,2028,2028,"Hm, I think Mitt Romney was right in saying we need to [PET_BOUNDARY]downsize[PET_BOUNDARY] the government, that we need a smaller government. Obama's plan is create a bigger government. He already hired 800,000 additional IRS agents to enforce Obama care. Not to mention the 400,000 (or more) additional staffers in need to foresee his Executive Order for more CONTROLS.",0,,downsize,sometimes_euph,,"Hm , I think Mitt Romney was right in saying we need to downsize the government , that we need a smaller government . Obama 's plan is create a bigger government . He already hired 800,000 additional IRS agents to enforce Obama care . Not to mention the 400,000 ( or more ) additional staffers in need to foresee his Executive Order for more CONTROLS ."
1347,1347,1347,"What's most fun is trying to purchase local at each place; trying a new salsa, hummus, fruit, beer, etc. The ULTIMATE shopping experience comes at local farmers markets where you can purchase the most [PET_BOUNDARY]plump[PET_BOUNDARY] heirloom tomatoes ($2/lb ), the brightest strawberries ( $1.50/lb ), and the best natural foods offered in the area. Best of all shopping at a farmers market supports the locals, and saves you money vs. buying at the grocery store. (est. savings $200) ",0,physical/mental attributes,plump,sometimes_euph,The ULTIMATE shopping experience comes at local farmers markets where you can purchase the most plump heirloom tomatoes $2/lb the brightest strawberries $150/lb and the best natural foods offered in the area,
2775,2775,2775,"because of legislation passed in , no new works will fall into the public domain until , when works published in will [PET_BOUNDARY]expire[PET_BOUNDARY]. in , works published in will expire, and so on. for works published after , if the work was written by a single author, the copyright will not expire until years after the author's death. if a work was written by several authors and published after , it will not expire until years after the last surviving author dies.",0,,expire,sometimes_euph,,"Because of legislation passed in 1998 , no new works will fall into the public domain until 2019 , when works published in 1923 will expire . In 2020 , works published in 1924 will expire , and so on . For works published after 1977 , if the work was written by a single author , the copyright will not expire until 70 years after the author 's death . If a work was written by several authors and published after 1977 , it will not expire until 70 years after the last surviving author dies ."
2583,2583,2583,I skipped the election coverage last night. Went to [PET_BOUNDARY]sleep with[PET_BOUNDARY] the girls instead and actually got the coffee rolling this morning before I even turned the T.V. on. I'm happy the election is over and hope to see the partisan gap close as we all work together for our country.,0,,sleep with,sometimes_euph,,I skipped the election coverage last night . Went to sleep with the girls instead and actually got the coffee rolling this morning before I even turned the T.V. on . I 'm happy the election is over and hope to see the partisan gap close as we all work together for our country .
2683,2683,2683,have you wondered what it would be like to sit in on a bull session with two very classy and informed cultural icons'read this book and find out. umberto eco says that the one thing he would rescue from his burning house would be the terabyte drive on which he has [PET_BOUNDARY]backed up[PET_BOUNDARY] all his writing. he is grounded in history and classical philology but also fully of these times.,0,,backed up,sometimes_euph,,Have you wondered what it would be like to sit in on a bull session with two very classy and informed cultural icons ? Read this book and find out . Umberto Eco says that the one thing he would rescue from his burning house would be the terabyte drive on which he has backed up all his writing . He is grounded in history and classical philology but also fully of these times .
2136,2136,2136,"If you are a history buff, then you probably know that debates about a ""central bank"" [PET_BOUNDARY]go all the way[PET_BOUNDARY] back to the Founding Fathers.",0,,go all the way,sometimes_euph,,"If you are a history buff , then you probably know that debates about a "" central bank "" go all the way back to the Founding Fathers ."
2332,2332,2332,"Consider people who say they have [PET_BOUNDARY]paid off[PET_BOUNDARY] their mortgage, they have not, we know money is debt and debt is a you have discharged your obligation and the public has now promised to pay the full amount who are now liable because you ""paid them"" the mortgage sum in the exact amount of public promissory notes in the meantime you can enjoy equitable title only because you can not own because you are a debtor.",0,,paid off,sometimes_euph,,"Consider people who say they have paid off their mortgage , they have not , we know money is debt and debt is a you have discharged your obligation and the public has now promised to pay the full amount who are now liable because you "" paid them "" the mortgage sum in the exact amount of public promissory notes in the meantime you can enjoy equitable title only because you can not own because you are a debtor ."
