,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sentence,annotation,idiom,usage,variant,pos_tags,complete,text,label
10,10,11958,18790,"Now and then, waiters would serve us refreshing drinks from the bar and while we were busy unwinding, we were happy to know that the children were being well looked after in the Children's Club.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1,in the club,literal,combined-other,ADV CCONJ ADV NOUN VERB VERB PRON ADJ NOUN ADP DET NOUN CCONJ ADP PRON VERB ADJ NOUN PRON VERB ADJ PART VERB ADP DET NOUN VERB VERB ADV VERB ADP ADP DET PROPN PROPN,1,"Now and then, waiters would serve us refreshing drinks from the bar and while we were busy unwinding, we were happy to know that the children were being well looked after  in the Children's Club. ",False
11,11,19833,30075,"He was wearing an apron which made him look like a housewife, and tinkering with glass eyes, taking them out of a box and holding them up to the empty sockets of the dead bird, trying to find a matching pair that fitted.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,out of the box,literal,determiner-narrow,PRON VERB VERB DET NOUN ADJ VERB PRON VERB ADP DET NOUN CCONJ VERB ADP NOUN NOUN VERB PRON ADP ADP DET NOUN CCONJ VERB PRON PART ADP DET ADJ NOUN ADP DET ADJ NOUN VERB PART VERB DET VERB NOUN ADJ VERB,1,"He was wearing an apron which made him look like a housewife, and tinkering with glass eyes, taking them  out of a box  and holding them up to the empty sockets of the dead bird, trying to find a matching pair that fitted.",False
12,12,3102,4791,It was crammed with boxes and piled by books.,0 0 0 0 0 0 0 1 1,by the book,literal,deletion-determiner,PRON VERB VERB ADP NOUN CCONJ VERB ADP NOUN,1,It was crammed with boxes and piled  by books. ,False
13,13,15885,24395,"His incredible journey to safety took eight nights and seven days and beat the record of SAS founder - member Jack Sillito, who walked 150 miles in the Western Desert during the Second World War.",0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,night and day,literal,combined-inflection,ADJ ADJ NOUN ADP NOUN VERB NUM NOUN CCONJ NUM NOUN CCONJ VERB DET NOUN ADP PROPN NOUN PUNCT NOUN PROPN PROPN NOUN VERB NUM NOUN ADP DET PROPN PROPN ADP DET PROPN PROPN PROPN,1,"His incredible journey to safety took eight  nights and seven days  and beat the record of SAS founder - member Jack Sillito, who walked 150 miles in the Western Desert during the Second World War.",False
14,14,15866,24330,"The face in the picture was still terrible — more hateful, if possible, than before — and the red on the hand seemed brighter, like new blood.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1,new blood,literal,identical,DET NOUN ADP DET NOUN VERB ADV ADJ PUNCT ADV ADJ ADP ADJ ADP ADP PUNCT CCONJ DET NOUN ADP DET NOUN VERB ADJ ADP ADJ NOUN,1,"The face in the picture was still terrible — more hateful, if possible, than before — and the red on the hand seemed brighter, like  new blood. ",False
15,15,1194,1567,"It is the pressure of the atmosphere, equivalent to a height of 760 mm of mercury at 0 ° C when measured at sea level.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0,at sea,literal,identical,PRON VERB DET NOUN ADP DET NOUN ADJ ADP DET NOUN ADP NUM NOUN ADP NOUN ADP NUM NOUN NOUN ADV VERB ADP NOUN NOUN,1,"It is the pressure of the atmosphere, equivalent to a height of 760 mm of mercury at 0 ° C when measured  at sea  level.",False
16,16,17512,26660,NACAB increasingly deals with clients who have run up large bills on their credit cards only to find that the repayments crippling.,0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0,on the cards,literal,combined-other,PROPN ADV VERB ADP NOUN NOUN VERB VERB PART ADJ NOUN ADP ADJ NOUN NOUN ADV PART VERB ADP DET NOUN ADJ,1,NACAB increasingly deals with clients who have run up large bills  on their credit cards  only to find that the repayments crippling.,False
17,17,16755,25810,"Five hundred mourners have attended the funeral of a soldier who died when an RAF Hercules crashed, killing all nine people on board.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1,on board,literal,identical,NUM NUM NOUN VERB VERB DET NOUN ADP DET NOUN NOUN VERB ADV DET PROPN PROPN VERB VERB DET NUM NOUN ADP NOUN,1,"Five hundred mourners have attended the funeral of a soldier who died when an RAF Hercules crashed, killing all nine people  on board. ",False
18,18,13020,19907,"One to five light up in green, six to eight in amber, nine and ten in red.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1,in the red,literal,deletion-determiner,NUM PART NUM NOUN PART ADP ADJ NUM PART NUM ADP NOUN NUM CCONJ NUM ADP NOUN,1,"One to five light up in green, six to eight in amber, nine and ten  in red. ",False
19,19,23655,35220,"Generally darkness, or weak lighting, was necessary ; then tables rocked, objects moved, lights were seen and things sometimes felt, and messages were rapped out.",0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0,see the light,literal,misc,ADV NOUN CCONJ ADJ NOUN VERB ADJ PUNCT ADV NOUN VERB NOUN VERB NOUN VERB VERB CCONJ NOUN ADV VERB CCONJ NOUN VERB VERB PART,1,"Generally darkness, or weak lighting, was necessary ; then tables rocked, objects moved,  lights were seen  and things sometimes felt, and messages were rapped out.",False
20,20,18001,27289,An eerie blast on a horn signalled the start of the ceremony and the crowd became silent.,0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0,on the horn,literal,determiner-narrow,DET ADJ NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN CCONJ DET NOUN VERB ADJ,1,An eerie blast  on a horn  signalled the start of the ceremony and the crowd became silent.,False
21,21,10989,17371,"Quite true, says Anthony Corris, the company's marketing manager in business communications.",0 0 0 0 0 0 0 0 0 1 1 0,in business,literal,identical,ADJ ADV VERB PROPN PROPN DET NOUN NOUN NOUN ADP NOUN NOUN,1,"Quite true, says Anthony Corris, the company's marketing manager  in business  communications.",False
22,22,17199,26346,Its replacement by ‘ a sharp blow on the back of the neck or a blow from a mallet to the forehead’ is relatively humane if administered skilfully.,0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,on the back of,literal,identical,ADJ NOUN ADP PRON DET ADJ NOUN ADP DET NOUN ADP DET NOUN CCONJ DET NOUN ADP DET NOUN ADP DET NOUN VERB ADV ADJ ADP VERB ADV,1,Its replacement by ‘ a sharp blow  on the back of  the neck or a blow from a mallet to the forehead’ is relatively humane if administered skilfully.,False
23,23,12363,19195,How do you get twenty for that one when it went in that hole?,0 0 0 0 0 0 0 0 0 0 0 1 0 1,in the hole,literal,determiner-narrow,ADV VERB PRON VERB NUM ADP DET NOUN ADV PRON VERB ADP DET NOUN,1,How do you get twenty for that one when it went  in that hole? ,False
24,24,18186,27475,East of A275. 100 acres of beautiful gardens and woodlands with 5 lakes on different levels joined by cascades and waterfalls.,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0,on the level,literal,determiner-broad,NOUN ADP PROPN NUM NOUN ADP ADJ NOUN CCONJ NOUN ADP NUM NOUN ADP ADJ NOUN VERB ADP NOUN CCONJ NOUN,1,East of A275. 100 acres of beautiful gardens and woodlands with 5 lakes  on different levels  joined by cascades and waterfalls.,False
25,25,18125,27414,"Having lavished so much time, money and effort on their house, you might expect it to be a work of art — which, as Peter modestly admits, ' It is. '",0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,on the house,literal,determiner-broad,VERB VERB ADV ADJ NOUN NOUN CCONJ NOUN ADP ADJ NOUN PRON VERB VERB PRON PART VERB DET NOUN ADP NOUN PUNCT ADJ ADP PROPN ADV VERB PUNCT PRON VERB PUNCT,1,"Having lavished so much time, money and effort  on their house,  you might expect it to be a work of art — which, as Peter modestly admits, ' It is. '",False
26,26,17502,26650,"Clicking on the Ignore button has no effect, and clicking on the Close button produces another box, as follows :",0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0,on the button,literal,insertion-other,VERB ADP DET PROPN NOUN VERB DET NOUN CCONJ VERB ADP DET ADJ NOUN VERB DET NOUN ADP VERB PUNCT,1,"Clicking on the Ignore button has no effect, and clicking  on the Close button  produces another box, as follows :",False
27,27,17737,26885,"On the carpet by the tallboy were several red carnations, as fresh as they had come from the florist, and beside them, a shattered glass spill.",1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,on the carpet,literal,case,ADP DET NOUN ADP DET NOUN VERB ADJ ADJ NOUN ADV ADJ ADP PRON VERB VERB ADP DET NOUN CCONJ ADP PRON DET ADJ NOUN NOUN,1," On the carpet  by the tallboy were several red carnations, as fresh as they had come from the florist, and beside them, a shattered glass spill.",False
28,28,15660,23967,' Will we mend the fence? ' said Lee.,0 0 0 1 0 1 0 0 0,mend fences,literal,combined-inflection,PUNCT VERB PRON VERB DET NOUN PUNCT VERB PROPN,1,' Will we  mend the fence?  ' said Lee.,False
29,29,18518,27807,scratch on his nose.,0 1 0 1,on the nose,literal,determiner-broad,NOUN ADP ADJ NOUN,1,scratch  on his nose. ,False
30,30,6723,10747,I wrote the lyrics and Harry Pryce composed the music for a theme song for ' From Leicester Square to Broadway '.,0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0,for a song,literal,insertion-other,PRON VERB DET NOUN CCONJ PROPN PROPN VERB DET NOUN ADP DET NOUN NOUN ADP PUNCT ADP PROPN PROPN ADP PROPN PUNCT,1,I wrote the lyrics and Harry Pryce composed the music  for a theme song  for ' From Leicester Square to Broadway '.,False
31,31,9380,14923,When I get tired I stop at green lights — I 'm always doing that.,0 0 0 0 0 0 0 1 1 0 0 0 0 0 0,green light,literal,inflection,ADV PRON VERB ADJ PRON VERB ADP ADJ NOUN PUNCT PRON VERB ADV VERB DET,1,When I get tired I stop at  green lights  — I 'm always doing that.,False
32,32,10652,16826,Was that was that hot air balloon following you by any chance?,0 0 0 0 1 1 0 0 0 0 0 0,hot air,literal,identical,VERB DET VERB DET ADJ NOUN NOUN VERB PRON ADP DET NOUN,1,Was that was that  hot air  balloon following you by any chance?,False
33,33,21357,31888,We still haven't discussed the question of which cards are necessary in order to play a particular game.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1,play games,literal,combined-inflection,PRON ADV VERB VERB DET NOUN ADP ADJ NOUN VERB ADJ ADP NOUN PART VERB DET ADJ NOUN,1,We still haven't discussed the question of which cards are necessary in order to  play a particular game. ,False
34,34,10117,15923,They were heading south - west along the road to Kinsai.,0 0 1 1 0 0 0 0 0 0 0,head south,literal,inflection,PRON VERB VERB ADV PUNCT NOUN ADP DET NOUN ADP PROPN,1,They were  heading south  - west along the road to Kinsai.,False
35,35,13127,20014,"He concentrated on her breasts, small and soft, tipped so brightly in their red, moving in her agitation.",0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0,in the red,literal,determiner-broad,PRON VERB ADP ADJ NOUN ADJ CCONJ ADJ VERB ADV ADV ADP ADJ NOUN VERB ADP ADJ NOUN,1,"He concentrated on her breasts, small and soft, tipped so brightly  in their red,  moving in her agitation.",False
36,36,10679,16853,"In houses for heating it's conceivable that you could have a huge hot water store in the basement, or a store made up of round pebbles, heated by hot air, which you could then use by circulating cool air through them to produce hot air at other times.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0,hot air,literal,identical,ADP NOUN ADP VERB PRON ADJ ADP PRON VERB VERB DET ADJ ADJ NOUN NOUN ADP DET NOUN CCONJ DET NOUN VERB PART ADP ADJ NOUN VERB ADP ADJ NOUN ADJ PRON VERB ADV VERB ADP VERB ADJ NOUN ADP PRON PART VERB ADJ NOUN ADP ADJ NOUN,1,"In houses for heating it's conceivable that you could have a huge hot water store in the basement, or a store made up of round pebbles, heated by hot air, which you could then use by circulating cool air through them to produce  hot air  at other times.",False
37,37,17345,26493,STRACHAN Never beaten in his heart and always penetrating on the ball 8,0 0 0 0 0 0 0 0 0 1 0 1 0,on the ball,literal,identical,PROPN ADV VERB ADP ADJ NOUN CCONJ ADV VERB ADP DET NOUN NUM,1,STRACHAN Never beaten in his heart and always penetrating  on the ball  8,False
38,38,27640,41067,Think of a sunflower turning its flower head towards a source of light — and therefore of energy.,0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0,turn heads,literal,combined-inflection,VERB ADP DET NOUN VERB ADJ NOUN NOUN ADP DET NOUN ADP NOUN PUNCT CCONJ ADV ADP NOUN,1,Think of a sunflower  turning its flower head  towards a source of light — and therefore of energy.,False
39,39,9613,15236,is my favourite of the harder Welsh cheeses.,0 0 0 0 0 1 0 1,hard cheese,literal,misc,VERB ADJ NOUN ADP DET ADJ PROPN NOUN,1,is my favourite of the  harder Welsh cheeses. ,False
40,40,28758,42677,"The northern ( and earlier ) approach was by passes across the Ural mountains to the lower reaches of the river Obn and thence down the Ob Gulf by boat to the mouth of the Tazn which was ascended as far as a portage to the lower Yenisei ; from there they followed an eastward course up the Lower Tunguska river, crossing a portage to the Vilyui and so to the Lena.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,up the river,literal,insertion-other,DET ADJ PUNCT CCONJ ADV PUNCT NOUN VERB ADP NOUN ADP DET PROPN NOUN ADP DET ADJ NOUN ADP DET NOUN PROPN CCONJ NOUN PART DET PROPN PROPN ADP NOUN ADP DET NOUN ADP DET PROPN ADJ VERB VERB ADV ADV ADP DET NOUN ADP DET ADJ PROPN PUNCT ADP ADV PRON VERB DET ADJ NOUN ADP DET ADJ PROPN NOUN VERB DET NOUN ADP DET PROPN CCONJ ADV ADP DET PROPN,1,"The northern ( and earlier ) approach was by passes across the Ural mountains to the lower reaches of the river Obn and thence down the Ob Gulf by boat to the mouth of the Tazn which was ascended as far as a portage to the lower Yenisei ; from there they followed an eastward course  up the Lower Tunguska river,  crossing a portage to the Vilyui and so to the Lena.",False
41,41,12177,19009,"In the final analysis one organisation lost as much as 37 % of its annualised profits to accidents, another 5 % of its running costs.",1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,in the final analysis,literal,case,ADP DET ADJ NOUN NUM NOUN VERB ADV ADJ ADP NUM NOUN ADP ADJ VERB NOUN ADP NOUN DET NUM NOUN ADP ADJ VERB NOUN,1," In the final analysis  one organisation lost as much as 37 % of its annualised profits to accidents, another 5 % of its running costs.",False
42,42,3159,4848,Arguments about absenteeism ( not borne out incidentally by the surviving wage - books ) are hardly relevant when one is talking about piece - work in large firms.,0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,by the book,literal,combined-inflection,NOUN ADP NOUN PUNCT ADV VERB PART ADV ADP DET VERB NOUN PUNCT NOUN PUNCT VERB ADV ADJ ADV PRON VERB VERB ADP NOUN PUNCT NOUN ADP ADJ NOUN,1,Arguments about absenteeism ( not borne out incidentally  by the surviving wage - books  ) are hardly relevant when one is talking about piece - work in large firms.,False
43,43,7435,11755,Jordan called incorrectly and cup holders Rangers will stage the game on their own ground 24 hours after Hibernian and Dundee United clash in the other semi - final at Tynecastle.,0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,game on,literal,identical,PROPN VERB ADV CCONJ NOUN NOUN PROPN VERB VERB DET NOUN ADP ADJ ADJ NOUN NUM NOUN ADP PROPN CCONJ PROPN PROPN VERB ADP DET ADJ NOUN PUNCT ADJ ADP PROPN,1,Jordan called incorrectly and cup holders Rangers will stage the  game on  their own ground 24 hours after Hibernian and Dundee United clash in the other semi - final at Tynecastle.,False
44,44,9870,15507,It was like in films when people have a heart attack — they mumble something which seems very important to them but which no - one can understand.,0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,have a heart,literal,identical,PRON VERB ADP ADP NOUN ADV NOUN VERB DET NOUN NOUN PUNCT PRON ADJ NOUN ADJ VERB ADV ADJ ADP PRON CCONJ ADJ DET PUNCT NOUN VERB VERB,1,It was like in films when people  have a heart  attack — they mumble something which seems very important to them but which no - one can understand.,False
45,45,1246,1625,"From year to year they used the same handrails to go down into the past : lifting the cartwheel at the crossroads, the drilling sessions by the river, the first ambush, marching at night between the safe houses, the different characters in the houses, the food, the girls …",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,at the crossroads,literal,identical,ADP NOUN ADP NOUN PRON VERB DET ADJ NOUN PART VERB PART ADP DET NOUN PUNCT VERB DET NOUN ADP DET NOUN DET NOUN NOUN ADP DET NOUN DET ADJ NOUN VERB ADP NOUN ADP DET ADJ NOUN DET ADJ NOUN ADP DET NOUN DET NOUN DET NOUN PUNCT,1,"From year to year they used the same handrails to go down into the past : lifting the cartwheel  at the crossroads,  the drilling sessions by the river, the first ambush, marching at night between the safe houses, the different characters in the houses, the food, the girls …",False
46,46,21970,32763,"There was a strong smell of fuel, and the water was like ice round my feet as I pushed the boat out before jumping in … ’",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0,push the boat out,literal,inflection,ADV VERB DET ADJ NOUN ADP NOUN CCONJ DET NOUN VERB ADP NOUN ADP ADJ NOUN ADP PRON VERB DET NOUN PART ADP VERB PART PUNCT PUNCT,1,"There was a strong smell of fuel, and the water was like ice round my feet as I  pushed the boat out  before jumping in … ’",False
47,47,2801,4252,"She had bought a farm at Willowdale, Ontario.",0 0 1 0 1 0 0 0,buy the farm,literal,combined-inflection,PRON VERB VERB DET NOUN ADP PROPN PROPN,1,"She had  bought a farm  at Willowdale, Ontario.",False
48,48,17445,26593,"We 're stuck in this car on this motorway, the three of us, and someone ( the driver!— me! ) has leant an elbow on the button of the central locking system.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0,on the button,literal,identical,PRON VERB VERB ADP DET NOUN ADP DET NOUN DET NUM ADP PRON CCONJ NOUN PUNCT DET ADJ PRON PUNCT VERB NOUN DET NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN,1,"We 're stuck in this car on this motorway, the three of us, and someone ( the driver!— me! ) has leant an elbow  on the button  of the central locking system.",False
49,49,816,1096,"Some embody traditional notions of justice, such as the rule that a statute is presumed not to be retrospective ( except in procedural matters ).",0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,as a rule,literal,determiner-narrow,DET VERB ADJ NOUN ADP NOUN ADJ ADP DET NOUN ADP DET NOUN VERB VERB ADV PART VERB ADJ PUNCT ADP ADP ADJ NOUN PUNCT,1,"Some embody traditional notions of justice, such  as the rule  that a statute is presumed not to be retrospective ( except in procedural matters ).",False
50,50,12354,19186,On one occasion I recall having a rabbit sealed in a single hole.,0 0 0 0 0 0 0 0 0 1 0 0 1,in the hole,literal,combined-other,ADP NUM NOUN PRON VERB VERB DET NOUN VERB ADP DET ADJ NOUN,1,On one occasion I recall having a rabbit sealed  in a single hole. ,False
51,51,11019,17401,"In answer to his last question, I do not believe that it necessarily makes sense for those who may not be fully qualified or experienced to get rid of such waste when those who are involved in a similar business are much better qualified to do so.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0,in business,literal,insertion-other,ADP NOUN ADP ADJ ADJ NOUN PRON VERB ADV VERB ADP PRON ADV VERB NOUN ADP DET NOUN VERB ADV VERB ADV ADJ CCONJ VERB PART VERB VERB ADP ADJ NOUN ADV DET NOUN VERB VERB ADP DET ADJ NOUN VERB ADV ADV ADJ PART VERB ADV,1,"In answer to his last question, I do not believe that it necessarily makes sense for those who may not be fully qualified or experienced to get rid of such waste when those who are involved  in a similar business  are much better qualified to do so.",False
