,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sentence,annotation,idiom,usage,variant,pos_tags,complete,text,label,clean_text,char_count,word_count,topic_sim_sum,topic_sim_index,topic_matches,score
470,470.0,9814,15449,"The Socratic virtues were preached because the Greeks had lost them : excitable, timid, fickle comedians every one of them, they had a few reasons too many for having morals preached to them.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0,have a few,literal,inflection,DET ADJ NOUN VERB VERB ADP DET PROPN VERB VERB PRON PUNCT ADJ ADJ ADJ NOUN DET NUM ADP PRON PRON VERB DET ADJ NOUN ADV ADJ ADP VERB NOUN VERB ADP PRON,1.0,"The Socratic virtues were preached because the Greeks had lost them : excitable, timid, fickle comedians every one of them, they [PET_BOUNDARY] had a few [PET_BOUNDARY] reasons too many for having morals preached to them.",0,,,,,,,
181,181.0,578,817,"Ah, I can't see now, my glasses are all wet!",0 0 0 0 0 0 0 0 1 1,all wet,literal,identical,INTJ PRON VERB VERB ADV ADJ NOUN VERB ADV ADJ,1.0,"Ah, I can't see now, my glasses are [PET_BOUNDARY] all wet! [PET_BOUNDARY]",0,,,,,,,
252,252.0,28649,42567,"Right good and you should always check that before you draw it just in case your pie chart comes out and put, put that up in the air a bit I 'll just show you that, those are good there, but up in the air like that",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0,up in the air,literal,identical,ADV ADJ CCONJ PRON VERB ADV VERB ADP ADP PRON VERB PRON ADV ADP NOUN ADJ NOUN NOUN VERB PART CCONJ VERB VERB DET PART ADP DET NOUN DET NOUN PRON VERB ADV VERB PRON ADP DET VERB ADJ ADV CCONJ ADV ADP DET NOUN ADP DET,1.0,"Right good and you should always check that before you draw it just in case your pie chart comes out and put, put that up in the air a bit I 'll just show you that, those are good there, but [PET_BOUNDARY] up in the air [PET_BOUNDARY] like that",0,,,,,,,
685,685.0,28445,42110,to do is get your great knees under the table.,0 0 0 0 0 0 0 1 0 1,under the table,literal,identical,PART VERB VERB VERB ADJ ADJ NOUN ADP DET NOUN,1.0,to do is get your great knees [PET_BOUNDARY] under the table. [PET_BOUNDARY],0,,,,,,,
322,322.0,28690,42608,We 're up in the air and our school's down there,0 0 1 1 0 1 0 0 0 0 0,up in the air,literal,identical,PRON VERB PART ADP DET NOUN CCONJ ADJ NOUN ADV ADV,1.0,We 're [PET_BOUNDARY] up in the air [PET_BOUNDARY] and our school's down there,0,,,,,,,
303,303.0,1924,2617,"him from behind the bar, saying : ' I never want",0 0 1 0 1 0 0 0 0 0 0,behind bars,literal,combined-inflection,PRON ADP ADP DET NOUN VERB PUNCT PUNCT PRON ADV VERB,1.0,"him from [PET_BOUNDARY] behind the bar, [PET_BOUNDARY] saying : ' I never want",0,,,,,,,
725,725.0,1879,2572,The boathook is usually kept on the wall behind the bar.,0 0 0 0 0 0 0 0 1 0 1,behind bars,literal,combined-inflection,DET NOUN VERB ADV VERB ADP DET NOUN ADP DET NOUN,1.0,The boathook is usually kept on the wall [PET_BOUNDARY] behind the bar. [PET_BOUNDARY],0,,,,,,,
665,665.0,18939,28228,James put the bowl reluctantly back on its shelf and shut the cabinet doors.,0 0 0 0 0 0 1 0 1 0 0 0 0 0,on the shelf,literal,determiner-broad,PROPN VERB DET NOUN ADV ADV ADP ADJ NOUN CCONJ VERB DET NOUN NOUN,1.0,James put the bowl reluctantly back [PET_BOUNDARY] on its shelf [PET_BOUNDARY] and shut the cabinet doors.,0,,,,,,,
851,851.0,11121,17534,"There are many such names in Dutch and Flemish, dating from Napoleonic times.",0 0 0 0 0 1 1 0 0 0 0 0 0,in dutch,literal,identical,ADV VERB ADJ ADJ NOUN ADP PROPN CCONJ PROPN VERB ADP ADJ NOUN,1.0,"There are many such names [PET_BOUNDARY] in Dutch [PET_BOUNDARY] and Flemish, dating from Napoleonic times.",0,,,,,,,
657,657.0,12056,18888,"Wycliffe shared a table with a merchant captain whose ship was in dock, a quiet spoken man on the verge of retirement.",0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0,in the dock,literal,inflection,PROPN VERB DET NOUN ADP DET NOUN NOUN ADJ NOUN VERB ADP NOUN DET ADJ ADJ NOUN ADP DET NOUN ADP NOUN,1.0,"Wycliffe shared a table with a merchant captain whose ship was [PET_BOUNDARY] in dock, [PET_BOUNDARY] a quiet spoken man on the verge of retirement.",0,,,,,,,
820,820.0,11912,18744,"Usually, it has been designed to be highly amplified in a night - club.",0 0 0 0 0 0 0 0 0 1 0 0 0 1,in the club,literal,combined-other,ADV PRON VERB VERB VERB PART VERB ADV VERB ADP DET NOUN PUNCT NOUN,1.0,"Usually, it has been designed to be highly amplified [PET_BOUNDARY] in a night - club. [PET_BOUNDARY]",0,,,,,,,
262,262.0,18864,28153,"From Reims, a long day through to Aix - les - Bains saw us losing time when a broken throttle spring caused an unbalanced descent on a slippery downhill run.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1,on the run,literal,combined-other,ADP PROPN DET ADJ NOUN ADV ADP PROPN PUNCT X PUNCT PROPN VERB PRON VERB NOUN ADV DET ADJ NOUN NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN VERB,1.0,"From Reims, a long day through to Aix - les - Bains saw us losing time when a broken throttle spring caused an unbalanced descent [PET_BOUNDARY] on a slippery downhill run. [PET_BOUNDARY]",0,,,,,,,
164,164.0,16714,25769,"They may only exercise criminal jurisdiction while a state of defence exists, and otherwise only over members of the Armed ~ Forces serving abroad or on board warships.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0,on board,literal,identical,PRON VERB ADV VERB ADJ NOUN ADP DET NOUN ADP NOUN VERB CCONJ ADV ADV ADP NOUN ADP DET PROPN PUNCT NOUN VERB ADV CCONJ ADP NOUN NOUN,1.0,"They may only exercise criminal jurisdiction while a state of defence exists, and otherwise only over members of the Armed ~ Forces serving abroad or [PET_BOUNDARY] on board [PET_BOUNDARY] warships.",0,,,,,,,
88,88.0,13066,19953,"That 'll be in the new, in the red line and you go on the other stuff.",0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0,in the red,literal,identical,DET VERB VERB ADP DET ADJ ADP DET ADJ NOUN CCONJ PRON VERB ADP DET ADJ NOUN,1.0,"That 'll be in the new, [PET_BOUNDARY] in the red [PET_BOUNDARY] line and you go on the other stuff.",0,,,,,,,
41,41.0,12177,19009,"In the final analysis one organisation lost as much as 37 % of its annualised profits to accidents, another 5 % of its running costs.",1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,in the final analysis,literal,case,ADP DET ADJ NOUN NUM NOUN VERB ADV ADJ ADP NUM NOUN ADP ADJ VERB NOUN ADP NOUN DET NUM NOUN ADP ADJ VERB NOUN,1.0,"[PET_BOUNDARY] In the final analysis [PET_BOUNDARY] one organisation lost as much as 37 % of its annualised profits to accidents, another 5 % of its running costs.",0,,,,,,,
433,433.0,5021,8053,"That was actually quite a productive meeting, although it took quite a time to get through it, I think we did the right thing on the continuous procedures.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0,do the right thing,literal,inflection,DET VERB ADV ADJ DET ADJ NOUN ADP PRON VERB ADJ DET NOUN PART VERB ADP PRON PRON VERB PRON VERB DET ADJ NOUN ADP DET ADJ NOUN,1.0,"That was actually quite a productive meeting, although it took quite a time to get through it, I think we [PET_BOUNDARY] did the right thing [PET_BOUNDARY] on the continuous procedures.",0,,,,,,,
295,295.0,12371,19203,"it might be better to use like just wait on the edge of like a or something like that the other groundhog just hangs out there, it can't go back down in its hole.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1,in the hole,literal,determiner-broad,PRON VERB VERB ADJ PART VERB INTJ ADV VERB ADP DET NOUN ADP INTJ DET CCONJ NOUN ADP ADP DET ADJ NOUN ADV VERB PART ADV PRON VERB VERB ADV ADV ADP ADJ NOUN,1.0,"it might be better to use like just wait on the edge of like a or something like that the other groundhog just hangs out there, it can't go back down [PET_BOUNDARY] in its hole. [PET_BOUNDARY]",0,,,,,,,
165,165.0,12761,19609,connected between pre- and power amplifiers or in the tape loop of an integrated amplifier ( there is a duplicate tape loop on the unit to restore the lost facility ) it provides fixed equalization to extend the loudspeaker's operating range below the normal cutoff point and additionally permits fine adjustment of the frequency response to give subtle control over the in - room performance.,0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,in the loop,literal,insertion-other,VERB ADP ADJ CCONJ NOUN NOUN CCONJ ADP DET NOUN NOUN ADP DET ADJ NOUN PUNCT ADV VERB DET ADJ NOUN NOUN ADP DET NOUN PART VERB DET VERB NOUN PUNCT PRON VERB VERB NOUN PART VERB DET NOUN NOUN NOUN ADP DET ADJ NOUN NOUN CCONJ ADV VERB ADJ NOUN ADP DET NOUN NOUN PART VERB ADJ NOUN ADP DET ADP PUNCT NOUN NOUN,1.0,connected between pre- and power amplifiers or [PET_BOUNDARY] in the tape loop [PET_BOUNDARY] of an integrated amplifier ( there is a duplicate tape loop on the unit to restore the lost facility ) it provides fixed equalization to extend the loudspeaker's operating range below the normal cutoff point and additionally permits fine adjustment of the frequency response to give subtle control over the in - room performance.,0,,,,,,,
813,813.0,8335,13291,"Cupertino, California - based Apple Computer Inc, which went all the way to Japan for its last major product introduction, will finally launch its first family of network file servers at CeBit, in Hannover, on March 25, according to US press reports.",0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,go all the way,literal,inflection,PROPN PROPN PUNCT VERB PROPN PROPN PROPN ADJ VERB ADJ DET NOUN ADP PROPN ADP ADJ ADJ ADJ NOUN NOUN VERB ADV VERB ADJ ADJ NOUN ADP NOUN NOUN NOUN ADP PROPN ADP PROPN ADP PROPN NUM VERB ADP PROPN NOUN NOUN,1.0,"Cupertino, California - based Apple Computer Inc, which [PET_BOUNDARY] went all the way [PET_BOUNDARY] to Japan for its last major product introduction, will finally launch its first family of network file servers at CeBit, in Hannover, on March 25, according to US press reports.",0,,,,,,,
646,646.0,20352,30754,but the strong impression I had is walking over the hill from Kettleborough where the gun club now is walking down into this valley and seeing that view of this little end of the village nestling in the hollow and I can remember feeling a extraordinarily strong sensation that I could easily live there,0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,over the hill,literal,identical,CCONJ DET ADJ NOUN PRON VERB VERB VERB ADP DET NOUN ADP PROPN ADV DET NOUN NOUN ADV VERB VERB PART ADP DET NOUN CCONJ VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN VERB ADP DET NOUN CCONJ PRON VERB VERB VERB DET ADV ADJ NOUN ADJ PRON VERB ADV VERB ADV,1.0,but the strong impression I had is walking [PET_BOUNDARY] over the hill [PET_BOUNDARY] from Kettleborough where the gun club now is walking down into this valley and seeing that view of this little end of the village nestling in the hollow and I can remember feeling a extraordinarily strong sensation that I could easily live there,0,,,,,,,
493,493.0,16581,25549,Any hit scored against the caster by an ordinary weapon is deflected on the D6 roll of a 3 or more.,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0,on a roll,literal,combined-other,DET NOUN VERB ADP DET NOUN ADP DET ADJ NOUN VERB VERB ADP DET NOUN NOUN ADP DET NUM CCONJ ADJ,1.0,Any hit scored against the caster by an ordinary weapon is deflected [PET_BOUNDARY] on the D6 roll [PET_BOUNDARY] of a 3 or more.,0,,,,,,,
291,291.0,19151,28440,"McAllister, coughing slightly against the stench of the room — Dr Neil was hardened to it — laid the towelling and the scissors on the clean square, and said briskly to Dr Neil, ' Is there anything in your bag which you might need urgently?",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,on the square,literal,insertion-other,PROPN VERB ADV ADP DET NOUN ADP DET NOUN PUNCT PROPN PROPN VERB VERB ADP PRON PUNCT VERB DET NOUN CCONJ DET NOUN ADP DET ADJ NOUN CCONJ VERB ADV ADP PROPN PROPN PUNCT VERB ADV NOUN ADP ADJ NOUN ADJ PRON VERB VERB ADV,1.0,"McAllister, coughing slightly against the stench of the room — Dr Neil was hardened to it — laid the towelling and the scissors [PET_BOUNDARY] on the clean square, [PET_BOUNDARY] and said briskly to Dr Neil, ' Is there anything in your bag which you might need urgently?",0,,,,,,,
575,575.0,8908,14201,Take you up and then go straight to work then you see.,0 0 0 0 0 1 1 0 0 0 0 0,go straight,literal,identical,VERB PRON PART CCONJ ADV VERB ADV PART VERB ADV PRON VERB,1.0,Take you up and then [PET_BOUNDARY] go straight [PET_BOUNDARY] to work then you see.,0,,,,,,,
942,942.0,16478,25426,"This was followed by two more, with the sound of shattering glass and lumps of plaster falling off the walls.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1,off the wall,literal,inflection,DET VERB VERB ADP NUM ADJ ADP DET NOUN ADP VERB NOUN CCONJ NOUN ADP NOUN VERB ADP DET NOUN,1.0,"This was followed by two more, with the sound of shattering glass and lumps of plaster falling [PET_BOUNDARY] off the walls. [PET_BOUNDARY]",0,,,,,,,
145,145.0,28266,41931,"When they examined the cells under an electron microscope, the gold only highlighted abnormal proteins in the waste disposal organ of the cell, called the lysosome.",0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,under the microscope,literal,combined-other,ADV PRON VERB DET NOUN ADP DET NOUN NOUN DET NOUN ADV VERB ADJ NOUN ADP DET NOUN NOUN NOUN ADP DET NOUN VERB DET NOUN,1.0,"When they examined the cells [PET_BOUNDARY] under an electron microscope, [PET_BOUNDARY] the gold only highlighted abnormal proteins in the waste disposal organ of the cell, called the lysosome.",0,,,,,,,
175,175.0,7424,11744,If I install games on a SD card will my laptop run faster?,0 0 0 1 1 0 0 0 0 0 0 0 0,game on,literal,inflection,ADP PRON VERB NOUN ADP DET PROPN NOUN VERB ADJ NOUN VERB ADV,1.0,If I install [PET_BOUNDARY] games on [PET_BOUNDARY] a SD card will my laptop run faster?,0,,,,,,,
695,695.0,5462,8603,"Aldershot .............. 0 Sheffield Wednesday .... 8 ( Wednesday win 8 - 0 on agg ) RON ATKINSON 'S blue and white army marched down Ordinance Road, past the Cannon pub and fired the Shots out of the Littlewoods Cup with a devastating display of firepower which brought Steve Whitton four goals and Dalian Atkinson three.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,down the road,literal,combined-other,NOUN PUNCT NUM PROPN PROPN PUNCT NUM PUNCT PROPN VERB NUM SYM NUM ADP NOUN PUNCT PROPN PROPN PART ADJ CCONJ ADJ NOUN VERB ADP PROPN PROPN ADP DET PROPN NOUN CCONJ VERB DET NOUN ADP ADP DET PROPN PROPN ADP DET ADJ NOUN ADP NOUN ADJ VERB PROPN PROPN NUM NOUN CCONJ PROPN PROPN NUM,1.0,"Aldershot .............. 0 Sheffield Wednesday .... 8 ( Wednesday win 8 - 0 on agg ) RON ATKINSON 'S blue and white army marched [PET_BOUNDARY] down Ordinance Road, [PET_BOUNDARY] past the Cannon pub and fired the Shots out of the Littlewoods Cup with a devastating display of firepower which brought Steve Whitton four goals and Dalian Atkinson three.",0,,,,,,,
604,604.0,17638,26786,"Steve Cauthen, who rode Balla Cove, had earlier taken the other feature race on the card, the Godolphin Stakes, on Spritsail — a victory that should have been the subject of a stewards ' inquiry.",0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,on the cards,literal,inflection,PROPN PROPN NOUN VERB PROPN PROPN VERB ADV VERB DET ADJ NOUN NOUN ADP DET NOUN DET PROPN PROPN ADP PROPN PUNCT DET NOUN ADJ VERB VERB VERB DET NOUN ADP DET NOUN PART NOUN,1.0,"Steve Cauthen, who rode Balla Cove, had earlier taken the other feature race [PET_BOUNDARY] on the card, [PET_BOUNDARY] the Godolphin Stakes, on Spritsail — a victory that should have been the subject of a stewards ' inquiry.",0,,,,,,,
837,837.0,13214,20101,"The sale of goods for use by the purchaser in the running of his business, e.g. a typewriter for use in a firm's office.",0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0,in the running,literal,identical,DET NOUN ADP NOUN ADP NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN ADV DET NOUN ADP NOUN ADP DET NOUN NOUN,1.0,"The sale of goods for use by the purchaser [PET_BOUNDARY] in the running [PET_BOUNDARY] of his business, e.g. a typewriter for use in a firm's office.",0,,,,,,,
305,305.0,13605,20492,At our conference in November we had a roll call of five hundred and six G M B members who 'd ha who were either killed in work or had died from work - related disease since May nineteen seventy nine those who attended may recall the emotional er,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,in the works,literal,combined-inflection,ADP ADJ NOUN ADP PROPN PRON VERB DET NOUN NOUN ADP NUM NUM CCONJ NUM NOUN PROPN PROPN NOUN NOUN VERB INTJ NOUN VERB CCONJ VERB ADP NOUN CCONJ VERB VERB ADP NOUN PUNCT VERB NOUN ADP PROPN NUM NUM NUM DET NOUN VERB VERB VERB DET ADJ INTJ,1.0,At our conference in November we had a roll call of five hundred and six G M B members who 'd ha who were either killed [PET_BOUNDARY] in work [PET_BOUNDARY] or had died from work - related disease since May nineteen seventy nine those who attended may recall the emotional er,0,,,,,,,
728,728.0,18498,27787,What on your nose?,0 1 0 1,on the nose,literal,determiner-broad,NOUN ADP ADJ NOUN,1.0,What [PET_BOUNDARY] on your nose? [PET_BOUNDARY],0,,,,,,,
453,453.0,18645,27934,"But today, he saw a boy of about sixteen lying on a large rock beside the pool.",0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0,on the rocks,literal,combined-inflection,CCONJ NOUN PRON VERB DET NOUN ADP ADV NUM VERB ADP DET ADJ NOUN ADP DET NOUN,1.0,"But today, he saw a boy of about sixteen lying [PET_BOUNDARY] on a large rock [PET_BOUNDARY] beside the pool.",0,,,,,,,
723,723.0,27994,41621,"And so, for two pence a length, I started swimming.",0 0 0 1 1 0 0 0 0 0,two a penny,literal,combined-inflection,CCONJ ADV ADP NUM NOUN DET NOUN PRON VERB VERB,1.0,"And so, for [PET_BOUNDARY] two pence [PET_BOUNDARY] a length, I started swimming.",0,,,,,,,
