,Unnamed: 0.1,Unnamed: 0,text,clean_text,char_count,word_count,topic_sim_sum,topic_sim_index,topic_matches,label
786,9446,169818,"It was sort of mentioned . By following the ' rules ' , the new ' extra cash ' is not ever pocketed because the main rule is that all extra cash after paying for monthly expenses goes to the highest interest debt . It should go without saying that , for ' spenders ' , getting out of debt is a lifestyle decision and should be viewed similar to addiction behavior modification . It takes great will power and tenacity .","it was sort of mentioned . by following the ' rules ' , the new ' extra cash ' is not ever pocketed because the main rule is that all extra cash after paying for monthly expenses goes to the highest interest debt . it should go without saying that , for ' spenders ' , getting out of debt is a lifestyle decision and should be viewed similar to addiction behavior modification . it takes great will power and tenacity .",419,82,13,0.1733333333333333,"[('rules', 'law', 0.5177953), ('rules', 'restrictions', 0.5421726), ('rules', 'rule', 0.6459378), ('cash', 'money', 0.6151221), ('main', 'primary', 0.5129422), ('rule', 'law', 0.5247162), ('rule', 'rule', 1.0), ('cash', 'money', 0.6151221), ('debt', 'debt', 1.0), ('spenders', 'spending', 0.5050196), ('debt', 'debt', 1.0), ('decision', 'ruling', 0.53884876), ('power', 'power', 1.0)]",1
756,1206,506642,""" Educational decisions are among the most important that families make . Parents want what 's best for their children and children need the best middle school and high school education available to set the foundation for the lives they will lead , "" says Greg Cappello , Director of Admissions and Financial Aid for the school .",""" educational decisions are among the most important that families make . parents want what 's best for their children and children need the best middle school and high school education available to set the foundation for the lives they will lead , "" says greg cappello , director of admissions and financial aid for the school .",329,58,13,0.2407407407407407,"[('educational', 'education', 0.6780008), ('parents', 'school', 0.5244654), ('school', 'education', 0.50553805), ('school', 'school', 0.99999994), ('school', 'education', 0.50553805), ('school', 'school', 0.99999994), ('education', 'education', 1.0), ('education', 'school', 0.50553805), ('director', 'president', 0.53861916), ('financial', 'fiscal', 0.50823987), ('aid', 'aid', 1.0000001), ('school', 'education', 0.50553805), ('school', 'school', 0.99999994)]",1
42,3766,630049,"The federal government is helping States and localities plan for safe and cost-effective waste prevention , recycling and disposal by facilitating information exchange , providing technical assistance , setting minimum standards governing the safe management of municipal waste , as well as loans and other support for efforts to promote source reduction and recycling .","the federal government is helping states and localities plan for safe and cost-effective waste prevention , recycling and disposal by facilitating information exchange , providing technical assistance , setting minimum standards governing the safe management of municipal waste , as well as loans and other support for efforts to promote source reduction and recycling .",370,55,10,0.2,"[('federal', 'government', 0.5094332), ('government', 'administration', 0.5462369), ('government', 'government', 1.0), ('plan', 'strategy', 0.5891837), ('assistance', 'aid', 0.69736254), ('assistance', 'support', 0.5207138), ('loans', 'banks', 0.53648436), ('loans', 'debt', 0.5687963), ('support', 'support', 1.0), ('reduction', 'cuts', 0.54326373)]",1
408,3727,1311190,"Civilian personnel in the Defense Department will be "" seriously affected "" if a budget sequester takes effect next year , the Pentagon 's top budget official said Tuesday .","civilian personnel in the defense department will be "" seriously affected "" if a budget sequester takes effect next year , the pentagon 's top budget official said tuesday .",173,30,15,0.5357142857142857,"[('civilian', 'military', 0.66374177), ('defense', 'defense', 1.0), ('budget', 'budget', 0.99999994), ('budget', 'cuts', 0.5091997), ('budget', 'deficit', 0.5496122), ('budget', 'fiscal', 0.59004045), ('budget', 'funding', 0.5415), ('budget', 'spending', 0.56915724), ('budget', 'budget', 0.99999994), ('budget', 'cuts', 0.5091997), ('budget', 'deficit', 0.5496122), ('budget', 'fiscal', 0.59004045), ('budget', 'funding', 0.5415), ('budget', 'spending', 0.56915724), ('official', 'officials', 0.542246)]",1
302,4426,1316219,"Correction , Nov. 13 , 2012 : This piece incorrectly stated that a tie occurred in the Electoral College in 1824 . ( Return @ @ @ @ @ @ @ @ @ @ situation in which candidates would have an incentive to seek a recount if the winner were determined by the popular vote . ( Return to the corrected sentence . ) Thanks to Texas State Representative Scott Hochberg and Barnard professor Scott Minkoff for the corrections .","correction , nov.  ,  : this piece incorrectly stated that a tie occurred in the electoral college in  . ( return @ @ @ @ @ @ @ @ @ @ situation in which candidates would have an incentive to seek a recount if the winner were determined by the popular vote . ( return to the corrected sentence . ) thanks to texas state representative scott hochberg and barnard professor scott minkoff for the corrections .",406,77,10,0.175438596491228,"[('electoral', 'election', 0.7147979), ('college', 'school', 0.6081898), ('candidates', 'candidate', 0.79427433), ('candidates', 'election', 0.507066), ('candidates', 'voters', 0.5279368), ('recount', 'election', 0.56524295), ('vote', 'election', 0.602672), ('vote', 'vote', 1.0), ('vote', 'voters', 0.5841916), ('sentence', 'prison', 0.7031725)]",1
89,3180,439991,"We now know that "" children of married couples are more likely to do well at school , in academic and social terms , than children of cohabiting heterosexual and homosexual couples . "" ( Sotirios Sarantakos , a sociologist , in the journal Children Australia , came to this conclusion after studying "" a sample of 174 primary school children living in three different types of @ @ @ @ @ @ @ @ @ @ children of heterosexual married couples and 58 children of homosexual ( 47 lesbian and 11 gay couples . "" )","we now know that "" children of married couples are more likely to do well at school , in academic and social terms , than children of cohabiting heterosexual and homosexual couples . "" ( sotirios sarantakos , a sociologist , in the journal children australia , came to this conclusion after studying "" a sample of  primary school children living in three different types of @ @ @ @ @ @ @ @ @ @ children of heterosexual married couples and  children of homosexual (  lesbian and  gay couples . "" )",496,93,18,0.2465753424657534,"[('married', 'marriage', 0.63832283), ('couples', 'marriage', 0.5397768), ('school', 'education', 0.50553805), ('school', 'school', 0.99999994), ('academic', 'education', 0.5187977), ('cohabiting', 'marriage', 0.52577806), ('heterosexual', 'sex', 0.5711279), ('homosexual', 'sex', 0.5834786), ('couples', 'marriage', 0.5397768), ('primary', 'primary', 1.0), ('school', 'education', 0.50553805), ('school', 'school', 0.99999994), ('heterosexual', 'sex', 0.5711279), ('married', 'marriage', 0.63832283), ('couples', 'marriage', 0.5397768), ('homosexual', 'sex', 0.5834786), ('gay', 'sex', 0.53366035), ('couples', 'marriage', 0.5397768)]",1
826,5565,114890,"A Sikh human rights group said it would give a $10,000 reward to Murphy , the police officer wounded @ @ @ @ @ @ @ @ @ @ urgent steps to educate the country about the Sikh population and help put an end to these horrific and deadly acts of violence , "" said a statement by the group , Sikhs for Justice .","a sikh human rights group said it would give a $, reward to murphy , the police officer wounded @ @ @ @ @ @ @ @ @ @ urgent steps to educate the country about the sikh population and help put an end to these horrific and deadly acts of violence , "" said a statement by the group , sikhs for justice .",299,65,10,0.196078431372549,"[('police', 'investigators', 0.52164876), ('police', 'police', 1.0), ('country', 'country', 1.0), ('country', 'nation', 0.7242872), ('country', 'world', 0.59803855), ('deadly', 'killing', 0.51254004), ('violence', 'abuse', 0.5029986), ('violence', 'crime', 0.53571737), ('violence', 'violence', 1.0), ('justice', 'justice', 1.0)]",1
193,1074,726569,"The country hosts many courses within the PfP framework and develops training materials in areas such as democratic control of armed forces , international humanitarian law , humanitarian demining , civil-military cooperation , security policy , arms control and disarmament .","the country hosts many courses within the pfp framework and develops training materials in areas such as democratic control of armed forces , international humanitarian law , humanitarian demining , civil-military cooperation , security policy , arms control and disarmament .",276,41,17,0.4857142857142857,"[('country', 'country', 1.0), ('country', 'nation', 0.7242872), ('country', 'world', 0.59803855), ('democratic', 'democrats', 0.55152744), ('democratic', 'republican', 0.505419), ('control', 'control', 1.0), ('forces', 'army', 0.58733), ('forces', 'force', 0.519529), ('law', 'law', 1.0), ('law', 'legislation', 0.58004606), ('law', 'rule', 0.5247162), ('security', 'security', 1.0), ('policy', 'policy', 1.0), ('policy', 'strategy', 0.525799), ('arms', 'weapons', 0.54239786), ('control', 'control', 1.0), ('disarmament', 'peace', 0.55147403)]",1
333,883,521188,"We face many challenges as a country , challenges involving the economy , education , foreign policy , and more . No matter what we would like to think , these are challenges that will remain with us long into the future , and we need to prepare each generation to confront the challenges and opportunities that face us as a nation . @ @ @ @ @ @ @ @ @ @ ; it must be taught .","we face many challenges as a country , challenges involving the economy , education , foreign policy , and more . no matter what we would like to think , these are challenges that will remain with us long into the future , and we need to prepare each generation to confront the challenges and opportunities that face us as a nation . @ @ @ @ @ @ @ @ @ @ ; it must be taught .",375,79,11,0.1864406779661017,"[('country', 'country', 1.0), ('country', 'nation', 0.7242872), ('country', 'world', 0.59803855), ('economy', 'economy', 1.0), ('education', 'education', 1.0), ('education', 'school', 0.50553805), ('policy', 'policy', 1.0), ('policy', 'strategy', 0.525799), ('nation', 'country', 0.7242872), ('nation', 'nation', 1.0), ('nation', 'world', 0.57605803)]",1
736,9324,1099400,"... you 're way of the mark when it comes to the "" obscenely wealthy , well-connected oil industry "" is concerned about a potential offshore drilling ban . About 95%+ of all the "" obscenely wealthy , well-connected oil "" companies would benefit greatly if we never drilled another well offshore ...","... you 're way of the mark when it comes to the "" obscenely wealthy , well-connected oil industry "" is concerned about a potential offshore drilling ban . about %+ of all the "" obscenely wealthy , well-connected oil "" companies would benefit greatly if we never drilled another well offshore ...",296,53,11,0.2340425531914893,"[('oil', 'gas', 0.7105981), ('oil', 'oil', 1.0), ('concerned', 'concerns', 0.5112068), ('offshore', 'oil', 0.5071798), ('ban', 'ban', 1.0), ('ban', 'restrictions', 0.61776996), ('oil', 'gas', 0.7105981), ('oil', 'oil', 1.0), ('companies', 'banks', 0.5019373), ('benefit', 'benefits', 0.63760716), ('offshore', 'oil', 0.5071798)]",1
654,3448,198023,"I have listened to both Ms. Rhee and union representatives a number of times on WAMU out of Washington D.C. While I truly believe both sides want what 's best for children 's education , no reasoned approach on how to make sure qualified and dedicated teachers are only allowed in the classroom appears to be impossible based on their rhetoric .","i have listened to both ms. rhee and union representatives a number of times on wamu out of washington d.c. while i truly believe both sides want what 's best for children 's education , no reasoned approach on how to make sure qualified and dedicated teachers are only allowed in the classroom appears to be impossible based on their rhetoric .",345,62,10,0.1666666666666666,"[('union', 'labor', 0.5315647), ('union', 'strike', 0.5092126), ('union', 'union', 1.0), ('representatives', 'officials', 0.53117585), ('education', 'education', 1.0), ('education', 'school', 0.50553805), ('approach', 'strategy', 0.54993296), ('teachers', 'education', 0.52093196), ('teachers', 'school', 0.6158268), ('classroom', 'school', 0.6281621)]",1
950,1248,1157541,"Using the above examples , do we then suppose that the FA rates missing a drugs test as a crime which is far greater than racially abusing a fellow player ? Is displaying violence on the pitch a crime far greater than using words that are totally unacceptable in our society ?","using the above examples , do we then suppose that the fa rates missing a drugs test as a crime which is far greater than racially abusing a fellow player ? is displaying violence on the pitch a crime far greater than using words that are totally unacceptable in our society ?",276,52,14,0.2857142857142857,"[('drugs', 'drug', 0.8491185), ('crime', 'crime', 1.0), ('crime', 'criminal', 0.50458133), ('crime', 'murder', 0.53367186), ('crime', 'violence', 0.53571737), ('abusing', 'abuse', 0.6145128), ('violence', 'abuse', 0.5029986), ('violence', 'crime', 0.53571737), ('violence', 'violence', 1.0), ('crime', 'crime', 1.0), ('crime', 'criminal', 0.50458133), ('crime', 'murder', 0.53367186), ('crime', 'violence', 0.53571737), ('society', 'society', 1.0)]",1
596,7962,1280070,"I oppose mandating health insurance purchased from private businesses ( the "" health industry "" is after all private/for profit business ) as immoral . No other country in the world allows private profit from a nation 's sickness , much less penalizing citizens who refuse it .","i oppose mandating health insurance purchased from private businesses ( the "" health industry "" is after all private/for profit business ) as immoral . no other country in the world allows private profit from a nation 's sickness , much less penalizing citizens who refuse it .",277,48,10,0.2325581395348837,"[('health', 'health', 1.0), ('insurance', 'insurance', 1.0), ('health', 'health', 1.0), ('country', 'country', 1.0), ('country', 'nation', 0.7242872), ('country', 'world', 0.59803855), ('nation', 'country', 0.7242872), ('nation', 'nation', 1.0), ('nation', 'world', 0.57605803), ('sickness', 'sickness', 1.0)]",1
237,6476,1022757,"But our genius Dem negotiators refused to bring that bill up for a vote . They decided , in their infinite wisdom , that it would hurt them with the electorate , because the Repubs would argue that they were trying to raise taxes on the rich and that any mention of taxes was bad for Dems . How 'd that work out for us ? I was pulling my hair out for weeks at this stupidity .","but our genius dem negotiators refused to bring that bill up for a vote . they decided , in their infinite wisdom , that it would hurt them with the electorate , because the repubs would argue that they were trying to raise taxes on the rich and that any mention of taxes was bad for dems . how 'd that work out for us ? i was pulling my hair out for weeks at this stupidity .",376,78,10,0.1408450704225352,"[('vote', 'election', 0.602672), ('vote', 'vote', 1.0), ('vote', 'voters', 0.5841916), ('electorate', 'election', 0.5620242), ('electorate', 'voters', 0.7411989), ('repubs', 'democrats', 0.6760564), ('taxes', 'tax', 0.84042203), ('taxes', 'tax', 0.84042203), ('bad', 'poor', 0.5352231), ('dems', 'democrats', 0.6899682)]",1
8,2801,74533,"The AIP 's main aim is to secede from the United States , becoming either a territory or a sovereign nation . They aim to be entirely "" self-sufficient "" using profits from @ @ @ @ @ @ @ @ @ @ its a OIL grab . They want Alaskan Oil and Gas for themselves . Palin completely contradicts McCain 's campaign message . She does n't deserve to be Vise President . It 's almost Treason .","the aip 's main aim is to secede from the united states , becoming either a territory or a sovereign nation . they aim to be entirely "" self-sufficient "" using profits from @ @ @ @ @ @ @ @ @ @ its a oil grab . they want alaskan oil and gas for themselves . palin completely contradicts mccain 's campaign message . she does n't deserve to be vise president . it 's almost treason .",381,79,12,0.1935483870967742,"[('main', 'primary', 0.5129422), ('nation', 'country', 0.7242872), ('nation', 'nation', 1.0), ('nation', 'world', 0.57605803), ('oil', 'gas', 0.7105981), ('oil', 'oil', 1.0), ('oil', 'gas', 0.7105981), ('oil', 'oil', 1.0), ('gas', 'gas', 1.0), ('gas', 'oil', 0.7105981), ('campaign', 'campaign', 1.0), ('president', 'president', 1.0)]",1
1098,3258,55995,"Sincere defenders of marriage might want to call on the spirit of Judge Rosenbloom instead and harness their legislative zeal to enact his approach into law . Not just for court probationers , but for everybody .","sincere defenders of marriage might want to call on the spirit of judge rosenbloom instead and harness their legislative zeal to enact his approach into law . not just for court probationers , but for everybody .",212,37,13,0.3823529411764705,"[('defenders', 'defense', 0.5314697), ('marriage', 'marriage', 0.99999994), ('judge', 'court', 0.69727296), ('judge', 'judge', 1.0), ('legislative', 'lawmakers', 0.6512937), ('legislative', 'legislation', 0.5366426), ('legislative', 'senate', 0.5789615), ('approach', 'strategy', 0.54993296), ('law', 'law', 1.0), ('law', 'legislation', 0.58004606), ('law', 'rule', 0.5247162), ('court', 'court', 1.0), ('court', 'judge', 0.69727296)]",1
781,5486,1368950,"I did n't read anything about people harboring an arsenal of AK-47 nor did I read anything about people using AK 's to defend themselves . Only legally obtained pistols and shotguns . Your fallacy to include information that was not mention in this article makes you delusional . You fail to see the big picture , the media or the government do not have the people 's best interest or the power to protect us . But we as law abiding citizens do . Police protect and server THE LAW not the citizens .","i did n't read anything about people harboring an arsenal of ak- nor did i read anything about people using ak 's to defend themselves . only legally obtained pistols and shotguns . your fallacy to include information that was not mention in this article makes you delusional . you fail to see the big picture , the media or the government do not have the people 's best interest or the power to protect us . but we as law abiding citizens do . police protect and server the law not the citizens .",497,95,15,0.1704545454545454,"[('pistols', 'gun', 0.6373228), ('pistols', 'weapons', 0.5448787), ('shotguns', 'gun', 0.626479), ('media', 'media', 1.0), ('government', 'administration', 0.5462369), ('government', 'government', 1.0), ('power', 'power', 1.0), ('law', 'law', 1.0), ('law', 'legislation', 0.58004606), ('law', 'rule', 0.5247162), ('police', 'investigators', 0.52164876), ('police', 'police', 1.0), ('law', 'law', 1.0), ('law', 'legislation', 0.58004606), ('law', 'rule', 0.5247162)]",1
965,5544,927279,""" The recession was caused by reckless spending . "" Perhaps , but -it was the Democratic Party controlling the House and Senate in 2008 ! The total national debt @ @ @ @ @ @ @ @ @ @ $16 trillion now . No telling how far it could have gone with increased "" compromise "" .",""" the recession was caused by reckless spending . "" perhaps , but -it was the democratic party controlling the house and senate in  ! the total national debt @ @ @ @ @ @ @ @ @ @ $ trillion now . no telling how far it could have gone with increased "" compromise "" .",264,57,10,0.238095238095238,"[('recession', 'crisis', 0.59829676), ('recession', 'economy', 0.63359797), ('spending', 'budget', 0.56915724), ('spending', 'spending', 1.0), ('democratic', 'democrats', 0.55152744), ('democratic', 'republican', 0.505419), ('party', 'parties', 0.67454803), ('controlling', 'control', 0.6572824), ('senate', 'senate', 1.0), ('debt', 'debt', 1.0)]",1
64,5641,711199,Parents who 've tried to enable California 's Parent Trigger law to save their children 's schools have faced stiff opposition . KTTV Vice President and General Manager Kevin Hale follows up on one school district 's major victory this POV story . <h> Point Of View,parents who 've tried to enable california 's parent trigger law to save their children 's schools have faced stiff opposition . kttv vice president and general manager kevin hale follows up on one school district 's major victory this pov story .  point of view,262,46,10,0.2272727272727272,"[('parents', 'school', 0.5244654), ('law', 'law', 1.0), ('law', 'legislation', 0.58004606), ('law', 'rule', 0.5247162), ('schools', 'education', 0.5620153), ('schools', 'school', 0.74119085), ('president', 'president', 1.0), ('school', 'education', 0.50553805), ('school', 'school', 0.99999994), ('district', 'school', 0.5445067)]",1
1011,9365,51282,"Notwithstanding any other provision of this constitution , such compensation @ @ @ @ @ @ @ @ @ @ such general law shall be paid on and after the effective date of such general law . Until the first such general law becomes effective , the provisions of this section in effect immediately prior to the ratification of this amendment shall continue to govern .","notwithstanding any other provision of this constitution , such compensation @ @ @ @ @ @ @ @ @ @ such general law shall be paid on and after the effective date of such general law . until the first such general law becomes effective , the provisions of this section in effect immediately prior to the ratification of this amendment shall continue to govern .",358,66,16,0.3076923076923077,"[('provision', 'bill', 0.57040995), ('provision', 'legislation', 0.54453987), ('constitution', 'law', 0.5401366), ('law', 'law', 1.0), ('law', 'legislation', 0.58004606), ('law', 'rule', 0.5247162), ('law', 'law', 1.0), ('law', 'legislation', 0.58004606), ('law', 'rule', 0.5247162), ('law', 'law', 1.0), ('law', 'legislation', 0.58004606), ('law', 'rule', 0.5247162), ('provisions', 'bill', 0.5040877), ('provisions', 'legislation', 0.57616246), ('amendment', 'bill', 0.69470596), ('amendment', 'legislation', 0.6887385)]",1
