,Unnamed: 0,label,expression,dataset,position,id,context,text,Unnamed: 0.2,Unnamed: 0.1,sentence,annotation,idiom,usage,variant,pos_tags,complete
917,1668,0,danced,TroFi_ORIGSPLIT,[175 181],TroFi.o.377,"In company with Susan Jaffe , Christine Dunham and Leslie Browne , Mikhail Baryshnikov , formerly of Leningrad 's Kirov Ballet , and now director of American Ballet Theatre , danced the revised version of Balanchine 's sublime `` Apollo '' with a blend of spontaneity and concentration that charged the entire evening with wonder .","In company with Susan Jaffe , Christine Dunham and Leslie Browne , Mikhail Baryshnikov , formerly of Leningrad 's Kirov Ballet , and now director of American Ballet Theatre , [PET_BOUNDARY]danced[PET_BOUNDARY]danced",,,,,,,,,
146,1393,0,examine,TroFi_ORIGSPLIT,[225 232],TroFi.o.1061,But a source close to Black & Decker acknowledged that the company had received the information from American Standard and said that the company 's representatives will meet with American Standard officials this afternoon to examine nonpublic information .,But a source close to Black & Decker acknowledged that the company had received the information from American Standard and said that the company 's representatives will meet with American Standard officials this afternoon to [PET_BOUNDARY]examine[PET_BOUNDARY]examine,,,,,,,,,
938,874,0,attacked,TroFi_ORIGSPLIT,[38 46],TroFi.o.176,"In northern Nicaragua , Honduran jets attacked a Sandinista military headquarters .","In northern Nicaragua , Honduran jets [PET_BOUNDARY]attacked[PET_BOUNDARY]attacked",,,,,,,,,
33,68,0,dissolved,TroFi_ORIGSPLIT,[ 5 14],TroFi.o.638,"When dissolved in water , the protein acts as a catalyst to aid the freezing process by increasing the effective freezing point of water by 8 degrees to 10 degrees Fahrenheit .",When [PET_BOUNDARY]dissolved[PET_BOUNDARY]dissolved,,,,,,,,,
702,390,0,grabbed,TroFi_ORIGSPLIT,[69 76],TroFi.o.1742,"The leg of a corpse was sticking out of the side , and frantically I grabbed it ; it wrenched off , and casting it down I pulled in a couple of rifles and yelled to the troops in the gunpit to throw me more .","The leg of a corpse was sticking out of the side , and frantically I [PET_BOUNDARY]grabbed[PET_BOUNDARY]grabbed",,,,,,,,,
593,1936,0,struck,TroFi_ORIGSPLIT,[21 27],TroFi.o.3395,Yesterday its planes struck a nuclear-power plant and industrial targets near the Persian Gulf coast city of Bushehr and raided Khuzestan .,Yesterday its planes [PET_BOUNDARY]struck[PET_BOUNDARY]struck,,,,,,,,,
235,1291,0,drink,TroFi_ORIGSPLIT,[274 279],TroFi.o.778,"Stealthies like Capt. Marvel , Bill Sweetman , John Andrews and Sam Jones are , nevertheless , a patriotic lot who aim to get as close as possible without breaching national security in pursuit of their passion . -LRB- They are aware that the most fanatic Stealth followers drink their vodka straight. -RRB-/-RRB-","Stealthies like Capt. Marvel , Bill Sweetman , John Andrews and Sam Jones are , nevertheless , a patriotic lot who aim to get as close as possible without breaching national security in pursuit of their passion . -LRB- They are aware that the most fanatic Stealth followers [PET_BOUNDARY]drink[PET_BOUNDARY]drink",,,,,,,,,
853,1040,0,roll,TroFi_ORIGSPLIT,[103 107],TroFi.o.2870,"The former official says that Fidelity trucks , often manned by temporary or part-time workers , would roll in with piles of unlabeled goods collected from multiple addresses .","The former official says that Fidelity trucks , often manned by temporary or part-time workers , would [PET_BOUNDARY]roll[PET_BOUNDARY]roll",,,,,,,,,
573,980,0,ride,TroFi_ORIGSPLIT,[173 177],TroFi.o.2761,"A letter from Mayor Ed Koch went out early this month to chief executives of 11 , 000 companies , urging them to reduce the city 's traffic woes by encouraging employees to ride subways .","A letter from Mayor Ed Koch went out early this month to chief executives of 11 , 000 companies , urging them to reduce the city 's traffic woes by encouraging employees to [PET_BOUNDARY]ride[PET_BOUNDARY]ride",,,,,,,,,
107,1154,0,kill,TroFi_ORIGSPLIT,[139 143],TroFi.o.1850,"Asked why he does n't trust the Sandinistas , he snaps , `` I do n't even have confidence in my own commandos , because any day they might kill me . ''/''","Asked why he does n't trust the Sandinistas , he snaps , `` I do n't even have confidence in my own commandos , because any day they might [PET_BOUNDARY]kill[PET_BOUNDARY]kill",,,,,,,,,
657,508,0,sleeps,TroFi_ORIGSPLIT,[73 79],TroFi.o.3008,"The Washington Redskins ' Joe Gibbs is one of those football coaches who sleeps in his office , so he is n't always up on current events .",The Washington Redskins ' Joe Gibbs is one of those football coaches who [PET_BOUNDARY]sleeps[PET_BOUNDARY]sleeps,,,,,,,,,
737,775,0,examining,TroFi_ORIGSPLIT,[ 99 108],TroFi.o.1165,"Similarly , Stephen Lister , a senior vice president of the American Stock Exchange , said that in examining the activities of brokers , the exchange 's investigators sometimes encounter brokers who ca n't explain an investment strategy they 've recommended to customers .","Similarly , Stephen Lister , a senior vice president of the American Stock Exchange , said that in [PET_BOUNDARY]examining[PET_BOUNDARY]examining",,,,,,,,,
307,297,0,escaping,TroFi_ORIGSPLIT,[228 236],TroFi.o.997,"Noting today 's bullishness about the economy and the resurgence of mega-mergers , Mr. DeVoe is reminded of how a diver feels `` when all the reef fish disappear and you become aware of the complete silence , broken only by the escaping air bubbles .","Noting today 's bullishness about the economy and the resurgence of mega-mergers , Mr. DeVoe is reminded of how a diver feels `` when all the reef fish disappear and you become aware of the complete silence , broken only by the [PET_BOUNDARY]escaping[PET_BOUNDARY]escaping",,,,,,,,,
420,419,0,struck,TroFi_ORIGSPLIT,[ 99 105],TroFi.o.3364,Phalanx can be overwhelmed when a ship is attacked by several missiles at once -LRB- the Stark was struck by two Exocets -RRB- .,Phalanx can be overwhelmed when a ship is attacked by several missiles at once -LRB- the Stark was [PET_BOUNDARY]struck[PET_BOUNDARY]struck,,,,,,,,,
774,357,0,dance,TroFi_ORIGSPLIT,[80 85],TroFi.o.362,"Mr. Waters sets his sights on the `` hairhoppers , '' the polished amateurs who dance on `` The Corny Collins Show , '' his version of `` American Bandstand . ''/''","Mr. Waters sets his sights on the `` hairhoppers , '' the polished amateurs who [PET_BOUNDARY]dance[PET_BOUNDARY]dance",,,,,,,,,
313,792,0,killed,TroFi_ORIGSPLIT,[28 34],TroFi.o.1899,"In fact , nursery accidents killed an average of 81 children a year between 1980 and 1986 .","In fact , nursery accidents [PET_BOUNDARY]killed[PET_BOUNDARY]killed",,,,,,,,,
515,1373,0,rain,TroFi_ORIGSPLIT,[24 28],TroFi.o.2661,But I could n't make it rain . ''/'',But I could n't make it [PET_BOUNDARY]rain[PET_BOUNDARY]rain,,,,,,,,,
847,1639,0,destroy,TroFi_ORIGSPLIT,[10 17],TroFi.o.445,"`` People destroy coral reefs that take thousands of years to build , affecting all the fish that use it for food and shelter , just for a piece of decoration , '' says Mr. McCloud .",`` People [PET_BOUNDARY]destroy[PET_BOUNDARY]destroy,,,,,,,,,
364,824,0,ate,TroFi_ORIGSPLIT,[94 97],TroFi.o.111,"One grandfather had a sugar-cane field , until alternating patrols of Contras and Sandinistas ate it , stalk by stalk .","One grandfather had a sugar-cane field , until alternating patrols of Contras and Sandinistas [PET_BOUNDARY]ate[PET_BOUNDARY]ate",,,,,,,,,
190,1064,0,filled,TroFi_ORIGSPLIT,[34 40],TroFi.o.1253,"The three board positions will be filled by Michael Tun Zan , executive vice president of Pacific Bank ; Khateeb Lateef , an investment adviser ; and Theodore M. Bell , an attorney .",The three board positions will be [PET_BOUNDARY]filled[PET_BOUNDARY]filled,,,,,,,,,
74,1087,0,filling,TroFi_ORIGSPLIT,[172 179],TroFi.o.1260,"But industry lobbyists argued successfully that reconstituting spent plastic containers into such alternative products as flower pots , drainpipes , synthetic lumber , and filling for pillows and sleeping bags should count against the recycling targets .","But industry lobbyists argued successfully that reconstituting spent plastic containers into such alternative products as flower pots , drainpipes , synthetic lumber , and [PET_BOUNDARY]filling[PET_BOUNDARY]filling",,,,,,,,,
769,1178,0,killing,TroFi_ORIGSPLIT,[50 57],TroFi.o.1955,"A JETLINER CRASHED at Dallas-Fort Worth Airport , killing 13 people .","A JETLINER CRASHED at Dallas-Fort Worth Airport , [PET_BOUNDARY]killing[PET_BOUNDARY]killing",,,,,,,,,
81,937,0,rained,TroFi_ORIGSPLIT,[31 37],TroFi.o.2686,"`` I was in the stands when it rained , '' said Victor Lespinasse , a floor broker for Dean Witter Reynolds , Chicago .",`` I was in the stands when it [PET_BOUNDARY]rained[PET_BOUNDARY]rained,,,,,,,,,
41,412,0,dragged,TroFi_ORIGSPLIT,[42 49],TroFi.o.697,"He was at first left alone , but was then dragged before a military court and given a 12-year prison sentence .","He was at first left alone , but was then [PET_BOUNDARY]dragged[PET_BOUNDARY]dragged",,,,,,,,,
800,877,0,fill,TroFi_ORIGSPLIT,[ 7 11],TroFi.o.1204,Wo n't fill a cardboard box .,Wo n't [PET_BOUNDARY]fill[PET_BOUNDARY]fill,,,,,,,,,
80,366,0,destroyed,TroFi_ORIGSPLIT,[31 40],TroFi.o.484,The doctor who removed the IUD destroyed Ms. Murdock-Vaughn 's files in 1979 as part of a routine office cleaning .,The doctor who removed the IUD [PET_BOUNDARY]destroyed[PET_BOUNDARY]destroyed,,,,,,,,,
460,1556,0,pumping,TroFi_ORIGSPLIT,[51 58],TroFi.o.2628,Dr. Grosssbard added that the apparent equality in pumping power obscured the fact that more streptokinase patients had died in the first three weeks .,Dr. Grosssbard added that the apparent equality in [PET_BOUNDARY]pumping[PET_BOUNDARY]pumping,,,,,,,,,
452,1041,0,killing,TroFi_ORIGSPLIT,[150 157],TroFi.o.1962,"He notes that Iraq defused American anger last year by offering to pay damages after an Iraqi jet fighter mistakenly fired at the frigate USS Stark , killing 37 seamen .","He notes that Iraq defused American anger last year by offering to pay damages after an Iraqi jet fighter mistakenly fired at the frigate USS Stark , [PET_BOUNDARY]killing[PET_BOUNDARY]killing",,,,,,,,,
615,895,0,missing,TroFi_ORIGSPLIT,[115 122],TroFi.o.2337,"There were no known U.S. casualties , but a helicopter operating off the USS Wainwright , a cruiser , was reported missing .","There were no known U.S. casualties , but a helicopter operating off the USS Wainwright , a cruiser , was reported [PET_BOUNDARY]missing[PET_BOUNDARY]missing",,,,,,,,,
784,1515,0,dissolve,TroFi_ORIGSPLIT,[22 30],TroFi.o.608,"The solvent failed to dissolve non-cholesterol gallstones in two patients , however .",The solvent failed to [PET_BOUNDARY]dissolve[PET_BOUNDARY]dissolve,,,,,,,,,
128,1599,0,destroyed,TroFi_ORIGSPLIT,[31 40],TroFi.o.496,"`` This memo was withdrawn and destroyed and someone got it by going through our trash and resurrecting it , '' the EDS spokesman said .",`` This memo was withdrawn and [PET_BOUNDARY]destroyed[PET_BOUNDARY]destroyed,,,,,,,,,
274,1527,0,fly,TroFi_ORIGSPLIT,[95 98],TroFi.o.1654,"Shortly after Mr. Bush 's solo appearance , GOP strategists hastily arranged for Mr. Quayle to fly here from Washington to address the VFW banquet last night .","Shortly after Mr. Bush 's solo appearance , GOP strategists hastily arranged for Mr. Quayle to [PET_BOUNDARY]fly[PET_BOUNDARY]fly",,,,,,,,,
728,757,0,misses,TroFi_ORIGSPLIT,[39 45],TroFi.o.2302,"If the New Orleans Public Service unit misses payment of four consecutive dividends , preferred holders could take control of the company .",If the New Orleans Public Service unit [PET_BOUNDARY]misses[PET_BOUNDARY]misses,,,,,,,,,
127,721,0,planted,TroFi_ORIGSPLIT,[ 93 100],TroFi.o.2409,"This week , analysts are also beginning to trim their production estimates of the wheat crop planted this spring in the Northern Plains states .","This week , analysts are also beginning to trim their production estimates of the wheat crop [PET_BOUNDARY]planted[PET_BOUNDARY]planted",,,,,,,,,
641,590,0,missed,TroFi_ORIGSPLIT,[37 43],TroFi.o.2283,"That aspect of what they did will be missed , '' said Joseph Ostrow , world-wide media director for ad agency Foote , Cone & Belding Communications Inc .",That aspect of what they did will be [PET_BOUNDARY]missed[PET_BOUNDARY]missed,,,,,,,,,
120,1959,0,filling,TroFi_ORIGSPLIT,[138 145],TroFi.o.1263,"Department stores nationwide are cutting back on apparel from such designers as Calvin Klein , Ralph Lauren and Liz Claiborne and instead filling racks with store brands .","Department stores nationwide are cutting back on apparel from such designers as Calvin Klein , Ralph Lauren and Liz Claiborne and instead [PET_BOUNDARY]filling[PET_BOUNDARY]filling",,,,,,,,,
931,668,0,lend,TroFi_ORIGSPLIT,[41 45],TroFi.o.2046,"AMR Corp. 's American Airlines agreed to lend Braniff Inc . , Dallas , as much as $ 21 million , and also purchase certain Braniff assets for as much as $ 23 million , according to documents filed with the Securities and Exchange Commission .",AMR Corp. 's American Airlines agreed to [PET_BOUNDARY]lend[PET_BOUNDARY]lend,,,,,,,,,
659,828,0,filled,TroFi_ORIGSPLIT,[127 133],TroFi.o.1216,By the time they reached the Inner Court many were beginning to look bleary-eyed as they wandered through a sea of glass cases filled with everything from Han jugs to Ming wall-scrolls and jades .,By the time they reached the Inner Court many were beginning to look bleary-eyed as they wandered through a sea of glass cases [PET_BOUNDARY]filled[PET_BOUNDARY]filled,,,,,,,,,
488,548,0,filled,TroFi_ORIGSPLIT,[112 118],TroFi.o.1212,"An examiner last May described Sasson 's records as unorganized , scattered and incomplete -- `` suitcases . .. filled with canceled checks and bank statements . ''/''","An examiner last May described Sasson 's records as unorganized , scattered and incomplete -- `` suitcases . .. [PET_BOUNDARY]filled[PET_BOUNDARY]filled",,,,,,,,,
130,1161,0,kill,TroFi_ORIGSPLIT,[54 58],TroFi.o.1859,"In Beirut , the pro-Iranian group Jihad threatened to kill its American and French captives if any attempt was made to storm the jetliner .","In Beirut , the pro-Iranian group Jihad threatened to [PET_BOUNDARY]kill[PET_BOUNDARY]kill",,,,,,,,,
514,610,0,flying,TroFi_ORIGSPLIT,[163 169],TroFi.o.1668,"Although most of the major airlines have such affiliations , they generally are n't involved in the operations of the smaller airlines-even when the commuters are flying under the big airlines ' logos .","Although most of the major airlines have such affiliations , they generally are n't involved in the operations of the smaller airlines-even when the commuters are [PET_BOUNDARY]flying[PET_BOUNDARY]flying",,,,,,,,,
293,950,0,killed,TroFi_ORIGSPLIT,[121 127],TroFi.o.1887,"Army and medical rescue teams reached stricken Chinese villages in a remote area near Burma , where an earthquake Sunday killed more than 900 people .","Army and medical rescue teams reached stricken Chinese villages in a remote area near Burma , where an earthquake Sunday [PET_BOUNDARY]killed[PET_BOUNDARY]killed",,,,,,,,,
878,275,0,plant,TroFi_ORIGSPLIT,[47 52],TroFi.o.2363,"`` The new irrigation tunnel has allowed us to plant 6 , 000 willow trees and 600 apple trees and to earn money for the education of our children , '' she says , tears welling in her eyes .",`` The new irrigation tunnel has allowed us to [PET_BOUNDARY]plant[PET_BOUNDARY]plant,,,,,,,,,
329,204,0,eat,TroFi_ORIGSPLIT,[20 23],TroFi.o.873,"`` He just tried to eat the propeller , '' says Mr. Fox .",`` He just tried to [PET_BOUNDARY]eat[PET_BOUNDARY]eat,,,,,,,,,
368,50,0,flying,TroFi_ORIGSPLIT,[79 85],TroFi.o.1699,"The route generates about $ 120 million in revenue for United , which has been flying it since 1983 .","The route generates about $ 120 million in revenue for United , which has been [PET_BOUNDARY]flying[PET_BOUNDARY]flying",,,,,,,,,
927,1754,0,struck,TroFi_ORIGSPLIT,[44 50],TroFi.o.3350,"Iran retaliated by firing two missiles that struck Baghdad , killing or injuring an unspecified number of people .",Iran retaliated by firing two missiles that [PET_BOUNDARY]struck[PET_BOUNDARY]struck,,,,,,,,,
675,1545,0,killed,TroFi_ORIGSPLIT,[20 26],TroFi.o.1921,Sixteen people were killed in the crash .,Sixteen people were [PET_BOUNDARY]killed[PET_BOUNDARY]killed,,,,,,,,,
305,746,0,lend,TroFi_ORIGSPLIT,[46 50],TroFi.o.2092,"The rate on Federal funds , or reserves banks lend one another overnight , could climb above 8 % by tomorrow from just under 7 3 4 % , he said .","The rate on Federal funds , or reserves banks [PET_BOUNDARY]lend[PET_BOUNDARY]lend",,,,,,,,,
276,959,0,eat,TroFi_ORIGSPLIT,[89 92],TroFi.o.866,"These waters are full of the fish , mollusks and small crustaceans that lobsters like to eat .","These waters are full of the fish , mollusks and small crustaceans that lobsters like to [PET_BOUNDARY]eat[PET_BOUNDARY]eat",,,,,,,,,
518,662,0,fly,TroFi_ORIGSPLIT,[14 17],TroFi.o.1627,"Air Inter can fly to Ibiza , Spain , in the summer and Madrid in the winter twice a week under an Air France flight number .",Air Inter can [PET_BOUNDARY]fly[PET_BOUNDARY]fly,,,,,,,,,
249,624,0,killed,TroFi_ORIGSPLIT,[129 135],TroFi.o.1950,Wind shear has contributed to at least five major airline accidents in the past 15 years in which more than 500 people have been killed .,Wind shear has contributed to at least five major airline accidents in the past 15 years in which more than 500 people have been [PET_BOUNDARY]killed[PET_BOUNDARY]killed,,,,,,,,,
646,751,0,planted,TroFi_ORIGSPLIT,[219 226],TroFi.o.2364,"According to Ernest Simon , cotton specialist for Prudential-Bache Securities Inc . , dry weather in areas of Texas and in the Mississippi Valley , from Missouri to Louisiana , presented a potential threat to the newly planted crop .","According to Ernest Simon , cotton specialist for Prudential-Bache Securities Inc . , dry weather in areas of Texas and in the Mississippi Valley , from Missouri to Louisiana , presented a potential threat to the newly [PET_BOUNDARY]planted[PET_BOUNDARY]planted",,,,,,,,,
445,1006,0,killed,TroFi_ORIGSPLIT,[11 17],TroFi.o.1936,The mishap killed a flight attendant .,The mishap [PET_BOUNDARY]killed[PET_BOUNDARY]killed,,,,,,,,,
366,1561,0,fly,TroFi_ORIGSPLIT,[73 76],TroFi.o.1655,The FAA found that Northwest was requiring international flight crews to fly a domestic leg as well before going off duty .,The FAA found that Northwest was requiring international flight crews to [PET_BOUNDARY]fly[PET_BOUNDARY]fly,,,,,,,,,
205,1634,0,drinking,TroFi_ORIGSPLIT,[149 157],TroFi.o.813,"When sentencing a criminal , the chief justice of the country 's Supreme Court takes into consideration whether the felon has atoned for his sins by drinking sakau with the victim 's family .","When sentencing a criminal , the chief justice of the country 's Supreme Court takes into consideration whether the felon has atoned for his sins by [PET_BOUNDARY]drinking[PET_BOUNDARY]drinking",,,,,,,,,
463,1412,0,targeted,TroFi_ORIGSPLIT,[132 140],TroFi.o.3542,"In a letter sent yesterday to the German media , the terrorist group said Mr. Tietmeyer , who was unharmed in the attack , has been targeted because of his central role in sustaining the world 's `` imperialist '' financial system .","In a letter sent yesterday to the German media , the terrorist group said Mr. Tietmeyer , who was unharmed in the attack , has been [PET_BOUNDARY]targeted[PET_BOUNDARY]targeted",,,,,,,,,
113,1125,0,dance,TroFi_ORIGSPLIT,[283 288],TroFi.o.357,"In his own weird way , Mr. Waters has captured the gleeful garishness of the early '60s , when high-school girls wore demure bows in their ratted hair and deadened their lips with palest pink lip gloss -- and believed that racial harmony was inevitable if teens of all flavors could dance together on TV .","In his own weird way , Mr. Waters has captured the gleeful garishness of the early '60s , when high-school girls wore demure bows in their ratted hair and deadened their lips with palest pink lip gloss -- and believed that racial harmony was inevitable if teens of all flavors could [PET_BOUNDARY]dance[PET_BOUNDARY]dance",,,,,,,,,
906,678,0,drink,TroFi_ORIGSPLIT,[26 31],TroFi.o.773,Others say they still can drink wine even after their livers are too far gone to handle spirits .,Others say they still can [PET_BOUNDARY]drink[PET_BOUNDARY]drink,,,,,,,,,
690,1534,0,destroying,TroFi_ORIGSPLIT,[88 98],TroFi.o.502,"Bishop de Landa , recalled to Spain in 1568 , went down in history as a book-burner for destroying the Maya codices , an act that seems more understandable as we learn more about their civilization .","Bishop de Landa , recalled to Spain in 1568 , went down in history as a book-burner for [PET_BOUNDARY]destroying[PET_BOUNDARY]destroying",,,,,,,,,
25,457,0,touching,TroFi_ORIGSPLIT,[147 155],TroFi.o.3692,"`` It is combined with a lot of information , and is visually well done -- although if you watched it ten times , you might laugh at all the hands touching . ''/''","`` It is combined with a lot of information , and is visually well done -- although if you watched it ten times , you might laugh at all the hands [PET_BOUNDARY]touching[PET_BOUNDARY]touching",,,,,,,,,
766,380,0,attacked,TroFi_ORIGSPLIT,[13 21],TroFi.o.199,"Tamil rebels attacked a village in eastern Sri Lanka , killing at least 16 people in the assault on homes of the majority Sinhalese .",Tamil rebels [PET_BOUNDARY]attacked[PET_BOUNDARY]attacked,,,,,,,,,
288,145,0,examined,TroFi_ORIGSPLIT,[157 165],TroFi.o.1118,"Much is made of Mr. Hoxsey 's assertion that his files were open to doubters , but only a few brief seconds are devoted to the fact that when the files were examined they were found to be so incomplete that it was impossible to tell whether the `` cured '' patients actually had had cancer or whether conventional treatment had been effective .","Much is made of Mr. Hoxsey 's assertion that his files were open to doubters , but only a few brief seconds are devoted to the fact that when the files were [PET_BOUNDARY]examined[PET_BOUNDARY]examined",,,,,,,,,
760,1848,0,missing,TroFi_ORIGSPLIT,[109 116],TroFi.o.2336,"There were n't any American casualties reported , but a U.S. attack helicopter carrying two crew members was missing .","There were n't any American casualties reported , but a U.S. attack helicopter carrying two crew members was [PET_BOUNDARY]missing[PET_BOUNDARY]missing",,,,,,,,,
666,645,0,missed,TroFi_ORIGSPLIT,[ 7 13],TroFi.o.2251,But he missed the shot .,But he [PET_BOUNDARY]missed[PET_BOUNDARY]missed,,,,,,,,,
383,784,0,planted,TroFi_ORIGSPLIT,[26 33],TroFi.o.2397,"Spring potatoes have been planted on 81 , 900 acres , down 1 % from last year but up 6 % from two years ago .",Spring potatoes have been [PET_BOUNDARY]planted[PET_BOUNDARY]planted,,,,,,,,,
387,121,0,rested,TroFi_ORIGSPLIT,[75 81],TroFi.o.2732,"Spain has begun restoring the Seville monastery where Christopher Columbus rested between sailings , and where he lay buried for a quarter century after he died , as part of an $ 800 million extravaganza to commemorate his discovery of America .",Spain has begun restoring the Seville monastery where Christopher Columbus [PET_BOUNDARY]rested[PET_BOUNDARY]rested,,,,,,,,,
731,1539,0,dissolving,TroFi_ORIGSPLIT,[136 146],TroFi.o.648,Some companies had also counted on being able to come up with anti-plaque toothpastes that actually kill the bacteria instead of simply dissolving it or scrubbing it away .,Some companies had also counted on being able to come up with anti-plaque toothpastes that actually kill the bacteria instead of simply [PET_BOUNDARY]dissolving[PET_BOUNDARY]dissolving,,,,,,,,,
807,1880,0,ride,TroFi_ORIGSPLIT,[60 64],TroFi.o.2767,"Late at night , laughing families pack kebab restaurants or ride Ferris wheels at a gaudy amusement park .","Late at night , laughing families pack kebab restaurants or [PET_BOUNDARY]ride[PET_BOUNDARY]ride",,,,,,,,,
713,869,0,destroying,TroFi_ORIGSPLIT,[46 56],TroFi.o.500,"And instead of reacting to this aggression by destroying Iranian naval assets , defense leaders responded by saturating the Gulf with American military forces that were not supposed to engage their aggressor , but instead were supposed to intimidate him by their mere presence .",And instead of reacting to this aggression by [PET_BOUNDARY]destroying[PET_BOUNDARY]destroying,,,,,,,,,
31,1156,0,lent,TroFi_ORIGSPLIT,[32 36],TroFi.o.2135,"About 165 , 000 pieces had been lent to government offices and embassies around the world , and many never came back , he said .","About 165 , 000 pieces had been [PET_BOUNDARY]lent[PET_BOUNDARY]lent",,,,,,,,,
714,206,0,riding,TroFi_ORIGSPLIT,[74 80],TroFi.o.2825,"`` At last insane , at last at peace '' -- these are the thoughts a woman riding a bicycle beams up to the angels .","`` At last insane , at last at peace '' -- these are the thoughts a woman [PET_BOUNDARY]riding[PET_BOUNDARY]riding",,,,,,,,,
889,321,0,flew,TroFi_ORIGSPLIT,[44 48],TroFi.o.1376,"Although it never saw combat , the Fortress flew photo mapping missions in Europe .","Although it never saw combat , the Fortress [PET_BOUNDARY]flew[PET_BOUNDARY]flew",,,,,,,,,
93,565,0,struck,TroFi_ORIGSPLIT,[127 133],TroFi.o.3339,"But these corporate gains appear more like personal setbacks to Mr. Collyer and many of the other 32 , 500 British workers who struck Ford 's British plants eight days ago .","But these corporate gains appear more like personal setbacks to Mr. Collyer and many of the other 32 , 500 British workers who [PET_BOUNDARY]struck[PET_BOUNDARY]struck",,,,,,,,,
876,834,0,escaped,TroFi_ORIGSPLIT,[15 22],TroFi.o.976,The assailants escaped on a waiting speedboat .,The assailants [PET_BOUNDARY]escaped[PET_BOUNDARY]escaped,,,,,,,,,
643,147,0,rain,TroFi_ORIGSPLIT,[119 123],TroFi.o.2660,"But Champion International Corp. may soon have to curtail production at its Canton , N.C . , paper mill if it does n't rain soon .","But Champion International Corp. may soon have to curtail production at its Canton , N.C . , paper mill if it does n't [PET_BOUNDARY]rain[PET_BOUNDARY]rain",,,,,,,,,
131,912,0,flown,TroFi_ORIGSPLIT,[58 63],TroFi.o.1611,"The fare restructuring , aimed at tying prices to mileage flown , apparently will wipe away many of the bargain-basement fares currently available to leisure travelers , and make it likely that those travelers will pay $ 10 to $ 30 more on most fares .","The fare restructuring , aimed at tying prices to mileage [PET_BOUNDARY]flown[PET_BOUNDARY]flown",,,,,,,,,
