,Unnamed: 0,index,label,sentence,pos,v_index
2765,2765,1646,0,"Here Mr. Brown plays barkeep mentor to Mr. Cruise, the wise old hand who teaches the pup how to succeed at the high- stakes game of pouring brew",VERB,26
414,414,41,0,"Although the office towers filled up quickly -LRB- they're still 96% occupied -RRB-, the tony stores -- including Cartier and Mark Cross -- foundered",VERB,4
1561,1561,442,0,Judges thus destroyed the time frame used in assessing risk,VERB,2
19005,19005,2192,0,The second ad says Mr. Weicker wasn't always sleeping,VERB,8
1318,1318,199,0,"The "" no "" vote plan struck pay dirt because it provided an opportunity for a massive, secret protest vote against Gen. Pinochet, especially from Chile's sizable and disaffected middle class",VERB,6
37137,37137,3504,0,"Even more inadvertently hilarious is Alexander Godunov, the Soviet defector who used to dance for a living",VERB,13
20420,20420,3607,0,"Say Sparky Anderson does it, and the batter swings and misses and the runner is thrown out at second",VERB,10
24213,24213,299,0,"The best of show in painting, Oleg Stavrowsky's 40-inch by 72-inch oil of a stagecoach being attacked by bandits, went for$ 14, 000",VERB,16
18926,18926,2113,0,Dollars flowed from automated teller machines,VERB,1
31734,31734,1092,0,Bachelor's diet: You only eat half of everything you cook -- because the other half sticks to the bottom of the pan,VERB,4
30974,30974,332,0,""" The new irrigation tunnel has allowed us to plant 6, 000 willow trees and 600 apple trees and to earn money for the education of our children, "" she says, tears welling in her eyes",VERB,9
36975,36975,3342,0,"Airborne, he grabs a roll of money from his back pocket and punches it toward the camera",VERB,2
27298,27298,20,0,"The FBI immediately lent Mr. Pelleu$ 3, 800, and arranged to tape several phone conversations he had with Mr. Sanders about the ring",VERB,3
29951,29951,3046,0,We certainly do not need price limits; Washington won't be any better at fixing stock prices than it was at fixing gasoline prices,VERB,20
14039,14039,590,0,"The speculation centers on whether some farmers would plow under their wheat crop, some of which is nearing harvest, to make the switch in time to grow soybeans, said Richard Loewy, senior grain and oilseed analyst at Prudential- Bache Securities Inc., New York",VERB,8
1126,1126,7,0,"The fires, Ford said, could be caused by a nylon wiring shield that could melt and drip onto the engine's hot exhaust manifold, "" resulting in an engine compartment fire.'",VERB,14
26208,26208,2667,0,"Finally, Texas Air's financing has left Mr. Lorenzo some breathing room to wage his cost war with organized labor and to attack his operating problems",VERB,21
17023,17023,3567,0,"I returned to the yard to keep an eye on my children, who delight in riding their scooters in the road if I will stand watch",VERB,15
19364,19364,2551,0,"But this is an institution, filled with patients who' ve lost their health and some who' ve lost their minds",VERB,5
22669,22669,2492,0,"Farmers in Kansas, the No. 1 wheat- producing state, planted 10.2 million acres, the smallest since 1971",VERB,9
13518,13518,69,0,"Lazuli, an itinerant peddler, who stumbles into the kingdom singing one of the prettiest tunes ever composed for any operetta, "" My little star, "" is nearly sacrificed to this nutjob, before the mayhem ends on a cheerful note with Lazuli standing next to a goo- goo- eyed princess",VERB,5
9469,9469,1995,0,"The New York Stock Exchange composite index also touched a high since the crash but pulled back to close at 144.82, up 0.28 but below its Oct. 21 level of 145.02",VERB,8
2648,2648,1529,0,Others continue to die in unsuccessful attempts to escape the East,VERB,3
10805,10805,720,0,"My late father- in- law, Jean Le Gorre, once recounted an early experience in the French army during World War I where on bivouac he examined his field ration -- a piece of issue "" hardtack.'",VERB,25
12287,12287,2575,0,The LCG produced for the Apollo astronauts and used by current shuttle crews is made of white spandex and ribbed with 1 8-inch tubing through which water is pumped from a heat exchanger worn on a backpack to maintain an even body temperature,VERB,28
5949,5949,1466,0,Another form of front- running likely to be examined in coming months is trading by Wall Street firms in October in anticipation of massive sell orders by money managers using the computerized hedging strategy known as portfolio insurance,VERB,8
18979,18979,2166,0,"As a result, GM has wrapped up a complicated four- year legal battle over the sale of an earth- moving subsidiary, escaping any additional penalties",VERB,21
30001,30001,3096,0,My impression is that he doesn't drink.',VERB,6
25352,25352,1438,0,"The fare restructuring, aimed at tying prices to mileage flown, apparently will wipe away many of the bargain- basement fares currently available to leisure travelers, and make it likely that those travelers will pay$ 10 to$ 30 more on most fares",VERB,9
29641,29641,2736,0,""" The market is absorbing all of the mill's output of supercalender paper, "" Mr. Nugent said",VERB,4
29651,29651,2746,0,""" We' ve been plowing a lot of new furrows, "" says Richard Burket of Archer- Daniels- Midland Co., Decatur, Ill",VERB,4
15560,15560,2484,0,Phalanx can be overwhelmed when a ship is attacked by several missiles at once -LRB- the Stark was struck by two Exocets -RRB-,VERB,18
8895,8895,2540,0,""" USA Today, "" in only its fifth week on the air, has been besieged by lackluster ratings, savage reviews, rumors -- fed by competitors -- that the show will be canceled, and a spate of new rival programs aimed at replacing it",VERB,14
33163,33163,2894,0,"By 1981 the lower end of the Pawtuxet, into which Ciba- Geigy had been pouring 1.2 million gallons of waste each day, could support only those organisms that flourish in sewage and toxic waste",VERB,28
16332,16332,3256,0,"The rate on funds, or reserves that banks lend each other overnight, averaged 5.80%, according to an estimate by Fulton Prebon -LRB- U.S.A. -RRB-/-R",VERB,8
10516,10516,431,0,"Frequently in bad contemporary movies, when men aren't undressing onscreen, they are riding around in cars with their buddies -- or avenging their deaths",VERB,12
31485,31485,843,0,"And Jackson adviser Roger Wilkins warned that "" trust and loyalty are bound to wither "" if the lines of communication between the two camps are not kept open",VERB,14
15786,15786,2710,0,Oil prices continued to fall yesterday in trading torn by rumors and growing evidence that Saudi Arabian crude is pouring into the market,VERB,19
36763,36763,3130,0,"Mike Trial, a passenger on the ill- fated fishing trip, testified in probate court last May that Mrs. Von Bergen stumbled into him on the deck of the boat and that they fell overboard",VERB,20
320,320,693,0,"To hold the property- tax rate low, Addison never built a system to process the sewage flowing from its many developments",VERB,16
3597,3597,2478,0,Mr. Petee said one man was so afraid his boss was going to ask him to fly that he started his own business,VERB,16
6276,6276,1793,0,So the same Congress that runs a budget deficit so that foreigners have to lend us money wants to make it more difficult for foreigners to lend us money,VERB,26
35806,35806,1800,0,""" Our view is that the economy is going to stumble and stagger through 1988, "" he said, "" and then we think the best bet is that we'll slip into a recession in 1989.'",VERB,10
23728,23728,3551,0,"Rep. Bosco failed to show Feb. 1 for the hearings in Fort Bragg, and in its edition for Feb. 3 the Advertiser struck back",VERB,22
34779,34779,773,0,A revenue passenger mile is one paying passenger flown one mile,VERB,8
32511,32511,1869,0,"A state judge in Manhattan ordered White& Case to provide an accounting of the firm's assets as of June 30, the day lawyers in the firm voted to dissolve their partnership and re- form without longtime partner Evan R. Dawson",VERB,28
29036,29036,2131,0,"The amendment didn't cover the National Security Council -LRB- a fact that continues to escape Lawrence Walsh -RRB-, so helping the Contras fell to a few workaholics in the Old Executive Office Building",VERB,14
15366,15366,2290,0,The debate for the rematch was so withering that Nissan Motor Co. used a news clip of Mr. Tucker's criticisms in its bid to keep the UAW out of its Tennessee plant,VERB,7
1872,1872,753,0,"Since the international debt crisis erupted in 1982, banks have been increasingly reluctant to lend to Latin American countries",VERB,14
29148,29148,2243,0,"The well flowed at a rate of 153 barrels of oil per day with no water, at depths of between 7, 618 feet and 7, 638 feet",VERB,2
32536,32536,1894,0,"Cardiac- bypass queues grow and patients die before their turn; hip replacements and cataract operations join a growing list of corrections that are triaged, ostensibly because more serious operations must be performed, but in reality because the resources are being used to continue first- dollar insurance coverage for sniffles and splinters -- and for asphalt laying in the constituencies of members of the government",VERB,6
28900,28900,1995,0,"The New York Stock Exchange composite index also touched a high since the crash but pulled back to close at 144.82, up 0.28 but below its Oct. 21 level of 145.02",VERB,8
12480,12480,2768,0,"The brainchild of amateur inventor Craig Culver of Woodside, Calif., the Isopoint is a sliding and rolling cylinder about the diameter of a cocktail straw that fits along the bottom of the keyboard's spacebar",VERB,16
34251,34251,245,0,"The Department of Labor has stirred up a storm of controversy with proposed regulations that would govern how qualified pension plans, including 401 -LRB- k -RRB- savings arrangements, could lend money to participating employees",VERB,29
36468,36468,2462,0,"Generale de Belgique's 11 directors avoid ostentatious displays of wealth or power, partly to escape undue scrutiny in this small, densely populated country where visible wealth is taxed heavily",VERB,14
7610,7610,3500,0,""" We encourage our people as much as we can to fly on United Airlines and eat Kellogg cereals, "" says Jack Ryan, executive vice president of Leo Burnett Co., which also handles advertising for GM's Oldsmobile division",VERB,16
16865,16865,3409,0,Mr. Gallas says he began looking into melanin about five years ago when he was working on solar energy and was looking for materials that absorb sunlight,VERB,25
6345,6345,1862,0,"Fortunately for life on Earth, the nitrogen- oxygen atmosphere is relatively transparent to the long infrared waves coming off the sidewalks, soil and oceans, allowing the day's solar heat to slowly escape to space",VERB,31
28569,28569,1291,0,"Tamil rebels attacked a village in eastern Sri Lanka, killing at least 16 people in the assault on homes of the majority Sinhalese",VERB,2
34146,34146,140,0,""" We believe the person who is working on the line, making our ice cream, filling the pints, is a very important person, "" Mr. Cohen says",VERB,15
12313,12313,2601,0,Miss Walker was riding in the Jeep at the time of the accident,VERB,3
35208,35208,1202,0,"Terry Knowles, special agent in charge of the Sacramento FBI office, declined to say why California was targeted or provide other details",VERB,17
36365,36365,2359,0,"Nevertheless, petroleum markets remain stubbornly soft despite recurring signals of a possible turnaround, including major gains in petroleum demand and supply interruptions, such as last week's explosion that destroyed the Piper Alpha platform in the North Sea",VERB,28
6384,6384,1901,0,"At about the same time, according to senior Hutton officials, Mr. Fomon was drinking heavily, though he says that alcohol never affected his ability to do his job",VERB,13
4424,4424,3305,0,""" I don't think we could carry Iowa even if it rains every day, "" says Washington GOP consultant Eddie Mahe, who stayed out of the GOP nomination contest but will work for Mr. Bush this fall",VERB,11
15309,15309,2233,0,"In effect, the deficit has helped smooth out the wide swings in U.S. demand",VERB,6
20624,20624,74,0,Baseball flourished in certain parts of England and Wales before World War II,VERB,1
8616,8616,2261,0,"Several issues were still sought after in the wake of last week's bid for Consolidated Gold Fields, but the majority of the takeover froth has evaporated, dealers said",VERB,25
31600,31600,958,0,To expect banks to absorb a cost without a commensurate charge defies logic,VERB,4
17051,17051,3595,0,""" Because the ground had long since been plowed and planted, "" he writes, "" the harvest of disunion came quickly after the thunderstorm of Lincoln's election.'",VERB,8
36165,36165,2159,0,"For the first five months of the year, the NWA Inc. unit flew 14.9 billion revenue passenger miles, down 7.5% from 16.1 billion miles a year earlier",VERB,12
25283,25283,1369,0,"On Friday, an analyst at another major commodity firm said he expects no more than 60 million acres to be planted to soybeans",VERB,20
15059,15059,1983,0,"Buyers' clubs flourish in Manhattan and San Francisco to help the infected and the sick obtain experimental drugs like dextran sulfate, imported from Japan, where it is available over the counter as a way to reduce blood cholesterol",VERB,2
14470,14470,1394,0,But bankers that lend to farmers suddenly are worrying anew about their borrower's financial health,VERB,3
21698,21698,1521,0,"In April 1981, the task force targeted some 30 regulatory changes -- reducing the cost of producing automobiles by more than a billion dollars a year without compromising legitimate regulatory protections",VERB,6
17562,17562,749,0,"A federal appeals court here struck down the law on Jan. 22, saying the appointment of independent counsels by a special three- judge court violates the Constitution's separation of powers",VERB,5
31358,31358,716,0,"A powerful earthquake struck Nepal and eastern India, triggering landslides and floods and killing at least 500 people and injuring more than 3, 000",VERB,3
28775,28775,1870,0,"Among the monographic presentations, one ought not to miss Jacobo Borges's virtuosic and highly charged paintings at the Venezuelan pavilion and Janez Bernik's powerfully expressionistic paintings at the Yugoslavian pavilion",VERB,8
35366,35366,1360,0,"Some police forces, for example, have stepped up use of a 20-year- old system called Vascar -LRB- Vehicle and Speed Computed and Recorded -RRB-",VERB,6
10010,10010,3282,0,A group of containerized- waste customers charged that Waste Management Inc. and Browning- Ferris Industries Inc. conspired on a nationwide basis to fix prices for container- refuse service,VERB,22
20749,20749,199,0,"The "" no "" vote plan struck pay dirt because it provided an opportunity for a massive, secret protest vote against Gen. Pinochet, especially from Chile's sizable and disaffected middle class",VERB,6
3209,3209,2090,0,"The company has said a cash- flow shortage caused it to miss$ 3.3 million in interest payments on its 10 7 8% senior debentures due Dec. 31, 1995",VERB,11
3720,3720,2601,0,Miss Walker was riding in the Jeep at the time of the accident,VERB,3
7128,7128,2645,0,"What I can say is that these things are inexplicably beautiful, as is almost always the case in Mr. Wilson's work; that Mr. Muller's text, in the translation of Carl Weber, keeps finding new ways to express the contradictions of the human spirit; and that "" Quartet "" seems to flow through its two- hour running time like a shifting stream of hot lava -- you don't know where it's going next, but you want to be sure and leave it plenty of room",VERB,50
30581,30581,3676,0,"But Iran's positions, overrun in last Saturday's attack on Majnoon, were just a few thin lines of hillocks; the fortifications of an army that expects to attack rather than defend",VERB,26
4742,4742,259,0,The impact of her crash coup is melting away as her fund has trailed the market consistently,VERB,7
26851,26851,3310,0,"Because they're so accurate, cruise missiles can use conventional bombs to destroy targets that only a few years ago required nuclear warheads",VERB,11
6692,6692,2209,0,"At this year's rate of$ 3.25 billion a month as tracked by IDD, it would take nearly four years for buy- outs to absorb$ 150 billion",VERB,23
28321,28321,1043,0,"In Idaho last week, the Indiana conservative attacked the Carter administration for having shown an "" insensitivity to Western needs "" and having tried to "" cancel vital water projects.'",VERB,7
16132,16132,3056,0,"And Mr. Gorbachev's proposal to remove aircraft -- which easily can fly back to Central Europe during a crisis -- would be meaningless unless they are destroyed, Mr. Chalmers says",VERB,26
2002,2002,883,0,"He gives a tour of a Berlin that is affectionate yet bewildered; though he isn't a native Berliner, his is the view of a returning son who doesn't quite know what to make of the city he's missed so much",VERB,37
5137,5137,654,0,Social Security surpluses also will help make the deficit evaporate within the next five years,VERB,9
7981,7981,1253,0,"The new automated system pumps the solvent through a thin catheter inserted into the gallbladder under local anesthesia, the center said",VERB,4
13215,13215,3503,0,A senior First Boston official said yesterday that the firm's internal auditors were still examining the trading problem and had not yet reached any conclusions about its cause,VERB,14
24013,24013,99,0,"In any case, Mr. Luce pointed out, banks could be more reluctant to lend Texaco money in light of this huge new claim",VERB,13
5749,5749,1266,0,"The well flowed at a daily rate of 225 barrels of oil and 1, 000 cubic feet of natural gas from a depth of 8, 596 feet in a pump test",VERB,2
24677,24677,763,0,The company hasn't filled the board vacancies,VERB,3
28493,28493,1215,0,"Furthermore, records that were supposed to be destroyed sometimes aren't, and they, too, occasionally surface",VERB,7
37337,37337,3704,0,"The New York Stock Exchange composite index also touched a high since the crash but pulled back to close at 144.82, up 0.28 but below its Oct. 21 level of 145.02",VERB,8
10995,10995,910,0,Most land being farmed by FmHA borrowers would be plowed regardless of whether the FmHA ever existed,VERB,9
3566,3566,2447,0,"It rained for the rest of the day and into the evening, canceling or carrying over all but five of the 64 scheduled contests",VERB,1
23709,23709,3532,0,"Mr. Grauer added, "" The commission totally missed the point",VERB,7
2007,2007,888,0,"The debentures will carry a rate that's fixed, but can increase based on natural gas prices",VERB,7
23898,23898,3721,0,Supermarket chains aren't willing to pay much for beef because they' ve been flooded with cheap poultry,VERB,13
1366,1366,247,0,We are all afraid to die and all we can do is count the days till we go home...,VERB,5
35479,35479,1473,0,"Because a commitment to hold open the 74.4 miles of supply road to Khost from Gardez would require even more Soviet casualties and force, the optimists surmise that the Soviets are attacking Khost to get out of Afghanistan",VERB,31
10669,10669,584,0,"And so long as one- third of the black population is mired in poverty, blacks will not hear of dismantling programs that enabled so many within their ranks to escape poverty in the first place",VERB,29
31605,31605,963,0,"The vandalism occurred Friday and was discovered Saturday when authorities at Manila Memorial Park cemetery received a telephone warning that a bomb had been planted in Aquino's concrete tomb, a military official said",VERB,24
26357,26357,2816,0,"The fatty deposits have a yellowish hue and therefore absorb more of the yellow laser energy than the surrounding, almost colorless artery wall",VERB,9
5712,5712,1229,0,"The real estate division, which reports to Mr. Brown, has also lost seasoned leadership at a time when it has been aggressively lending to developers",VERB,22
9412,9412,1938,0,Hiring British bankers is helping Japanese financial institutions develop lending business with medium- sized corporate borrowers,VERB,9
16844,16844,3388,0,"Without the initial charge to keep them on track and in snubbing adoption, there seemed to be little value in my spending time or lending our organization's name to the exercise",VERB,24
4919,4919,436,0,"While workers struck three plants, the company locked out about 1, 200 workers at a fourth plant, in Mobile, Ala",VERB,2
35017,35017,1011,0,"The Canadian government agency said the funds will be lent to the Bank of China, which will make them available to the China National Technical Import& Export Corp., which is purchasing the plants",VERB,9
32475,32475,1833,0,"First, they should examine their systems, especially personal computers, research computers and other end- user systems that operate outside conventional data processing departments, to make sure that only authorized programs can be used and that only authorized people can use the machines either directly or remotely",VERB,3
29175,29175,2270,0,"Public judges could appear, in the public imagination, as nothing more than besieged bureaucrats",VERB,12
21954,21954,1777,0,""" If we don't do something to address the needs of the urban poor, then the core of our cities will die, "" says Frank Lomax, executive vice president of the National Urban League",VERB,21
24762,24762,848,0,"Budgetary gridlock, a possible financial crisis, and a presidency besieged almost immediately by pressing domestic and international economic problems",VERB,9
1453,1453,334,0,"If someone wants to eat fruits, nuts and organically grown vegetables from the back yard every day, fine",VERB,4
11060,11060,975,0,"But few, if any, have guidelines against lending to offshore entities that are South African- controlled or that have a significant South African minority interest",VERB,7
8153,8153,1425,0,"Sean Penn pulls off a reasonably convincing German accent as Guenther, the surprise witness in "" Judgment in Berlin, "" the story of the East Germans who escaped to the West by hijacking a plane",VERB,27
13111,13111,3399,0,"Certain Salt Lake City hotels, in fact, have all three -- restaurants, beer bars and private clubs -- which means that patrons stumbling from one to the other may feel they have disappeared in the Bermuda Triangle, the rules being as stupefying as the booze",VERB,22
22761,22761,2584,0,"Sematech, as the venture is called, is the U.S. chip industry's answer to Japan's government- aided efforts to target the semiconductor industry for global domination",VERB,18
2189,2189,1070,0,"But in talking with the FBI agent, the man not only denied he'd killed anyone, he said that he hadn't escaped from prison, that the warden had simply told him to leave one day after more than 20 years behind bars",VERB,20
30194,30194,3289,0,"When we first encounter Nina, she is blaming her kindly old Dad for succumbing to fatherly jealousy and blocking her marriage to a handsome flying ace named Gordon, who is subsequently killed in World War I",VERB,24
21607,21607,1430,0,Consolidated Rail Corp. said it agreed to pay$ 58 million to settle all claims outstanding on behalf of 16 people killed in a 1987 train collision,VERB,20
7197,7197,2714,0,""" Some of these older people would die before they'd go to a hospital in Huntsville or Decatur, "" says Tony Williams",VERB,7
9215,9215,1741,0,Canadian National said that Canadian Pacific Hotels agreed to maintain all existing labor contracts and pension benefits and to absorb all of CN Hotels' current employees,VERB,19
18788,18788,1975,0,"Two young women in the front seat weren't wearing belts, but escaped without permanent injuries",VERB,11
35818,35818,1812,0,Most budget experts agree that any credible solution to the deficit problem will have to attack two political sacred cows: taxes and Social Security,VERB,15
36898,36898,3265,0,"These were incentives, the official visitor said, to get them planting again",VERB,10
15311,15311,2235,0,"And party chairman Paul Kirk never bothered to call him at all on Tuesday, Mr. Jackson's aides say, though he could find the time to fly to Boston to extol Mr. Bentsen",VERB,25
24175,24175,261,0,"Philip Morris also has$ 1.5 billion in available cash and the ability to acquire more funding if necessary, although people close to the company said some of the funds available are targeted for other corporate purposes and for expenses related to the proposed acquisition",VERB,31
12989,12989,3277,0,"But far from being cowed, Palestinians are using what little leverage they have to strike back",VERB,14
21727,21727,1550,0,"Dr. Kinlen, who directs the university's Cancer Epidemiology Unit, examined leukemia deaths from a U.S. study that had tracked veterans' smoking between 1954 and 1969",VERB,9
13817,13817,368,0,"If the Federal Energy Regulatory Commission approves the plan, Panhandle will have escaped a total of about$ 4 billion in take- or- pay contract liabilities",VERB,12
2517,2517,1398,0,"Engineers in uniforms and hardhats are everywhere, many maintaining the technological heart of the levitating train: its roadbed of specially cooled superconducting magnets",VERB,20
2697,2697,1578,0,"In the past several elections, the Republicans have had a lock on victory by piecing together 109 electoral votes from Dixie -LRB- excluding Texas -RRB-, 107 from the West -LRB- excluding Hawaii -RRB- and enough from the Great Plains and a handful of other dependable GOP redoubts to get more than the 270 needed for election -- before even touching the populous industrial states and Texas",VERB,59
34448,34448,442,0,Judges thus destroyed the time frame used in assessing risk,VERB,2
13611,13611,162,0,"He has been wrong on interest rates recently, again because he missed the full impact of the declining dollar, and he concedes that bond prices could fall temporarily",VERB,11
29373,29373,2468,0,"He adds, "" It seems to me it will be desirable, in the present environment, to see what can be done "" to reduce debt, rather than just lend new money",VERB,28
36908,36908,3275,0,"A Cajun hot dog in one hand, Hurricane Slush in the other, I wander along Bourbon Street in the raffish French Quarter, just another media hound among 15, 000 unleashed here to hunt down non- stories about the Crescent City -- eat some gumbo, listen to great jazz, buy souvenirs",VERB,41
6107,6107,1624,0,"For now, he rides around his opponents like a modern Jeb Stuart, staging lightning raids before returning to safety in the South",VERB,3
28465,28465,1187,0,"A Treasury official yesterday attacked Mr. Robinson's proposal as "" clearly a commercial venture on the part of American Express "" and one that contains nothing new",VERB,4
29109,29109,2204,0,"Equally important, his Socialist government absorbed and then, in effect, destroyed the French Communist Party",VERB,10
1742,1742,623,0,"At the scene of the crash, survivors said they were able to escape the plane by crawling out at a split in the fuselage and by going through an emergency exit over the wing",VERB,12
22277,22277,2100,0,"In 1347, Mongols besieging the Black Sea port of Caffa began to sicken and die from the plague",VERB,14
32920,32920,2651,0,"When dissolved in water, the protein acts as a catalyst to aid the freezing process by increasing the effective freezing point of water by 8 degrees to 10 degrees Fahrenheit",VERB,1
18252,18252,1439,0,People familiar with the investigation said the SEC is examining both of these motives in its current investigation,VERB,9
13485,13485,36,0,"Mr. Groner touches down at the Orlando airport at 5:54 a.m., and a dumpster- size container carrying our package is rolled onto a truck bound for a sorting center in Longwood, Fla",VERB,2
23632,23632,3455,0,"I arrived in Vietnam in early 1968, as green as the beret I wore, and was assigned to the Special Forces "" A "" team that had the dubious distinction, two weeks later, of being one of the first attacked during the Tet offensive",VERB,39
35890,35890,1884,0,"He stumbles home in the middle of yet another rainy, drugged night and tries to kill himself by guzzling iodine",VERB,1
9500,9500,2026,0,Cats can fly,VERB,2
28928,28928,2023,0,"Most of the banks specifically have targeted marketing campaigns at profitable small companies. -LRB- Separately, Dai- Ichi Kangyo said it will name Ichiro Nakamura, now a vice president, as chairman, succeeding Tetsuya Fujimori",VERB,6
21248,21248,1071,0,Then he drop- kicked the ball through some goal posts about 50 yards distant,VERB,3
24224,24224,310,0,"He strongly attacked the Massachusetts governor, asserting that he would lead the nation toward higher taxes, economic stagnation and a weaker defense",VERB,2
22319,22319,2142,0,"So the kids gave Mom a watch, said a couple of nice things, and drank a retirement toast in her honor",VERB,14
7964,7964,1236,0,"The press release for an upcoming miniseries describes Nina, its heroine, as "" a manipulative woman determined to love and, if need be, destroy the men in her life.'",VERB,23
23063,23063,2886,0,"The Federal Home Loan Bank Board, as expected, adopted a resolution intended to reassure Wall Street firms that have lent about$ 12.6 billion to the thrift unit of troubled Financial Corp. of America",VERB,19
5320,5320,837,0,"Medic- Light already is working on "" second- generation "" products, including a computerized light system that, by simulating the gradual light changes of dawn and dusk, is designed to serve as "" a natural clock "" to wake people up and lull them to sleep, says Mr. Hughes",VERB,45
8401,8401,2792,0,"While Mr. McClean hadn't fully examined the materials released by Gazelle, he noted that "" the gallium- arsenide market has really been in a chicken- or- egg situation, "" with prices remaining high in part because they are produced in such small volume, and demand curtailed because prices are high",VERB,5
