,Unnamed: 0,label,expression,dataset,position,id,context,text
16,418,0,grab,TroFi_ORIGSPLIT,[62 66],TroFi.o.1712,"And they did n't just grab the clothes , they were trained to grab the flesh . ''/''","And they did n't just grab the clothes , they were trained to grabgrab"
17,931,0,fills,TroFi_ORIGSPLIT,[3 8],TroFi.o.1285,He fills positions that have been vacant for more than a year .,He fillsfills
18,446,0,cooling,TroFi_ORIGSPLIT,[38 45],TroFi.o.348,They can generate such heat they need cooling fans ; trunk-mounting avoids turning the passenger compartment into a blast furnace .,They can generate such heat they need coolingcooling
19,689,0,planted,TroFi_ORIGSPLIT,[18 25],TroFi.o.2405,"There 's the tree planted in his honor at Freedoms Foundation in Valley Forge , Pa .",There 's the tree plantedplanted
20,445,0,cooled,TroFi_ORIGSPLIT,[17 23],TroFi.o.320,The mold is then cooled and dried and the lid peeled off .,The mold is then cooledcooled
21,1444,0,play,TroFi_ORIGSPLIT,[43 47],TroFi.o.2430,Mr. Gorbachev has complained that children play soccer with loaves of bread because they 're so cheap .,Mr. Gorbachev has complained that children playplay
22,800,0,examine,TroFi_ORIGSPLIT,[109 116],TroFi.o.1100,"`` Consumer spending would mean a wider -LRB- U.S. -RRB- trade deficit , '' he said , adding , `` we want to examine the content '' of the growth data .","`` Consumer spending would mean a wider -LRB- U.S. -RRB- trade deficit , '' he said , adding , `` we want to examineexamine"
23,721,0,missing,TroFi_ORIGSPLIT,[58 65],TroFi.o.2328,"She resigned , she says , in part because `` I felt I was missing certain things in life that were as valuable as work . ''/''","She resigned , she says , in part because `` I felt I was missingmissing"
24,168,0,fly,TroFi_ORIGSPLIT,[69 72],TroFi.o.1629,"And Mr. Gorbachev 's proposal to remove aircraft -- which easily can fly back to Central Europe during a crisis -- would be meaningless unless they are destroyed , Mr. Chalmers says .",And Mr. Gorbachev 's proposal to remove aircraft -- which easily can flyfly
25,457,0,touching,TroFi_ORIGSPLIT,[147 155],TroFi.o.3692,"`` It is combined with a lot of information , and is visually well done -- although if you watched it ten times , you might laugh at all the hands touching . ''/''","`` It is combined with a lot of information , and is visually well done -- although if you watched it ten times , you might laugh at all the hands touchingtouching"
26,618,0,killed,TroFi_ORIGSPLIT,[3 9],TroFi.o.1897,He killed 47 in one month .,He killedkilled
27,46,0,dancing,TroFi_ORIGSPLIT,[69 76],TroFi.o.412,"With their wives and girlfriends in Mexico , it 's common to see men dancing alone here .","With their wives and girlfriends in Mexico , it 's common to see men dancingdancing"
28,1370,0,dance,TroFi_ORIGSPLIT,[231 236],TroFi.o.358,"Indeed , the musical 's whole point is expressed through a single climactic , apocalyptic number called `` Rockland , '' in which the cast , suddenly dressed in hip , punky clothes , leather jackets and army fatigues , sings `` We dance together in a bar to the same creeping sense of ennui . ''/''","Indeed , the musical 's whole point is expressed through a single climactic , apocalyptic number called `` Rockland , '' in which the cast , suddenly dressed in hip , punky clothes , leather jackets and army fatigues , sings `` We dancedance"
29,406,0,examine,TroFi_ORIGSPLIT,[15 22],TroFi.o.1080,"If you wish to examine why college costs rise faster than the cost-of-living index , you can start with our libraries .",If you wish to examineexamine
30,1919,0,roll,TroFi_ORIGSPLIT,[63 67],TroFi.o.2863,"No sooner had the plane taken off , however , than it began to roll too sharply to the left , crashing into the sea upside down moments later .","No sooner had the plane taken off , however , than it began to rollroll"
31,1156,0,lent,TroFi_ORIGSPLIT,[32 36],TroFi.o.2135,"About 165 , 000 pieces had been lent to government offices and embassies around the world , and many never came back , he said .","About 165 , 000 pieces had been lentlent"
32,1079,0,danced,TroFi_ORIGSPLIT,[127 133],TroFi.o.384,"Whether these dancers could ever meet the requirements of `` Raymonda Variations '' and `` Symphony in C , '' the ballets they danced in New York , is doubtful .","Whether these dancers could ever meet the requirements of `` Raymonda Variations '' and `` Symphony in C , '' the ballets they danceddanced"
33,68,0,dissolved,TroFi_ORIGSPLIT,[ 5 14],TroFi.o.638,"When dissolved in water , the protein acts as a catalyst to aid the freezing process by increasing the effective freezing point of water by 8 degrees to 10 degrees Fahrenheit .",When dissolveddissolved
34,77,0,dancing,TroFi_ORIGSPLIT,[21 28],TroFi.o.409,"They were greeted by dancing pigs , flying pigs and several hundred thousand people pigging out .",They were greeted by dancingdancing
35,1016,0,rains,TroFi_ORIGSPLIT,[49 54],TroFi.o.2700,"`` I do n't think we could carry Iowa even if it rains every day , '' says Washington GOP consultant Eddie Mahe , who stayed out of the GOP nomination contest but will work for Mr. Bush this fall .",`` I do n't think we could carry Iowa even if it rainsrains
36,153,0,flown,TroFi_ORIGSPLIT,[49 54],TroFi.o.1594,A revenue passenger mile is one paying passenger flown one mile .,A revenue passenger mile is one paying passenger flownflown
37,636,0,flowed,TroFi_ORIGSPLIT,[ 9 15],TroFi.o.1567,"The well flowed at a rate of seven million cubic feet of gas a day through a 14 64-inch opening at depths of 12 , 500 feet .",The well flowedflowed
38,638,0,steps,TroFi_ORIGSPLIT,[38 43],TroFi.o.3186,"When Egyptian President Hosni Mubarak steps off his plane at Andrews Air Force Base tomorrow to begin a visit to Washington , he will be a changed man .",When Egyptian President Hosni Mubarak stepssteps
39,722,0,examine,TroFi_ORIGSPLIT,[20 27],TroFi.o.1074,"First , they should examine their systems , especially personal computers , research computers and other end-user systems that operate outside conventional data processing departments , to make sure that only authorized programs can be used and that only authorized people can use the machines either directly or remotely .","First , they should examineexamine"
40,478,0,rained,TroFi_ORIGSPLIT,[109 115],TroFi.o.2674,"Foul weather delayed the regatta , but it finally took place on Jan. 2: `` It rained during the first race , rained and hailed during the second , and snowed during the third , '' Mr. Taylor wrote .","Foul weather delayed the regatta , but it finally took place on Jan. 2: `` It rained during the first race , rainedrained"
41,412,0,dragged,TroFi_ORIGSPLIT,[42 49],TroFi.o.697,"He was at first left alone , but was then dragged before a military court and given a 12-year prison sentence .","He was at first left alone , but was then draggeddragged"
42,555,0,drink,TroFi_ORIGSPLIT,[11 16],TroFi.o.787,"Winos will drink anything if need be , but when they have the money to buy what they want , they tend to hew to the familiar . -LRB- Sales resistance may help explain why the handful of low-end products that companies have tried to launch in the past 20 years mostly have bombed. -RRB-/-RRB-",Winos will drinkdrink
43,1507,0,touched,TroFi_ORIGSPLIT,[91 98],TroFi.o.3663,"This version stated that `` the other two men in the plane died , probably before Lt. Bush touched the water . ''/''","This version stated that `` the other two men in the plane died , probably before Lt. Bush touchedtouched"
44,1918,0,filling,TroFi_ORIGSPLIT,[206 213],TroFi.o.1279,"The regional carrier , which has three DC-9 aircraft and uses two of them for charter flights , also said William E. Lindsey , its chairman , was elected to the additional post of chief executive officer , filling a vacancy created by the resignation in February of Thomas Volz .","The regional carrier , which has three DC-9 aircraft and uses two of them for charter flights , also said William E. Lindsey , its chairman , was elected to the additional post of chief executive officer , fillingfilling"
45,392,0,flown,TroFi_ORIGSPLIT,[49 54],TroFi.o.1599,A revenue passenger mile is one paying passenger flown one mile .,A revenue passenger mile is one paying passenger flownflown
46,543,0,killed,TroFi_ORIGSPLIT,[25 31],TroFi.o.1946,"Two air crashes in India killed at least 164 people , authorities said .",Two air crashes in India killedkilled
47,205,0,attack,TroFi_ORIGSPLIT,[150 156],TroFi.o.151,"This expert also believes that Pyongyang might use helicopters it has bought from the West , which are identical to those used by the Seoul army , to attack student demonstrators .","This expert also believes that Pyongyang might use helicopters it has bought from the West , which are identical to those used by the Seoul army , to attackattack"
48,47,0,examined,TroFi_ORIGSPLIT,[154 162],TroFi.o.1113,"He said these proposals `` ought always to be listened to with great precaution , and ought never to be adopted till after having been long and carefully examined , not only with the most scrupulous , but with the most suspicious attention .","He said these proposals `` ought always to be listened to with great precaution , and ought never to be adopted till after having been long and carefully examinedexamined"
49,1490,0,dance,TroFi_ORIGSPLIT,[123 128],TroFi.o.360,"Most of the rules are left unspoken: Do n't move , do n't talk , do n't laugh , do n't sneeze -- and , definitely , do n't dance .","Most of the rules are left unspoken: Do n't move , do n't talk , do n't laugh , do n't sneeze -- and , definitely , do n't dancedance"
50,1613,0,riding,TroFi_ORIGSPLIT,[71 77],TroFi.o.2819,"Thirty-eight summers ago at Tecumseh Lodge in Eagle River , Wis . , my riding instructor was `` Uncle '' Al Dorfman .","Thirty-eight summers ago at Tecumseh Lodge in Eagle River , Wis . , my ridingriding"
51,205,0,die,TroFi_ORIGSPLIT,[37 40],TroFi.o.523,"An estimated 18 , 100 Americans will die from it this year , making the disease the fifth-greatest cause of cancer deaths .","An estimated 18 , 100 Americans will diedie"
52,1158,0,cooling,TroFi_ORIGSPLIT,[35 42],TroFi.o.327,Beer flowed from big pitchers as a cooling obbligato to the hot sounds .,Beer flowed from big pitchers as a coolingcooling
53,550,0,eat,TroFi_ORIGSPLIT,[93 96],TroFi.o.865,"The races mingle in department stores and at downtown restaurants , where city employees all eat between noon and one .","The races mingle in department stores and at downtown restaurants , where city employees all eateat"
54,735,0,filling,TroFi_ORIGSPLIT,[30 37],TroFi.o.1275,"Mr. Cossa 's grain bin may be filling up , but just last month another 100 peasants -- looking for food and security -- moved into the village to escape the fighting in the countryside .",Mr. Cossa 's grain bin may be fillingfilling
55,560,0,melting,TroFi_ORIGSPLIT,[49 56],TroFi.o.2204,"On the Cadillac Eldorado convertibles , water or melting snow dripping onto the window switch assembly when the driver 's door is open could cause an electrical short .","On the Cadillac Eldorado convertibles , water or meltingmelting"
56,1000,0,evaporated,TroFi_ORIGSPLIT,[148 158],TroFi.o.1042,"Tim Thiele , a Saskatchewan area manager for Ducks Unlimited , a conservation group , said thousands of small ponds where ducks nest and breed have evaporated .","Tim Thiele , a Saskatchewan area manager for Ducks Unlimited , a conservation group , said thousands of small ponds where ducks nest and breed have evaporatedevaporated"
57,49,0,filled,TroFi_ORIGSPLIT,[58 64],TroFi.o.1245,"The airline said load factor , or the percentage of seats filled , was 39.3 % , up from 37.7 % a year earlier .","The airline said load factor , or the percentage of seats filledfilled"
58,1525,0,fixed,TroFi_ORIGSPLIT,[90 95],TroFi.o.1328,"Also , growing competition is forcing many utilities to lower rates , though costs remain fixed , thus squeezing profits .","Also , growing competition is forcing many utilities to lower rates , though costs remain fixedfixed"
59,268,0,knocking,TroFi_ORIGSPLIT,[139 147],TroFi.o.2036,I confess I fear word will get out that `` the man in the green house is a soft touch '' -- and that I will soon have several `` Clints '' knocking on my door .,I confess I fear word will get out that `` the man in the green house is a soft touch '' -- and that I will soon have several `` Clints '' knockingknocking
60,1593,0,dancing,TroFi_ORIGSPLIT,[25 32],TroFi.o.415,"`` And there 's Sam Nunn dancing presumably with his wife , '' she says , squinting hard from her distant perch .",`` And there 's Sam Nunn dancingdancing
61,1134,0,fill,TroFi_ORIGSPLIT,[132 136],TroFi.o.1198,"The situation for soybeans does n't become critical until next week , when the crop 's need for moisture soars as its pods begin to fill with beans .","The situation for soybeans does n't become critical until next week , when the crop 's need for moisture soars as its pods begin to fillfill"
62,1599,0,kicks,TroFi_ORIGSPLIT,[ 8 13],TroFi.o.1844,"When he kicks the pipe holding water back from Milagro , the water floods his dying bean field .",When he kickskicks
63,659,0,flow,TroFi_ORIGSPLIT,[89 93],TroFi.o.1546,"Steps were being taken , Occidental said , to remove natural gas from the pipelines that flow into Piper .","Steps were being taken , Occidental said , to remove natural gas from the pipelines that flowflow"
64,903,0,strike,TroFi_ORIGSPLIT,[ 96 102],TroFi.o.3262,"Gently rocking them swings the hammers , which sway back and forth like the tongues of bells to strike the chimes .","Gently rocking them swings the hammers , which sway back and forth like the tongues of bells to strikestrike"
65,863,0,missing,TroFi_ORIGSPLIT,[174 181],TroFi.o.2320,"In the hallway beyond , the shouts of students changing classes reverberate , reminding Mrs. Black that this soon-to-be mother of two needs an excuse to give her teacher for missing a class .","In the hallway beyond , the shouts of students changing classes reverberate , reminding Mrs. Black that this soon-to-be mother of two needs an excuse to give her teacher for missingmissing"
66,94,0,drinking,TroFi_ORIGSPLIT,[105 113],TroFi.o.815,"`` The celebrity could bring more damage to the program and to somebody else 's recovery if they started drinking again , '' says Chris Jorgensen , vice president of communications .",`` The celebrity could bring more damage to the program and to somebody else 's recovery if they started drinkingdrinking
67,898,0,touch,TroFi_ORIGSPLIT,[24 29],TroFi.o.3634,"`` People in Washington touch cheek-to-cheek quite often , '' says Effi Barry , wife of the city 's mayor , Marion Barry Jr .",`` People in Washington touchtouch
68,1689,0,rains,TroFi_ORIGSPLIT,[150 155],TroFi.o.2696,"Beginning this week , says Steve Freed , an agricultural analyst for Dean Witter Reynolds in Chicago , the corn yield will drop 5 % for every week it rains less than normal .","Beginning this week , says Steve Freed , an agricultural analyst for Dean Witter Reynolds in Chicago , the corn yield will drop 5 % for every week it rainsrains"
69,137,0,die,TroFi_ORIGSPLIT,[15 18],TroFi.o.535,"He just wo n't die , the untamable , lubricious monster monk from Siberia who darkened the imperial doorstep of Nicholas and Alexandra .",He just wo n't diedie
70,236,0,sleeping,TroFi_ORIGSPLIT,[155 163],TroFi.o.2997,"One simply ca n't prevent rural Africans from moving , with their ravenous cattle , onto lands too poor to support heavy grazing once the threat of bovine sleeping sickness is removed .","One simply ca n't prevent rural Africans from moving , with their ravenous cattle , onto lands too poor to support heavy grazing once the threat of bovine sleepingsleeping"
71,1776,0,rested,TroFi_ORIGSPLIT,[106 112],TroFi.o.2730,"Former JFK adviser Sorensen , harking back to 1960 , tells Dukakis to state positions crisply and be well rested .","Former JFK adviser Sorensen , harking back to 1960 , tells Dukakis to state positions crisply and be well restedrested"
72,384,0,lent,TroFi_ORIGSPLIT,[27 31],TroFi.o.2141,"Early last year , the Navy lent two of the planes to the Coast Guard , and two to Customs .","Early last year , the Navy lentlent"
73,1533,0,plant,TroFi_ORIGSPLIT,[79 84],TroFi.o.2347,At that level the department could permit farmers in the government program to plant on more land .,At that level the department could permit farmers in the government program to plantplant
74,1087,0,filling,TroFi_ORIGSPLIT,[172 179],TroFi.o.1260,"But industry lobbyists argued successfully that reconstituting spent plastic containers into such alternative products as flower pots , drainpipes , synthetic lumber , and filling for pillows and sleeping bags should count against the recycling targets .","But industry lobbyists argued successfully that reconstituting spent plastic containers into such alternative products as flower pots , drainpipes , synthetic lumber , and fillingfilling"
75,379,0,dancing,TroFi_ORIGSPLIT,[138 145],TroFi.o.393,And a family in adjacent Hamilton County turned to him after it got little response from local authorities to its complaints about people dancing and praying in a nearby graveyard .,And a family in adjacent Hamilton County turned to him after it got little response from local authorities to its complaints about people dancingdancing
76,37,0,attacked,TroFi_ORIGSPLIT,[17 25],TroFi.o.194,"Rioting Iranians attacked the Soviet Union 's Embassy in Tehran , accusing Moscow of supplying Iraq with missiles used in recent raids on Iran .",Rioting Iranians attackedattacked
77,1122,0,drink,TroFi_ORIGSPLIT,[24 29],TroFi.o.774,"Russians in sweat suits drink tea and play cards , repack their crates and collect their linen .",Russians in sweat suits drinkdrink
78,1073,0,fill,TroFi_ORIGSPLIT,[134 138],TroFi.o.1203,"Two executive vice presidents resigned from First Chicago Corp. to take other jobs , and the banking concern shifted some officers to fill the vacancies .","Two executive vice presidents resigned from First Chicago Corp. to take other jobs , and the banking concern shifted some officers to fillfill"
79,532,0,planted,TroFi_ORIGSPLIT,[48 55],TroFi.o.2369,"But David Lett was a visionary , and in 1966 he planted pinot noir in the red hills near Dundee .","But David Lett was a visionary , and in 1966 he plantedplanted"
80,366,0,destroyed,TroFi_ORIGSPLIT,[31 40],TroFi.o.484,The doctor who removed the IUD destroyed Ms. Murdock-Vaughn 's files in 1979 as part of a routine office cleaning .,The doctor who removed the IUD destroyeddestroyed
81,937,0,rained,TroFi_ORIGSPLIT,[31 37],TroFi.o.2686,"`` I was in the stands when it rained , '' said Victor Lespinasse , a floor broker for Dean Witter Reynolds , Chicago .",`` I was in the stands when it rainedrained
82,1131,0,drank,TroFi_ORIGSPLIT,[80 85],TroFi.o.736,"Another third of the patients at the University of Maryland Shock Trauma Center drank alcohol before being hurt , and 16.5 % had used both marijuana and alcohol , the study said .",Another third of the patients at the University of Maryland Shock Trauma Center drankdrank
83,995,0,planted,TroFi_ORIGSPLIT,[107 114],TroFi.o.2388,Ms. Long clearly relishes the hands-on work of running a winery and overseeing the evolution of a vineyard planted to her specifications .,Ms. Long clearly relishes the hands-on work of running a winery and overseeing the evolution of a vineyard plantedplanted
84,1389,0,lending,TroFi_ORIGSPLIT,[133 140],TroFi.o.2111,"Because $ 15 billion or more of long-term loans must be raised by whichever bidder wins the giant food company , they say , banks in lending syndicates for that deal may have trouble finding buyers in the secondary market for portions of their loans .","Because $ 15 billion or more of long-term loans must be raised by whichever bidder wins the giant food company , they say , banks in lendinglending"
85,1254,0,flown,TroFi_ORIGSPLIT,[48 53],TroFi.o.1592,A revenue passenger mile is one paying customer flown one mile .,A revenue passenger mile is one paying customer flownflown
86,1199,0,sleeping,TroFi_ORIGSPLIT,[18 26],TroFi.o.3002,"`` I found myself sleeping out on the steps in boot camp , '' he recalls .",`` I found myself sleepingsleeping
87,1569,0,filling,TroFi_ORIGSPLIT,[119 126],TroFi.o.1258,"Also , Charles L. Magee , formerly deputy general counsel , was named vice president , general counsel and secretary , filling vacancies created when Richard Stewart resigned to pursue private law practice .","Also , Charles L. Magee , formerly deputy general counsel , was named vice president , general counsel and secretary , fillingfilling"
88,488,0,grabs,TroFi_ORIGSPLIT,[34 39],TroFi.o.1755,"Shortly after 6 p.m . , the shark grabs a final tuna-head snack off a line and glides off into the gloom .","Shortly after 6 p.m . , the shark grabsgrabs"
89,1622,0,fixed,TroFi_ORIGSPLIT,[32 37],TroFi.o.1357,"When federal Medicare officials fixed rates for hospital reimbursements five years ago , executives at 3M and Abbott Laboratories separately began to worry about how their sales to hospitals would be affected .",When federal Medicare officials fixedfixed
90,1371,0,rest,TroFi_ORIGSPLIT,[20 24],TroFi.o.2703,A typist 's fingers rest in indentations ; moving a finger within an indentation `` types '' a character .,A typist 's fingers restrest
91,25,0,die,TroFi_ORIGSPLIT,[33 36],TroFi.o.537,"Immune-suppressed children often die of illnesses like chicken pox , meningitis , measles and pneumonia .",Immune-suppressed children often diedie
92,139,0,die,TroFi_ORIGSPLIT,[36 39],TroFi.o.578,"`` Some of these older people would die before they 'd go to a hospital in Huntsville or Decatur , '' says Tony Williams .",`` Some of these older people would diedie
93,565,0,struck,TroFi_ORIGSPLIT,[127 133],TroFi.o.3339,"But these corporate gains appear more like personal setbacks to Mr. Collyer and many of the other 32 , 500 British workers who struck Ford 's British plants eight days ago .","But these corporate gains appear more like personal setbacks to Mr. Collyer and many of the other 32 , 500 British workers who struckstruck"
94,608,0,dancing,TroFi_ORIGSPLIT,[105 112],TroFi.o.406,"Television commercials expected to air in mid-April in New York and Miami will feature the homespun pair dancing the salsa , advertising sources said .",Television commercials expected to air in mid-April in New York and Miami will feature the homespun pair dancingdancing
95,1225,0,strike,TroFi_ORIGSPLIT,[14 20],TroFi.o.3295,Where will he strike next ?,Where will he strikestrike
96,1279,0,pumping,TroFi_ORIGSPLIT,[13 20],TroFi.o.2648,"The heart 's pumping power three weeks after treatment , as measured by the fraction of blood ejected with each heartbeat , was `` exactly the same '' -- 58 % for both groups , Dr. White said .",The heart 's pumpingpumping
97,943,0,die,TroFi_ORIGSPLIT,[ 9 12],TroFi.o.526,And they die anyway . ''/'',And they diedie
98,861,0,sleep,TroFi_ORIGSPLIT,[254 259],TroFi.o.2957,"Medic-Light already is working on `` second-generation '' products , including a computerized light system that , by simulating the gradual light changes of dawn and dusk , is designed to serve as `` a natural clock '' to wake people up and lull them to sleep , says Mr. Hughes .","Medic-Light already is working on `` second-generation '' products , including a computerized light system that , by simulating the gradual light changes of dawn and dusk , is designed to serve as `` a natural clock '' to wake people up and lull them to sleepsleep"
99,339,0,lend,TroFi_ORIGSPLIT,[80 84],TroFi.o.2050,"Among short-term interest rates , the rate on federal funds , or reserves banks lend each other overnight , averaged 6.81 % , according to Fulton Prebon -LRB- U.S.A -RRB- .","Among short-term interest rates , the rate on federal funds , or reserves banks lendlend"
100,750,0,ate,TroFi_ORIGSPLIT,[65 68],TroFi.o.114,"Still , they did n't go quite as far as one Himalayan bear -- it ate the camera .","Still , they did n't go quite as far as one Himalayan bear -- it ateate"
101,1213,0,pumping,TroFi_ORIGSPLIT,[172 179],TroFi.o.2629,"Harvey D. White , an Auckland cardiologist , found that `` no dramatic difference '' emerged from a small study comparing TPA with streptokinase in preserving the heart 's pumping power and in prolonging survival following a first heart attack .","Harvey D. White , an Auckland cardiologist , found that `` no dramatic difference '' emerged from a small study comparing TPA with streptokinase in preserving the heart 's pumpingpumping"
102,407,0,riding,TroFi_ORIGSPLIT,[ 7 13],TroFi.o.2821,"Though riding the luge is a fairly dangerous sport , the scariest moment for the Philippines ' Mr. Ocampo came a week before the Olympics when his credentials to participate were temporarily blocked by Philippine bureaucrats .",Though ridingriding
103,480,0,resting,TroFi_ORIGSPLIT,[91 98],TroFi.o.2740,"Three weeks after suffering one heart attack last November , 46-year-old Bill Peterson was resting at a St. Louis hospital when he was suddenly gripped by the chest-crushing pain of a second .","Three weeks after suffering one heart attack last November , 46-year-old Bill Peterson was restingresting"
104,1782,0,lending,TroFi_ORIGSPLIT,[48 55],TroFi.o.2122,"The constitutions of our states commonly forbid lending the credit of the state to private firms , although in recent years tax-abatement and industrial-development incentives have been common exceptions to the general rule .",The constitutions of our states commonly forbid lendinglending
105,1117,0,fly,TroFi_ORIGSPLIT,[ 9 12],TroFi.o.1637,Cats can fly .,Cats can flyfly
106,896,0,drink,TroFi_ORIGSPLIT,[49 54],TroFi.o.784,"Today , the upper ranks of English society still drink Pimm 's , though in weather that is rather damper and at contests somewhat tamer: the Ascot horse races , the Wimbledon tennis tournament , the Henley rowing regatta .","Today , the upper ranks of English society still drinkdrink"
107,1154,0,kill,TroFi_ORIGSPLIT,[139 143],TroFi.o.1850,"Asked why he does n't trust the Sandinistas , he snaps , `` I do n't even have confidence in my own commandos , because any day they might kill me . ''/''","Asked why he does n't trust the Sandinistas , he snaps , `` I do n't even have confidence in my own commandos , because any day they might killkill"
108,243,0,missing,TroFi_ORIGSPLIT,[30 37],TroFi.o.2340,"`` That does n't stop us from missing Brian , of course . ''/''",`` That does n't stop us from missingmissing
109,424,0,missed,TroFi_ORIGSPLIT,[22 28],TroFi.o.2281,"Short sellers `` have missed some points '' about CopyTele , says Mr. Maxwell , who bought the stock at 9 3 4 .",Short sellers `` have missedmissed
110,869,0,die,TroFi_ORIGSPLIT,[29 32],TroFi.o.521,About 25 % of those children die of liver cancer or cirrhosis .,About 25 % of those children diedie
111,1185,0,rolled,TroFi_ORIGSPLIT,[68 74],TroFi.o.2908,"`` Jeez , '' you can just hear Joe Exec sighing , his shirt-sleeves rolled up , his arms buried deep in the trash , `` there must be something in here we can salvage . ''/''","`` Jeez , '' you can just hear Joe Exec sighing , his shirt-sleeves rolledrolled"
112,1183,0,stuck,TroFi_ORIGSPLIT,[ 98 103],TroFi.o.3433,"What 's more , the trucks he is pushing have a checkered history: Early versions broke down , got stuck in the mud and languished in fields waiting to be fixed .","What 's more , the trucks he is pushing have a checkered history: Early versions broke down , got stuckstuck"
113,1125,0,dance,TroFi_ORIGSPLIT,[283 288],TroFi.o.357,"In his own weird way , Mr. Waters has captured the gleeful garishness of the early '60s , when high-school girls wore demure bows in their ratted hair and deadened their lips with palest pink lip gloss -- and believed that racial harmony was inevitable if teens of all flavors could dance together on TV .","In his own weird way , Mr. Waters has captured the gleeful garishness of the early '60s , when high-school girls wore demure bows in their ratted hair and deadened their lips with palest pink lip gloss -- and believed that racial harmony was inevitable if teens of all flavors could dancedance"
114,1567,0,sleep,TroFi_ORIGSPLIT,[88 93],TroFi.o.2954,"Her daughter demanded that she keep silent , telling her , `` You wo n't have a home to sleep in if you say anything about this . ''/''","Her daughter demanded that she keep silent , telling her , `` You wo n't have a home to sleepsleep"
