,label,expression,dataset,position,id,context,text
796,0,fly,TroFi_ORIGSPLIT,[47 50],TroFi.o.1650,Mr. Tyson was in London on business and had to fly back this weekend .,Mr. Tyson was in London on business and had to [PET_BOUNDARY]fly[PET_BOUNDARY]fly
1479,0,lent,TroFi_ORIGSPLIT,[54 58],TroFi.o.2158,"The Canadian government agency said the funds will be lent to the Bank of China , which will make them available to the China National Technical Import & Export Corp . , which is purchasing the plants .",The Canadian government agency said the funds will be [PET_BOUNDARY]lent[PET_BOUNDARY]lent
1099,0,melting,TroFi_ORIGSPLIT,[78 85],TroFi.o.2200,"But the judge 's opinion said that the agitator for the vacuum cleaner `` was melting '' and `` making a loud noise , the foot pedal handle release was breaking and the vacuums were not equipped with a steel-encased motor as had been advertised to the trade , but rather with a less desirable and less reliable '' motor .",But the judge 's opinion said that the agitator for the vacuum cleaner `` was [PET_BOUNDARY]melting[PET_BOUNDARY]melting
1275,0,killed,TroFi_ORIGSPLIT,[ 9 15],TroFi.o.1931,The fire killed a building engineer trapped in an elevator and injured 40 custodial workers and firefighters .,The fire [PET_BOUNDARY]killed[PET_BOUNDARY]killed
1716,0,plowing,TroFi_ORIGSPLIT,[118 125],TroFi.o.2486,"Field stone , generally rounder , is hard to come by because much is already in old stone walls , and few farmers are plowing new fields .","Field stone , generally rounder , is hard to come by because much is already in old stone walls , and few farmers are [PET_BOUNDARY]plowing[PET_BOUNDARY]plowing"
7,0,die,TroFi_ORIGSPLIT,[86 89],TroFi.o.540,"In small type , the ad does state that just 5 , 800 of the 241 million Americans will die this year of skin cancer and that `` odds are it wo n't be your funeral . ''/''","In small type , the ad does state that just 5 , 800 of the 241 million Americans will [PET_BOUNDARY]die[PET_BOUNDARY]die"
418,0,grab,TroFi_ORIGSPLIT,[62 66],TroFi.o.1712,"And they did n't just grab the clothes , they were trained to grab the flesh . ''/''","And they did n't just grab the clothes , they were trained to [PET_BOUNDARY]grab[PET_BOUNDARY]grab"
931,0,fills,TroFi_ORIGSPLIT,[3 8],TroFi.o.1285,He fills positions that have been vacant for more than a year .,He [PET_BOUNDARY]fills[PET_BOUNDARY]fills
446,0,cooling,TroFi_ORIGSPLIT,[38 45],TroFi.o.348,They can generate such heat they need cooling fans ; trunk-mounting avoids turning the passenger compartment into a blast furnace .,They can generate such heat they need [PET_BOUNDARY]cooling[PET_BOUNDARY]cooling
689,0,planted,TroFi_ORIGSPLIT,[18 25],TroFi.o.2405,"There 's the tree planted in his honor at Freedoms Foundation in Valley Forge , Pa .",There 's the tree [PET_BOUNDARY]planted[PET_BOUNDARY]planted
445,0,cooled,TroFi_ORIGSPLIT,[17 23],TroFi.o.320,The mold is then cooled and dried and the lid peeled off .,The mold is then [PET_BOUNDARY]cooled[PET_BOUNDARY]cooled
1444,0,play,TroFi_ORIGSPLIT,[43 47],TroFi.o.2430,Mr. Gorbachev has complained that children play soccer with loaves of bread because they 're so cheap .,Mr. Gorbachev has complained that children [PET_BOUNDARY]play[PET_BOUNDARY]play
800,0,examine,TroFi_ORIGSPLIT,[109 116],TroFi.o.1100,"`` Consumer spending would mean a wider -LRB- U.S. -RRB- trade deficit , '' he said , adding , `` we want to examine the content '' of the growth data .","`` Consumer spending would mean a wider -LRB- U.S. -RRB- trade deficit , '' he said , adding , `` we want to [PET_BOUNDARY]examine[PET_BOUNDARY]examine"
721,0,missing,TroFi_ORIGSPLIT,[58 65],TroFi.o.2328,"She resigned , she says , in part because `` I felt I was missing certain things in life that were as valuable as work . ''/''","She resigned , she says , in part because `` I felt I was [PET_BOUNDARY]missing[PET_BOUNDARY]missing"
168,0,fly,TroFi_ORIGSPLIT,[69 72],TroFi.o.1629,"And Mr. Gorbachev 's proposal to remove aircraft -- which easily can fly back to Central Europe during a crisis -- would be meaningless unless they are destroyed , Mr. Chalmers says .",And Mr. Gorbachev 's proposal to remove aircraft -- which easily can [PET_BOUNDARY]fly[PET_BOUNDARY]fly
457,0,touching,TroFi_ORIGSPLIT,[147 155],TroFi.o.3692,"`` It is combined with a lot of information , and is visually well done -- although if you watched it ten times , you might laugh at all the hands touching . ''/''","`` It is combined with a lot of information , and is visually well done -- although if you watched it ten times , you might laugh at all the hands [PET_BOUNDARY]touching[PET_BOUNDARY]touching"
618,0,killed,TroFi_ORIGSPLIT,[3 9],TroFi.o.1897,He killed 47 in one month .,He [PET_BOUNDARY]killed[PET_BOUNDARY]killed
46,0,dancing,TroFi_ORIGSPLIT,[69 76],TroFi.o.412,"With their wives and girlfriends in Mexico , it 's common to see men dancing alone here .","With their wives and girlfriends in Mexico , it 's common to see men [PET_BOUNDARY]dancing[PET_BOUNDARY]dancing"
1370,0,dance,TroFi_ORIGSPLIT,[231 236],TroFi.o.358,"Indeed , the musical 's whole point is expressed through a single climactic , apocalyptic number called `` Rockland , '' in which the cast , suddenly dressed in hip , punky clothes , leather jackets and army fatigues , sings `` We dance together in a bar to the same creeping sense of ennui . ''/''","Indeed , the musical 's whole point is expressed through a single climactic , apocalyptic number called `` Rockland , '' in which the cast , suddenly dressed in hip , punky clothes , leather jackets and army fatigues , sings `` We [PET_BOUNDARY]dance[PET_BOUNDARY]dance"
406,0,examine,TroFi_ORIGSPLIT,[15 22],TroFi.o.1080,"If you wish to examine why college costs rise faster than the cost-of-living index , you can start with our libraries .",If you wish to [PET_BOUNDARY]examine[PET_BOUNDARY]examine
1919,0,roll,TroFi_ORIGSPLIT,[63 67],TroFi.o.2863,"No sooner had the plane taken off , however , than it began to roll too sharply to the left , crashing into the sea upside down moments later .","No sooner had the plane taken off , however , than it began to [PET_BOUNDARY]roll[PET_BOUNDARY]roll"
1156,0,lent,TroFi_ORIGSPLIT,[32 36],TroFi.o.2135,"About 165 , 000 pieces had been lent to government offices and embassies around the world , and many never came back , he said .","About 165 , 000 pieces had been [PET_BOUNDARY]lent[PET_BOUNDARY]lent"
1079,0,danced,TroFi_ORIGSPLIT,[127 133],TroFi.o.384,"Whether these dancers could ever meet the requirements of `` Raymonda Variations '' and `` Symphony in C , '' the ballets they danced in New York , is doubtful .","Whether these dancers could ever meet the requirements of `` Raymonda Variations '' and `` Symphony in C , '' the ballets they [PET_BOUNDARY]danced[PET_BOUNDARY]danced"
68,0,dissolved,TroFi_ORIGSPLIT,[ 5 14],TroFi.o.638,"When dissolved in water , the protein acts as a catalyst to aid the freezing process by increasing the effective freezing point of water by 8 degrees to 10 degrees Fahrenheit .",When [PET_BOUNDARY]dissolved[PET_BOUNDARY]dissolved
77,0,dancing,TroFi_ORIGSPLIT,[21 28],TroFi.o.409,"They were greeted by dancing pigs , flying pigs and several hundred thousand people pigging out .",They were greeted by [PET_BOUNDARY]dancing[PET_BOUNDARY]dancing
1016,0,rains,TroFi_ORIGSPLIT,[49 54],TroFi.o.2700,"`` I do n't think we could carry Iowa even if it rains every day , '' says Washington GOP consultant Eddie Mahe , who stayed out of the GOP nomination contest but will work for Mr. Bush this fall .",`` I do n't think we could carry Iowa even if it [PET_BOUNDARY]rains[PET_BOUNDARY]rains
153,0,flown,TroFi_ORIGSPLIT,[49 54],TroFi.o.1594,A revenue passenger mile is one paying passenger flown one mile .,A revenue passenger mile is one paying passenger [PET_BOUNDARY]flown[PET_BOUNDARY]flown
636,0,flowed,TroFi_ORIGSPLIT,[ 9 15],TroFi.o.1567,"The well flowed at a rate of seven million cubic feet of gas a day through a 14 64-inch opening at depths of 12 , 500 feet .",The well [PET_BOUNDARY]flowed[PET_BOUNDARY]flowed
638,0,steps,TroFi_ORIGSPLIT,[38 43],TroFi.o.3186,"When Egyptian President Hosni Mubarak steps off his plane at Andrews Air Force Base tomorrow to begin a visit to Washington , he will be a changed man .",When Egyptian President Hosni Mubarak [PET_BOUNDARY]steps[PET_BOUNDARY]steps
722,0,examine,TroFi_ORIGSPLIT,[20 27],TroFi.o.1074,"First , they should examine their systems , especially personal computers , research computers and other end-user systems that operate outside conventional data processing departments , to make sure that only authorized programs can be used and that only authorized people can use the machines either directly or remotely .","First , they should [PET_BOUNDARY]examine[PET_BOUNDARY]examine"
478,0,rained,TroFi_ORIGSPLIT,[109 115],TroFi.o.2674,"Foul weather delayed the regatta , but it finally took place on Jan. 2: `` It rained during the first race , rained and hailed during the second , and snowed during the third , '' Mr. Taylor wrote .","Foul weather delayed the regatta , but it finally took place on Jan. 2: `` It rained during the first race , [PET_BOUNDARY]rained[PET_BOUNDARY]rained"
412,0,dragged,TroFi_ORIGSPLIT,[42 49],TroFi.o.697,"He was at first left alone , but was then dragged before a military court and given a 12-year prison sentence .","He was at first left alone , but was then [PET_BOUNDARY]dragged[PET_BOUNDARY]dragged"
555,0,drink,TroFi_ORIGSPLIT,[11 16],TroFi.o.787,"Winos will drink anything if need be , but when they have the money to buy what they want , they tend to hew to the familiar . -LRB- Sales resistance may help explain why the handful of low-end products that companies have tried to launch in the past 20 years mostly have bombed. -RRB-/-RRB-",Winos will [PET_BOUNDARY]drink[PET_BOUNDARY]drink
1507,0,touched,TroFi_ORIGSPLIT,[91 98],TroFi.o.3663,"This version stated that `` the other two men in the plane died , probably before Lt. Bush touched the water . ''/''","This version stated that `` the other two men in the plane died , probably before Lt. Bush [PET_BOUNDARY]touched[PET_BOUNDARY]touched"
1918,0,filling,TroFi_ORIGSPLIT,[206 213],TroFi.o.1279,"The regional carrier , which has three DC-9 aircraft and uses two of them for charter flights , also said William E. Lindsey , its chairman , was elected to the additional post of chief executive officer , filling a vacancy created by the resignation in February of Thomas Volz .","The regional carrier , which has three DC-9 aircraft and uses two of them for charter flights , also said William E. Lindsey , its chairman , was elected to the additional post of chief executive officer , [PET_BOUNDARY]filling[PET_BOUNDARY]filling"
392,0,flown,TroFi_ORIGSPLIT,[49 54],TroFi.o.1599,A revenue passenger mile is one paying passenger flown one mile .,A revenue passenger mile is one paying passenger [PET_BOUNDARY]flown[PET_BOUNDARY]flown
543,0,killed,TroFi_ORIGSPLIT,[25 31],TroFi.o.1946,"Two air crashes in India killed at least 164 people , authorities said .",Two air crashes in India [PET_BOUNDARY]killed[PET_BOUNDARY]killed
205,0,attack,TroFi_ORIGSPLIT,[150 156],TroFi.o.151,"This expert also believes that Pyongyang might use helicopters it has bought from the West , which are identical to those used by the Seoul army , to attack student demonstrators .","This expert also believes that Pyongyang might use helicopters it has bought from the West , which are identical to those used by the Seoul army , to [PET_BOUNDARY]attack[PET_BOUNDARY]attack"
47,0,examined,TroFi_ORIGSPLIT,[154 162],TroFi.o.1113,"He said these proposals `` ought always to be listened to with great precaution , and ought never to be adopted till after having been long and carefully examined , not only with the most scrupulous , but with the most suspicious attention .","He said these proposals `` ought always to be listened to with great precaution , and ought never to be adopted till after having been long and carefully [PET_BOUNDARY]examined[PET_BOUNDARY]examined"
1490,0,dance,TroFi_ORIGSPLIT,[123 128],TroFi.o.360,"Most of the rules are left unspoken: Do n't move , do n't talk , do n't laugh , do n't sneeze -- and , definitely , do n't dance .","Most of the rules are left unspoken: Do n't move , do n't talk , do n't laugh , do n't sneeze -- and , definitely , do n't [PET_BOUNDARY]dance[PET_BOUNDARY]dance"
1613,0,riding,TroFi_ORIGSPLIT,[71 77],TroFi.o.2819,"Thirty-eight summers ago at Tecumseh Lodge in Eagle River , Wis . , my riding instructor was `` Uncle '' Al Dorfman .","Thirty-eight summers ago at Tecumseh Lodge in Eagle River , Wis . , my [PET_BOUNDARY]riding[PET_BOUNDARY]riding"
205,0,die,TroFi_ORIGSPLIT,[37 40],TroFi.o.523,"An estimated 18 , 100 Americans will die from it this year , making the disease the fifth-greatest cause of cancer deaths .","An estimated 18 , 100 Americans will [PET_BOUNDARY]die[PET_BOUNDARY]die"
1158,0,cooling,TroFi_ORIGSPLIT,[35 42],TroFi.o.327,Beer flowed from big pitchers as a cooling obbligato to the hot sounds .,Beer flowed from big pitchers as a [PET_BOUNDARY]cooling[PET_BOUNDARY]cooling
550,0,eat,TroFi_ORIGSPLIT,[93 96],TroFi.o.865,"The races mingle in department stores and at downtown restaurants , where city employees all eat between noon and one .","The races mingle in department stores and at downtown restaurants , where city employees all [PET_BOUNDARY]eat[PET_BOUNDARY]eat"
735,0,filling,TroFi_ORIGSPLIT,[30 37],TroFi.o.1275,"Mr. Cossa 's grain bin may be filling up , but just last month another 100 peasants -- looking for food and security -- moved into the village to escape the fighting in the countryside .",Mr. Cossa 's grain bin may be [PET_BOUNDARY]filling[PET_BOUNDARY]filling
560,0,melting,TroFi_ORIGSPLIT,[49 56],TroFi.o.2204,"On the Cadillac Eldorado convertibles , water or melting snow dripping onto the window switch assembly when the driver 's door is open could cause an electrical short .","On the Cadillac Eldorado convertibles , water or [PET_BOUNDARY]melting[PET_BOUNDARY]melting"
1000,0,evaporated,TroFi_ORIGSPLIT,[148 158],TroFi.o.1042,"Tim Thiele , a Saskatchewan area manager for Ducks Unlimited , a conservation group , said thousands of small ponds where ducks nest and breed have evaporated .","Tim Thiele , a Saskatchewan area manager for Ducks Unlimited , a conservation group , said thousands of small ponds where ducks nest and breed have [PET_BOUNDARY]evaporated[PET_BOUNDARY]evaporated"
49,0,filled,TroFi_ORIGSPLIT,[58 64],TroFi.o.1245,"The airline said load factor , or the percentage of seats filled , was 39.3 % , up from 37.7 % a year earlier .","The airline said load factor , or the percentage of seats [PET_BOUNDARY]filled[PET_BOUNDARY]filled"
1525,0,fixed,TroFi_ORIGSPLIT,[90 95],TroFi.o.1328,"Also , growing competition is forcing many utilities to lower rates , though costs remain fixed , thus squeezing profits .","Also , growing competition is forcing many utilities to lower rates , though costs remain [PET_BOUNDARY]fixed[PET_BOUNDARY]fixed"
268,0,knocking,TroFi_ORIGSPLIT,[139 147],TroFi.o.2036,I confess I fear word will get out that `` the man in the green house is a soft touch '' -- and that I will soon have several `` Clints '' knocking on my door .,I confess I fear word will get out that `` the man in the green house is a soft touch '' -- and that I will soon have several `` Clints '' [PET_BOUNDARY]knocking[PET_BOUNDARY]knocking
1593,0,dancing,TroFi_ORIGSPLIT,[25 32],TroFi.o.415,"`` And there 's Sam Nunn dancing presumably with his wife , '' she says , squinting hard from her distant perch .",`` And there 's Sam Nunn [PET_BOUNDARY]dancing[PET_BOUNDARY]dancing
1134,0,fill,TroFi_ORIGSPLIT,[132 136],TroFi.o.1198,"The situation for soybeans does n't become critical until next week , when the crop 's need for moisture soars as its pods begin to fill with beans .","The situation for soybeans does n't become critical until next week , when the crop 's need for moisture soars as its pods begin to [PET_BOUNDARY]fill[PET_BOUNDARY]fill"
1599,0,kicks,TroFi_ORIGSPLIT,[ 8 13],TroFi.o.1844,"When he kicks the pipe holding water back from Milagro , the water floods his dying bean field .",When he [PET_BOUNDARY]kicks[PET_BOUNDARY]kicks
659,0,flow,TroFi_ORIGSPLIT,[89 93],TroFi.o.1546,"Steps were being taken , Occidental said , to remove natural gas from the pipelines that flow into Piper .","Steps were being taken , Occidental said , to remove natural gas from the pipelines that [PET_BOUNDARY]flow[PET_BOUNDARY]flow"
903,0,strike,TroFi_ORIGSPLIT,[ 96 102],TroFi.o.3262,"Gently rocking them swings the hammers , which sway back and forth like the tongues of bells to strike the chimes .","Gently rocking them swings the hammers , which sway back and forth like the tongues of bells to [PET_BOUNDARY]strike[PET_BOUNDARY]strike"
863,0,missing,TroFi_ORIGSPLIT,[174 181],TroFi.o.2320,"In the hallway beyond , the shouts of students changing classes reverberate , reminding Mrs. Black that this soon-to-be mother of two needs an excuse to give her teacher for missing a class .","In the hallway beyond , the shouts of students changing classes reverberate , reminding Mrs. Black that this soon-to-be mother of two needs an excuse to give her teacher for [PET_BOUNDARY]missing[PET_BOUNDARY]missing"
94,0,drinking,TroFi_ORIGSPLIT,[105 113],TroFi.o.815,"`` The celebrity could bring more damage to the program and to somebody else 's recovery if they started drinking again , '' says Chris Jorgensen , vice president of communications .",`` The celebrity could bring more damage to the program and to somebody else 's recovery if they started [PET_BOUNDARY]drinking[PET_BOUNDARY]drinking
898,0,touch,TroFi_ORIGSPLIT,[24 29],TroFi.o.3634,"`` People in Washington touch cheek-to-cheek quite often , '' says Effi Barry , wife of the city 's mayor , Marion Barry Jr .",`` People in Washington [PET_BOUNDARY]touch[PET_BOUNDARY]touch
1689,0,rains,TroFi_ORIGSPLIT,[150 155],TroFi.o.2696,"Beginning this week , says Steve Freed , an agricultural analyst for Dean Witter Reynolds in Chicago , the corn yield will drop 5 % for every week it rains less than normal .","Beginning this week , says Steve Freed , an agricultural analyst for Dean Witter Reynolds in Chicago , the corn yield will drop 5 % for every week it [PET_BOUNDARY]rains[PET_BOUNDARY]rains"
137,0,die,TroFi_ORIGSPLIT,[15 18],TroFi.o.535,"He just wo n't die , the untamable , lubricious monster monk from Siberia who darkened the imperial doorstep of Nicholas and Alexandra .",He just wo n't [PET_BOUNDARY]die[PET_BOUNDARY]die
236,0,sleeping,TroFi_ORIGSPLIT,[155 163],TroFi.o.2997,"One simply ca n't prevent rural Africans from moving , with their ravenous cattle , onto lands too poor to support heavy grazing once the threat of bovine sleeping sickness is removed .","One simply ca n't prevent rural Africans from moving , with their ravenous cattle , onto lands too poor to support heavy grazing once the threat of bovine [PET_BOUNDARY]sleeping[PET_BOUNDARY]sleeping"
1776,0,rested,TroFi_ORIGSPLIT,[106 112],TroFi.o.2730,"Former JFK adviser Sorensen , harking back to 1960 , tells Dukakis to state positions crisply and be well rested .","Former JFK adviser Sorensen , harking back to 1960 , tells Dukakis to state positions crisply and be well [PET_BOUNDARY]rested[PET_BOUNDARY]rested"
384,0,lent,TroFi_ORIGSPLIT,[27 31],TroFi.o.2141,"Early last year , the Navy lent two of the planes to the Coast Guard , and two to Customs .","Early last year , the Navy [PET_BOUNDARY]lent[PET_BOUNDARY]lent"
1533,0,plant,TroFi_ORIGSPLIT,[79 84],TroFi.o.2347,At that level the department could permit farmers in the government program to plant on more land .,At that level the department could permit farmers in the government program to [PET_BOUNDARY]plant[PET_BOUNDARY]plant
1087,0,filling,TroFi_ORIGSPLIT,[172 179],TroFi.o.1260,"But industry lobbyists argued successfully that reconstituting spent plastic containers into such alternative products as flower pots , drainpipes , synthetic lumber , and filling for pillows and sleeping bags should count against the recycling targets .","But industry lobbyists argued successfully that reconstituting spent plastic containers into such alternative products as flower pots , drainpipes , synthetic lumber , and [PET_BOUNDARY]filling[PET_BOUNDARY]filling"
379,0,dancing,TroFi_ORIGSPLIT,[138 145],TroFi.o.393,And a family in adjacent Hamilton County turned to him after it got little response from local authorities to its complaints about people dancing and praying in a nearby graveyard .,And a family in adjacent Hamilton County turned to him after it got little response from local authorities to its complaints about people [PET_BOUNDARY]dancing[PET_BOUNDARY]dancing
37,0,attacked,TroFi_ORIGSPLIT,[17 25],TroFi.o.194,"Rioting Iranians attacked the Soviet Union 's Embassy in Tehran , accusing Moscow of supplying Iraq with missiles used in recent raids on Iran .",Rioting Iranians [PET_BOUNDARY]attacked[PET_BOUNDARY]attacked
1122,0,drink,TroFi_ORIGSPLIT,[24 29],TroFi.o.774,"Russians in sweat suits drink tea and play cards , repack their crates and collect their linen .",Russians in sweat suits [PET_BOUNDARY]drink[PET_BOUNDARY]drink
1073,0,fill,TroFi_ORIGSPLIT,[134 138],TroFi.o.1203,"Two executive vice presidents resigned from First Chicago Corp. to take other jobs , and the banking concern shifted some officers to fill the vacancies .","Two executive vice presidents resigned from First Chicago Corp. to take other jobs , and the banking concern shifted some officers to [PET_BOUNDARY]fill[PET_BOUNDARY]fill"
532,0,planted,TroFi_ORIGSPLIT,[48 55],TroFi.o.2369,"But David Lett was a visionary , and in 1966 he planted pinot noir in the red hills near Dundee .","But David Lett was a visionary , and in 1966 he [PET_BOUNDARY]planted[PET_BOUNDARY]planted"
366,0,destroyed,TroFi_ORIGSPLIT,[31 40],TroFi.o.484,The doctor who removed the IUD destroyed Ms. Murdock-Vaughn 's files in 1979 as part of a routine office cleaning .,The doctor who removed the IUD [PET_BOUNDARY]destroyed[PET_BOUNDARY]destroyed
937,0,rained,TroFi_ORIGSPLIT,[31 37],TroFi.o.2686,"`` I was in the stands when it rained , '' said Victor Lespinasse , a floor broker for Dean Witter Reynolds , Chicago .",`` I was in the stands when it [PET_BOUNDARY]rained[PET_BOUNDARY]rained
1131,0,drank,TroFi_ORIGSPLIT,[80 85],TroFi.o.736,"Another third of the patients at the University of Maryland Shock Trauma Center drank alcohol before being hurt , and 16.5 % had used both marijuana and alcohol , the study said .",Another third of the patients at the University of Maryland Shock Trauma Center [PET_BOUNDARY]drank[PET_BOUNDARY]drank
995,0,planted,TroFi_ORIGSPLIT,[107 114],TroFi.o.2388,Ms. Long clearly relishes the hands-on work of running a winery and overseeing the evolution of a vineyard planted to her specifications .,Ms. Long clearly relishes the hands-on work of running a winery and overseeing the evolution of a vineyard [PET_BOUNDARY]planted[PET_BOUNDARY]planted
1389,0,lending,TroFi_ORIGSPLIT,[133 140],TroFi.o.2111,"Because $ 15 billion or more of long-term loans must be raised by whichever bidder wins the giant food company , they say , banks in lending syndicates for that deal may have trouble finding buyers in the secondary market for portions of their loans .","Because $ 15 billion or more of long-term loans must be raised by whichever bidder wins the giant food company , they say , banks in [PET_BOUNDARY]lending[PET_BOUNDARY]lending"
1254,0,flown,TroFi_ORIGSPLIT,[48 53],TroFi.o.1592,A revenue passenger mile is one paying customer flown one mile .,A revenue passenger mile is one paying customer [PET_BOUNDARY]flown[PET_BOUNDARY]flown
1199,0,sleeping,TroFi_ORIGSPLIT,[18 26],TroFi.o.3002,"`` I found myself sleeping out on the steps in boot camp , '' he recalls .",`` I found myself [PET_BOUNDARY]sleeping[PET_BOUNDARY]sleeping
1569,0,filling,TroFi_ORIGSPLIT,[119 126],TroFi.o.1258,"Also , Charles L. Magee , formerly deputy general counsel , was named vice president , general counsel and secretary , filling vacancies created when Richard Stewart resigned to pursue private law practice .","Also , Charles L. Magee , formerly deputy general counsel , was named vice president , general counsel and secretary , [PET_BOUNDARY]filling[PET_BOUNDARY]filling"
488,0,grabs,TroFi_ORIGSPLIT,[34 39],TroFi.o.1755,"Shortly after 6 p.m . , the shark grabs a final tuna-head snack off a line and glides off into the gloom .","Shortly after 6 p.m . , the shark [PET_BOUNDARY]grabs[PET_BOUNDARY]grabs"
1622,0,fixed,TroFi_ORIGSPLIT,[32 37],TroFi.o.1357,"When federal Medicare officials fixed rates for hospital reimbursements five years ago , executives at 3M and Abbott Laboratories separately began to worry about how their sales to hospitals would be affected .",When federal Medicare officials [PET_BOUNDARY]fixed[PET_BOUNDARY]fixed
1371,0,rest,TroFi_ORIGSPLIT,[20 24],TroFi.o.2703,A typist 's fingers rest in indentations ; moving a finger within an indentation `` types '' a character .,A typist 's fingers [PET_BOUNDARY]rest[PET_BOUNDARY]rest
25,0,die,TroFi_ORIGSPLIT,[33 36],TroFi.o.537,"Immune-suppressed children often die of illnesses like chicken pox , meningitis , measles and pneumonia .",Immune-suppressed children often [PET_BOUNDARY]die[PET_BOUNDARY]die
139,0,die,TroFi_ORIGSPLIT,[36 39],TroFi.o.578,"`` Some of these older people would die before they 'd go to a hospital in Huntsville or Decatur , '' says Tony Williams .",`` Some of these older people would [PET_BOUNDARY]die[PET_BOUNDARY]die
565,0,struck,TroFi_ORIGSPLIT,[127 133],TroFi.o.3339,"But these corporate gains appear more like personal setbacks to Mr. Collyer and many of the other 32 , 500 British workers who struck Ford 's British plants eight days ago .","But these corporate gains appear more like personal setbacks to Mr. Collyer and many of the other 32 , 500 British workers who [PET_BOUNDARY]struck[PET_BOUNDARY]struck"
608,0,dancing,TroFi_ORIGSPLIT,[105 112],TroFi.o.406,"Television commercials expected to air in mid-April in New York and Miami will feature the homespun pair dancing the salsa , advertising sources said .",Television commercials expected to air in mid-April in New York and Miami will feature the homespun pair [PET_BOUNDARY]dancing[PET_BOUNDARY]dancing
1225,0,strike,TroFi_ORIGSPLIT,[14 20],TroFi.o.3295,Where will he strike next ?,Where will he [PET_BOUNDARY]strike[PET_BOUNDARY]strike
1279,0,pumping,TroFi_ORIGSPLIT,[13 20],TroFi.o.2648,"The heart 's pumping power three weeks after treatment , as measured by the fraction of blood ejected with each heartbeat , was `` exactly the same '' -- 58 % for both groups , Dr. White said .",The heart 's [PET_BOUNDARY]pumping[PET_BOUNDARY]pumping
943,0,die,TroFi_ORIGSPLIT,[ 9 12],TroFi.o.526,And they die anyway . ''/'',And they [PET_BOUNDARY]die[PET_BOUNDARY]die
861,0,sleep,TroFi_ORIGSPLIT,[254 259],TroFi.o.2957,"Medic-Light already is working on `` second-generation '' products , including a computerized light system that , by simulating the gradual light changes of dawn and dusk , is designed to serve as `` a natural clock '' to wake people up and lull them to sleep , says Mr. Hughes .","Medic-Light already is working on `` second-generation '' products , including a computerized light system that , by simulating the gradual light changes of dawn and dusk , is designed to serve as `` a natural clock '' to wake people up and lull them to [PET_BOUNDARY]sleep[PET_BOUNDARY]sleep"
