,Unnamed: 0,text,label
704,4800,"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",1
755,747,the perfect film for those who like sick comedies that can be snide .,1
885,5212,a lovably old-school hollywood confection .,1
934,4446,"some of the visual flourishes are a little too obvious , but restrained and subtle storytelling , and fine performances make this delicate coming-of-age tale a treat .",1
829,2718,the film is impressive for the sights and sounds of the wondrous beats the world has to offer .,1
991,3154,"though filmed partly in canada , paid in full has clever ways of capturing inner-city life during the reagan years .",1
244,4122,"it's consistently funny , in an irresistible junior-high way , and consistently free of any gag that would force you to give it a millisecond of thought .",1
968,2224,""" the best disney movie since the lion king """,1
842,4573,"the setting is so cool that it chills the characters , reducing our emotional stake in the outcome of "" intacto's "" dangerous and seductively stylish game .",1
227,1029,fans of nijinsky will savor every minute of cox's work .,1
914,4872,"buy is an accomplished actress , and this is a big , juicy role .",1
322,2786,the scorpion king is more fun than conan the barbarian .,1
105,160,"the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .",1
724,1425,few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands .,1
774,5054,"it's like rocky and bullwinkle on speed , but that's neither completely enlightening , nor does it catch the intensity of the movie's strangeness .",1
1037,2237,a raunchy and frequently hilarious follow-up to the gifted korean american stand-up's i'm the one that i want .,1
580,4932,"if you're in the right b-movie frame of mind , it may just scare the pants off you .",1
1005,2996,beautifully reclaiming the story of carmen and recreating it an in an african idiom .,1
373,2659,"a breezy blend of art , history , esoteric musings and philosophy .",1
177,1256,"remember the kind of movie we were hoping "" ecks vs . sever "" or "" xxx "" was going to be ? this is it .",1
690,692,"there's an energy to y tu mamá también . much of it comes from the brave , uninhibited performances by its lead actors .",1
793,925,"a love for films shines through each frame and the era is recreated with obvious affection , scored to perfection with some tasty boogaloo beats .",1
280,1181,"if you can stomach the rough content , it's worth checking out for the performances alone .",1
377,4140,"filmmakers david weissman and bill weber benefit enormously from the cockettes' camera craziness -- not only did they film performances , but they did the same at home .",1
573,3801,"vividly demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .",1
395,2665,"she's all-powerful , a voice for a pop-cyber culture that feeds on her bjorkness .",1
1090,998,it's a bittersweet and lyrical mix of elements .,1
776,4531,"an elegant work , food of love is as consistently engaging as it is revealing .",1
219,632,this is a happy throwback to the time when cartoons were cinema's most idiosyncratic form instead of one of its most predictable .,1
664,23,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1
944,2834,"they're just a couple of cops in copmovieland , these two , but in narc , they find new routes through a familiar neighborhood .",1
516,3328,"the movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis .",1
419,100,"chicago is sophisticated , brash , sardonic , completely joyful in its execution .",1
132,798,lee jeong-hyang tells it so lovingly and films it so beautifully that i couldn't help being captivated by it .,1
130,282,"it uses an old-time formula , it's not terribly original and it's rather messy -- but you just have to love the big , dumb , happy movie my big fat greek wedding .",1
9,124,you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected . dramas like this make it human .,1
817,3238,a sharp satire of desperation and cinematic deception .,1
398,2860,nachtwey clears the cynicism right out of you . he makes you realize that deep inside righteousness can be found a tough beauty .,1
94,3086,one of the greatest films i've ever seen .,1
615,1819,knows how to make our imagination wonder .,1
1012,3231,deliberately and skillfully uses ambiguity to suggest possibilities which imbue the theme with added depth and resonance .,1
588,104,"the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .",1
745,2839,"foster and whitaker are especially fine . she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .",1
129,2560,"it may not be history  but then again , what if it is ?  but it makes for one of the most purely enjoyable and satisfying evenings at the movies i've had in a while .",1
605,2992,"[russell] makes good b movies ( the mask , the blob ) , and the scorpion king more than ably meets those standards .",1
360,166,"there's enough science to make it count as educational , and enough beauty to make it unforgettable .",1
555,3200,"as commander-in-chief of this film , bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world .",1
602,4788,"when compared to the usual , more somber festival entries , davis' highly personal brand of romantic comedy is a tart , smart breath of fresh air that stands out from the pack even if the picture itself is somewhat problematic .",1
1072,3493,"for once , a movie does not proclaim the truth about two love-struck somebodies , but permits them time and space to convince us of that all on their own .",1
960,354,as a randy film about sexy people in gorgeous places being pushed and pulled ( literally and figuratively ) by desire . . . [sex and lucía] makes for an arousing good time .,1
117,1482,"the sort of film that makes me miss hitchcock , but also feel optimistic that there's hope for popular cinema yet .",1
882,1996,the entire cast is extraordinarily good .,1
57,198,"a smart , sweet and playful romantic comedy .",1
711,861,"this concoction , so bizarre to the adult mind , is actually a charming triumph where its intended under-12 audience is concerned .",1
1094,4082,"there's nothing like love to give a movie a b-12 shot , and cq shimmers with it .",1
568,2826,"deflated ending aside , there's much to recommend the film .",1
125,2686,"slow and ponderous , but rohmer's drama builds to an intense indoor drama about compassion , sacrifice , and christian love in the face of political corruption .",1
744,2687,"if you're not totally weirded- out by the notion of cinema as community-therapy spectacle , quitting hits home with disorienting force .",1
620,290,"somewhat blurred , but kinnear's performance is razor sharp .",1
1035,5295,"insomnia loses points when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through .",1
922,4126,"cuaron repeatedly , perversely undercuts the joie de vivre even as he creates it , giving the movie a mournful undercurrent that places the good-time shenanigans in welcome perspective .",1
799,664,it is inspirational in characterizing how people from such diverse cultures share the same human and spiritual needs .,1
701,729,"the comic performances are all spot on , especially lee ross's turn as ken .",1
84,4805,weighty and ponderous but every bit as filling as the treat of the title .,1
527,4200,an unflinching look at the world's dispossessed .,1
335,1596,a literary detective story is still a detective story and aficionados of the whodunit won't be disappointed .,1
266,5149,"i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , and its name was earnest .",1
411,2189,caviezel embodies the transformation of his character completely .,1
151,4495,"dog soldiers doesn't transcend genre -- it embraces it , energizes it and takes big bloody chomps out of it .",1
393,614,"despite a story predictable enough to make the sound of music play like a nail-biting thriller , its heart is so much in the right place it is difficult to get really peeved at it .",1
98,5276,"all in all , brown sugar is a satisfying well-made romantic comedy that's both charming and well acted . it will guarantee to have you leaving the theater with a smile on your face .",1
886,552,"the best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",1
687,831,""" auto focus "" works as an unusual biopic and document of male swingers in the playboy era",1
1029,2017,"defies logic , the laws of physics and almost anyone's willingness to believe in it . but darned if it doesn't also keep us riveted to our seats .",1
13,2652,"contradicts everything we've come to expect from movies nowadays . instead of simply handling conventional material in a conventional way , secretary takes the most unexpected material and handles it in the most unexpected way .",1
196,3740,"like all of egoyan's work , ararat is fiercely intelligent and uncommonly ambitious .",1
515,1096,"building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise .",1
907,3706,"depending upon your reaction to this movie , you may never again be able to look at a red felt sharpie pen without disgust , a thrill , or the giggles .",1
591,4362,the sheer joy and pride they took in their work -- and in each other -- shines through every frame .,1
337,3138,"as a director , paxton is surprisingly brilliant , deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip .",1
558,2561,"if "" lilo & stitch "" isn't the most edgy piece of disney animation to hit the silver screen , then this first film to use a watercolor background since "" dumbo "" certainly ranks as the most original in years .",1
779,5176,campanella's competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over rafael's evolution .,1
713,2609,a wild ride juiced with enough energy and excitement for at least three films .,1
601,4472,splendidly illustrates the ability of the human spirit to overcome adversity .,1
963,509,for all its serious sense of purpose . . . [it] finds a way to lay bare the tragedies of its setting with a good deal of warmth and humor .,1
172,1978,"with a romantic comedy plotline straight from the ages , this cinderella story doesn't have a single surprise up its sleeve . but it does somehow manage to get you under its spell .",1
992,4097,"the entire cast is first-rate , especially sorvino .",1
225,2682,"stands as a document of what it felt like to be a new yorker -- or , really , to be a human being -- in the weeks after 9/11 .",1
324,1953,"coppola's directorial debut is an incredibly layered and stylistic film that , despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attempt at meaningful cinema .",1
884,2135,"though not for everyone , the guys is a somber trip worth taking .",1
655,138,the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,1
387,1117,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession .,1
106,4102,"in questioning the election process , payami graphically illustrates the problems of fledgling democracies , but also the strength and sense of freedom the iranian people already possess , with or without access to the ballot box .",1
706,2451,"from its invitingly upbeat overture to its pathos-filled but ultimately life-affirming finale , martin is a masterfully conducted work .",1
708,1389,if you dig on david mamet's mind tricks . . . rent this movie and enjoy !,1
509,1336,"by the end of the movie , you're definitely convinced that these women are spectacular .",1
594,1550,"an artful , intelligent film that stays within the confines of a well-established genre .",1
